,TAG,Value,Time
0,B,880,0
1,R,8019,0
2,B,508,0
3,I,5001,0
4,B,1068,0
5,R,8003,0
6,B,480,0
7,I,4966,0
8,B,1040,1
9,R,8003,1
10,B,483,1
11,I,4998,1
12,B,1171,1
13,R,7990,1
14,B,518,1
15,I,4972,1
16,B,1046,1
17,R,8000,2
18,B,556,2
19,I,5036,3
20,B,1184,4
21,R,7993,4
22,B,524,5
23,I,5024,6
24,B,1145,7
25,R,8035,7
26,B,521,8
27,I,5049,9
28,B,1158,10
29,R,8041,11
30,B,531,11
31,I,4982,12
32,B,1177,13
33,R,8048,14
34,B,531,15
35,I,5014,16
36,B,1136,16
37,R,8022,17
38,B,547,18
39,I,5036,19
40,B,1142,20
41,R,8016,21
42,B,457,21
43,I,5078,22
44,B,1152,23
45,R,7987,24
46,B,473,25
47,I,5046,26
48,B,1132,26
49,R,8048,27
50,B,531,28
51,I,5043,29
52,B,1190,30
53,R,8022,31
54,B,528,31
55,I,5068,32
56,B,1184,33
57,R,8022,34
58,B,528,35
59,I,5072,36
60,B,1145,36
61,R,7993,37
62,B,537,38
63,I,5081,39
64,B,1161,40
65,R,8044,41
66,B,518,41
67,I,5059,42
68,B,1171,43
69,R,8025,44
70,B,435,45
71,I,5097,46
72,B,1171,46
73,R,8012,47
74,B,240,48
75,I,5024,49
76,B,713,50
77,R,8041,51
78,B,326,51
79,I,5110,52
80,B,1084,53
81,R,8019,54
82,B,441,55
83,I,5065,56
84,B,1187,56
85,R,8083,57
86,B,185,58
87,I,5136,59
88,B,1155,60
89,R,8000,61
90,B,537,61
91,I,5097,62
92,B,1164,63
93,R,8051,64
94,B,540,65
95,I,5084,66
96,B,1184,66
97,R,8006,67
98,B,518,68
99,I,5161,69
100,B,1171,70
101,R,8064,71
102,B,553,71
103,I,5033,72
104,B,1126,73
105,R,8028,74
106,B,537,75
107,I,5084,76
108,B,1148,76
109,R,8038,77
110,B,531,78
111,I,5084,79
112,B,1126,80
113,R,8019,81
114,B,508,82
115,I,5062,82
116,B,1161,83
117,R,8096,84
118,B,553,85
119,I,5072,86
120,B,1132,86
121,R,8022,87
122,B,515,88
123,I,5081,89
124,B,1174,90
125,R,8099,91
126,B,524,92
127,I,4995,92
128,B,1113,93
129,R,8003,94
130,B,540,95
131,I,5100,96
132,B,1190,97
133,R,8028,97
134,B,531,98
135,I,5078,99
136,B,1148,100
137,R,8051,101
138,B,521,102
139,I,5084,103
140,B,1187,104
141,R,8044,104
142,B,480,105
143,I,5081,106
144,B,1174,107
145,R,8044,108
146,B,505,109
147,I,5107,110
148,B,1164,111
149,R,8076,112
150,B,534,113
151,I,5068,114
152,B,1152,115
153,R,8070,116
154,B,502,116
155,I,5097,117
156,B,1158,118
157,R,8051,119
158,B,518,120
159,I,5062,121
160,B,1200,122
161,R,8044,123
162,B,547,124
163,I,5046,125
164,B,1104,126
165,R,8051,127
166,B,547,128
167,I,5100,128
168,B,1212,129
169,R,7993,130
170,B,556,131
171,I,5084,132
172,B,1193,133
173,R,8016,134
174,B,553,135
175,I,5097,136
176,B,1142,137
177,R,8009,138
178,B,521,139
179,I,5107,139
180,B,1155,140
181,R,8009,141
