,TAG,Value,Time
0,B,902,0
1,R,8153,0
2,B,508,0
3,I,5110,0
4,B,1142,0
5,R,8182,0
6,B,556,0
7,I,5091,0
8,B,1056,1
9,R,8160,1
10,B,499,1
11,I,5088,1
12,B,1168,1
13,R,8188,1
14,B,569,1
15,I,5132,1
16,B,1078,1
17,R,8179,2
18,B,569,2
19,I,5155,3
20,B,1168,4
21,R,8134,4
22,B,502,5
23,I,5203,6
24,B,1168,7
25,R,8192,7
26,B,563,8
27,I,5152,9
28,B,1136,10
29,R,8214,11
30,B,534,11
31,I,5155,12
32,B,1174,13
33,R,8252,14
34,B,582,15
35,I,5232,16
36,B,1171,16
37,R,8172,17
38,B,528,18
39,I,5161,19
40,B,1187,20
41,R,8236,21
42,B,540,21
43,I,5126,22
44,B,1142,23
45,R,8163,24
46,B,502,25
47,I,5219,26
48,B,1196,26
49,R,8179,27
50,B,524,28
51,I,5177,29
52,B,1142,30
53,R,8166,31
54,B,524,31
55,I,5161,32
56,B,1171,33
57,R,8227,34
58,B,512,35
59,I,5158,36
60,B,1193,36
61,R,8179,37
62,B,515,38
63,I,5193,39
64,B,1196,40
65,R,8220,41
66,B,550,41
67,I,5164,42
68,B,1184,43
69,R,8211,44
70,B,521,45
71,I,5212,46
72,B,1254,46
73,R,8163,47
74,B,502,48
75,I,5196,49
76,B,1171,50
77,R,8176,51
78,B,547,52
79,I,5193,52
80,B,1200,53
81,R,8201,54
82,B,560,55
83,I,5228,56
84,B,1193,56
85,R,8188,57
86,B,518,58
87,I,5232,59
88,B,1177,60
89,R,8214,61
90,B,518,62
91,I,5251,62
92,B,1200,63
93,R,8201,64
94,B,544,65
95,I,5206,66
96,B,1219,67
97,R,8214,67
98,B,492,68
99,I,5222,69
100,B,1209,70
101,R,8252,71
102,B,572,72
103,I,5222,72
104,B,1209,73
105,R,8214,74
106,B,524,75
107,I,5276,76
108,B,1139,77
109,R,8230,77
110,B,547,78
111,I,5209,79
112,B,1177,80
113,R,8243,81
114,B,547,82
115,I,5235,82
116,B,1180,83
117,R,8259,84
118,B,598,85
119,I,5248,86
120,B,1171,87
121,R,8217,87
122,B,524,88
123,I,5260,89
124,B,1152,90
125,R,8262,91
126,B,556,92
127,I,5219,92
128,B,1203,93
129,R,8252,94
130,B,534,95
131,I,5280,96
132,B,1171,97
133,R,8265,97
134,B,547,98
135,I,5228,99
136,B,1193,100
137,R,8288,101
138,B,566,102
139,I,5292,103
140,B,1174,104
141,R,8256,105
142,B,540,106
143,I,5260,106
144,B,1203,107
145,R,8272,108
146,B,569,109
147,I,5260,110
148,B,1187,111
149,R,8233,112
150,B,540,113
151,I,5296,114
152,B,1174,115
153,R,8262,116
154,B,547,117
155,I,5289,117
156,B,1190,118
157,R,8262,119
158,B,521,120
159,I,5308,121
160,B,1184,122
161,R,8265,123
162,B,534,124
163,I,5305,125
164,B,1177,126
165,R,8268,127
166,B,550,128
167,I,5283,128
168,B,1164,129
169,R,8236,130
170,B,508,131
171,I,5273,132
172,B,1219,133
173,R,8268,134
174,B,537,135
175,I,5283,136
176,B,1200,137
177,R,8278,138
178,B,524,139
179,I,5296,140
180,B,1241,140
181,R,8284,141
182,B,540,142
183,I,5292,143
184,B,1200,144
185,R,8288,145
186,B,569,146
187,I,5283,147
188,B,1187,148
189,R,8313,149
190,B,585,150
191,I,5321,151
192,B,1222,152
193,R,8262,152
194,B,518,153
195,I,5302,154
196,B,1222,155
197,R,8339,156
198,B,547,157
199,I,5270,158
200,B,1225,159
201,R,8316,160
202,B,556,161
203,I,5318,162
204,B,1212,163
205,R,8329,164
206,B,556,164
207,I,5289,165
208,B,1244,166
209,R,8332,167
210,B,550,168
211,I,5321,169
212,B,1206,170
213,R,8326,171
214,B,553,172
215,I,5302,173
216,B,1273,174
217,R,8326,175
218,B,560,176
219,I,5312,176
220,B,1219,177
221,R,8339,178
222,B,534,179
223,I,5312,180
224,B,1260,181
225,R,8358,182
226,B,556,183
227,I,5318,184
228,B,1235,185
229,R,8316,186
230,B,499,187
231,I,5334,187
232,B,1235,188
233,R,8355,189
234,B,547,190
235,I,5296,191
236,B,1257,192
237,R,8355,193
238,B,579,194
239,I,5299,195
240,B,1200,196
241,R,8339,197
242,B,569,198
243,I,5350,199
244,B,1206,199
245,R,8345,200
246,B,550,201
247,I,5286,202
248,B,1257,203
249,R,8422,204
250,B,588,205
251,I,5283,206
252,B,1235,207
253,R,8310,208
254,B,531,209
255,I,5356,210
256,B,1228,211
257,R,8326,211
258,B,502,212
259,I,5334,213
260,B,1267,214
261,R,8432,215
262,B,569,216
263,I,5289,217
264,B,1174,218
265,R,8329,219
266,B,547,220
267,I,5388,221
268,B,1190,222
269,R,8396,223
270,B,492,223
271,I,5328,224
272,B,1270,225
273,R,8390,226
274,B,550,227
275,I,5302,228
276,B,1209,229
277,R,8336,230
278,B,521,231
279,I,5331,232
280,B,1206,233
281,R,8364,234
282,B,502,235
283,I,5321,235
284,B,1241,236
285,R,8432,237
286,B,569,238
287,I,5296,239
288,B,1206,240
289,R,8329,241
290,B,515,242
291,I,5385,243
292,B,1171,244
293,R,8332,245
294,B,524,246
295,I,5328,246
296,B,1212,247
297,R,8323,248
298,B,604,249
299,I,5324,250
300,B,1193,251
301,R,8339,252
302,B,553,253
303,I,5376,254
304,B,1155,255
305,R,8326,256
306,B,521,257
307,I,5443,257
308,B,1232,258
309,R,8406,259
310,B,534,260
311,I,5356,261
312,B,1222,262
313,R,8358,263
314,B,560,264
315,I,5379,265
316,B,1171,266
317,R,8316,267
318,B,524,268
319,I,5417,269
320,B,1241,269
321,R,8361,270
322,B,582,271
323,I,5363,272
324,B,1203,273
325,R,8384,274
326,B,592,275
327,I,5382,276
328,B,1161,277
329,R,8345,278
330,B,505,279
331,I,5436,280
332,B,1203,281
333,R,8403,281
334,B,579,282
335,I,5372,283
336,B,1200,284
337,R,8387,285
338,B,608,286
339,I,5366,287
340,B,1164,288
341,R,8336,289
