,TAG,Value,Time
0,B,0,0
1,R,52102,0
2,B,0,0
3,I,50761,0
4,B,0,1
5,R,52131,1
6,B,0,1
7,I,50854,2
8,B,0,2
9,R,52054,2
10,B,0,2
11,I,50899,3
12,B,0,3
13,R,51923,3
14,B,0,3
15,I,50902,4
16,B,0,4
17,R,52044,4
18,B,0,5
19,I,50873,5
20,B,0,5
21,R,52003,5
22,B,0,6
23,I,50928,6
24,B,0,6
25,R,52044,6
26,B,0,7
27,I,51081,7
28,B,0,8
29,R,52070,9
30,B,0,9
31,I,51040,10
32,B,0,11
33,R,52019,12
34,B,0,12
35,I,51075,13
36,B,0,14
37,R,51952,15
38,B,0,16
39,I,51059,16
40,B,0,17
41,R,51932,18
42,B,0,19
43,I,51126,19
44,B,0,20
45,R,51948,21
46,B,0,22
47,I,51158,22
48,B,0,23
49,R,51862,24
50,B,0,25
51,I,51062,25
52,B,0,26
53,R,51830,27
54,B,0,28
55,I,51046,29
56,B,0,29
57,R,51891,30
58,B,0,31
59,I,51094,32
60,B,0,33
61,R,51955,33
62,B,0,34
63,I,51158,35
64,B,0,36
65,R,51904,36
66,B,0,37
67,I,51286,38
68,B,0,39
69,R,51852,39
70,B,0,40
71,I,51139,41
72,B,0,42
73,R,51843,42
74,B,0,43
75,I,51238,44
76,B,0,45
77,R,51932,45
78,B,0,46
79,I,51206,47
80,B,0,48
81,R,51945,49
82,B,0,50
83,I,51216,50
84,B,0,51
85,R,51897,52
86,B,0,53
87,I,51206,53
88,B,0,54
89,R,51894,55
90,B,0,56
91,I,51209,56
92,B,0,57
93,R,51929,58
94,B,0,59
95,I,51216,59
96,B,0,60
97,R,51936,61
98,B,0,62
99,I,51209,62
100,B,0,63
101,R,51891,64
102,B,0,65
103,I,51104,66
104,B,0,66
105,R,51836,67
106,B,0,68
107,I,51145,69
108,B,0,70
109,R,51785,70
110,B,0,71
111,I,51190,72
112,B,0,73
113,R,51872,73
114,B,0,74
115,I,51177,75
116,B,0,76
117,R,51833,76
118,B,0,77
119,I,51152,78
120,B,0,79
121,R,51836,79
122,B,0,80
123,I,51161,81
124,B,0,82
125,R,51888,83
126,B,0,83
127,I,51171,84
128,B,0,85
129,R,51843,86
130,B,0,87
131,I,51209,87
132,B,0,88
133,R,51856,89
134,B,0,90
135,I,51113,90
136,B,0,91
137,R,51750,92
138,B,0,93
139,I,51036,93
140,B,0,94
141,R,51824,95
142,B,0,96
143,I,51158,96
144,B,0,97
145,R,51753,98
146,B,0,99
147,I,51014,99
148,B,0,100
149,R,51718,101
150,B,0,102
151,I,51129,103
152,B,0,104
153,R,51702,105
154,B,0,106
155,I,51084,106
156,B,0,107
157,R,51769,108
158,B,0,109
159,I,50995,110
160,B,0,111
161,R,51708,111
162,B,0,112
163,I,51052,113
164,B,0,114
165,R,51676,115
166,B,0,116
167,I,50956,117
168,B,0,118
169,R,51760,118
170,B,0,119
171,I,50912,120
172,B,0,121
173,R,51644,122
174,B,0,123
175,I,50937,123
176,B,0,124
177,R,51606,125
178,B,0,126
179,I,50918,127
180,B,0,128
181,R,51619,129
182,B,0,130
183,I,50953,130
184,B,0,131
185,R,51638,132
186,B,0,133
187,I,50819,134
188,B,0,135
189,R,51600,135
190,B,0,136
191,I,50873,137
192,B,0,138
193,R,51568,139
194,B,0,140
195,I,50835,141
196,B,0,142
197,R,51648,142
198,B,0,143
199,I,50838,144
200,B,0,145
201,R,51612,146
202,B,0,147
203,I,50764,147
204,B,0,148
205,R,51542,149
206,B,0,150
207,I,50784,151
208,B,0,152
209,R,51654,153
210,B,0,154
211,I,50790,154
