TAG,Time,Value
I,13639,56123
B,13641,183
R,13643,35912
B,13646,95
I,13648,56071
B,13651,192
R,13653,35940
B,13655,108
I,13658,56123
B,13660,170
R,13662,35942
B,13665,107
I,13667,56145
B,13670,180
R,13672,35975
B,13674,107
I,13677,56156
B,13679,173
R,13681,35951
B,13684,115
I,13686,56152
B,13688,184
R,13691,35945
B,13693,94
I,13696,56081
B,13698,183
R,13700,35956
B,13703,105
I,13705,56129
B,13707,183
R,13710,35945
B,13712,94
I,13715,56084
B,13717,196
R,13719,35945
B,13722,106
I,13724,56109
B,13726,171
R,13729,35919
B,13731,105
I,13733,56102
B,13736,187
R,13738,35925
B,13741,107
I,13743,56103
B,13745,169
R,13748,35913
B,13750,115
I,13752,56093
B,13755,185
R,13757,35923
B,13760,98
I,13762,56062
B,13764,185
R,13767,35937
B,13769,109
I,13771,56100
B,13774,180
R,13776,35920
B,13778,94
I,13781,56074
B,13783,195
R,13786,35950
B,13788,108
I,13790,56124
B,13793,181
R,13795,35924
B,13797,104
I,13800,56138
B,13802,188
R,13805,35954
B,13807,108
I,13809,56143
B,13812,173
R,13814,35939
B,13816,113
I,13819,56145
B,13821,190
R,13823,35947
B,13826,109
I,13828,56095
B,13831,179
R,13833,35927
B,13835,112
I,13838,56106
B,13840,185
R,13842,35927
B,13845,95
I,13847,56054
B,13850,193
R,13852,35943
B,13854,110
I,13857,56069
B,13859,179
R,13861,35890
B,13864,102
I,13866,56059
B,13868,188
R,13871,35899
B,13873,107
I,13876,56027
B,13878,164
R,13880,35888
B,13883,120
I,13885,56028
B,13887,182
R,13890,35889
B,13892,104
I,13895,56010
B,13897,177
R,13899,35893
B,13902,114
I,13904,56016
B,13906,184
R,13909,35883
B,13911,92
I,13913,55978
B,13916,193
R,13918,35907
B,13921,105
I,13923,56022
B,13925,180
R,13928,35868
B,13930,99
I,13932,55988
B,13935,192
R,13937,35898
B,13940,107
I,13942,56035
B,13944,166
R,13947,35902
B,13949,111
I,13951,56056
B,13954,182
R,13956,35905
B,13959,104
I,13961,56045
B,13963,170
R,13966,35931
B,13968,114
I,13970,56060
B,13973,189
R,13975,35908
B,13977,88
I,13980,56026
B,13982,188
R,13985,35927
B,13987,106
I,13989,56087
B,13992,178
R,13994,35940
B,13996,98
I,13999,56116
B,14001,191
R,14003,35944
B,14006,109
I,14008,56131
B,14011,171
R,14013,35915
B,14015,112
I,14018,56133
B,14020,183
R,14022,35949
B,14025,104
I,14027,56118
B,14030,173
R,14032,35947
B,14034,115
I,14037,56140
B,14039,193
R,14041,35941
B,14044,93
I,14046,56110
B,14048,184
R,14051,35959
B,14053,103
I,14056,56166
B,14058,184
R,14060,35925
B,14063,92
I,14065,56130
B,14067,191
R,14070,35971
B,14072,103
I,14075,56197
B,14077,169
R,14079,35956
B,14082,110
I,14084,56223
B,14086,181
R,14089,36014
B,14091,106
I,14093,56218
B,14096,168
R,14098,35990
B,14101,118
I,14103,56236
B,14105,179
R,14108,35981
B,14110,93
I,14112,56190
B,14115,183
R,14117,36024
B,14120,106
I,14122,56258
B,14124,187
R,14127,35979
B,14129,92
I,14131,56207
B,14134,190
R,14136,36000
B,14138,108
I,14141,56250
B,14143,172
R,14146,35987
B,14148,104
I,14150,56257
B,14153,186
R,14155,35998
B,14157,103
I,14160,56229
B,14162,170
R,14165,35991
B,14167,118
I,14169,56264
B,14172,185
R,14174,36030
B,14176,95
I,14179,56267
B,14181,186
R,14183,36034
B,14186,112
I,14188,56279
B,14191,183
R,14193,36009
B,14195,91
I,14198,56267
B,14200,195
R,14202,36044
B,14205,107
I,14207,56311
B,14210,174
R,14212,36012
B,14214,102
I,14217,56331
B,14219,188
R,14221,36036
B,14224,108
I,14226,56309
B,14228,165
R,14231,36030
B,14233,121
I,14236,56326
B,14238,181
R,14240,36024
B,14243,101
I,14245,56308
B,14247,179
R,14250,36039
B,14252,112
I,14255,56316
B,14257,186
R,14259,36024
B,14262,90
I,14264,56273
B,14266,195
R,14269,36036
B,14271,106
I,14273,56311
B,14276,180
R,14278,36008
B,14281,99
I,14283,56277
B,14285,186
R,14288,36024
B,14290,104
I,14292,56305
B,14295,166
R,14297,36012
B,14300,112
I,14302,56323
B,14304,183
R,14307,36029
B,14309,100
I,14311,56299
B,14314,172
R,14316,36028
B,14318,112
I,14321,56313
B,14323,180
R,14326,36010
B,14328,91
I,14330,56293
B,14333,191
R,14335,36024
B,14337,108
I,14340,56317
B,14342,176
R,14345,36001
B,14347,95
I,14349,56305
B,14352,192
R,14354,36019
B,14356,107
I,14359,56320
B,14361,160
R,14363,36015
B,14366,112
I,14368,56331
B,14371,178
R,14373,36020
B,14375,99
I,14378,56277
B,14380,174
R,14382,36028
B,14385,117
I,14387,56340
B,14390,186
R,14392,36015
B,14394,89
I,14397,56294
B,14399,186
R,14401,36062
B,14404,102
I,14406,56349
B,14408,181
R,14411,36020
B,14413,95
I,14416,56321
B,14418,194
R,14420,36051
B,14423,109
I,14425,56340
B,14427,167
R,14430,36015
B,14432,113
I,14434,56363
B,14437,182
R,14439,36030
B,14442,111
I,14444,56346
B,14446,169
R,14449,36026
B,14451,121
I,14453,56328
B,14456,188
R,14458,36014
B,14461,93
I,14463,56286
B,14465,191
R,14468,36033
B,14470,108
I,14472,56347
B,14475,187
R,14477,36007
B,14479,94
I,14482,56305
B,14484,194
R,14487,36012
B,14489,108
I,14491,56338
B,14494,171
R,14496,35987
B,14498,112
I,14501,56346
B,14503,181
R,14506,36013
B,14508,107
I,14510,56320
B,14513,174
R,14515,36008
B,14517,117
I,14520,56310
B,14522,184
R,14524,35986
B,14527,97
I,14529,56250
B,14532,187
R,14534,36007
B,14536,106
I,14539,56272
B,14541,181
R,14543,35962
B,14546,92
I,14548,56214
B,14551,192
R,14553,35955
B,14555,107
I,14558,56213
B,14560,178
R,14562,35939
B,14565,107
I,14567,56205
B,14569,188
R,14572,35950
B,14574,105
I,14577,56174
B,14579,166
R,14581,35942
B,14584,121
I,14586,56168
B,14588,184
R,14591,35936
B,14593,98
I,14596,56135
B,14598,186
R,14600,35957
B,14603,108
I,14605,56165
B,14607,187
R,14610,35932
B,14612,94
I,14614,56131
B,14617,195
R,14619,35944
B,14622,107
I,14624,56188
B,14626,177
R,14629,35932
B,14631,105
I,14633,56180
B,14636,191
R,14638,35947
B,14641,108
I,14643,56179
B,14645,172
R,14648,35944
B,14650,120
I,14652,56187
B,14655,185
R,14657,35945
B,14659,104
I,14662,56164
B,14664,179
R,14667,35932
B,14669,109
I,14671,56150
B,14674,179
R,14676,35915
B,14678,96
I,14681,56120
B,14683,198
R,14686,35933
B,14688,111
I,14690,56139
B,14693,176
R,14695,35893
B,14697,104
I,14700,56156
B,14702,185
R,14704,35920
B,14707,107
I,14709,56152
B,14712,169
R,14714,35904
B,14716,116
I,14719,56149
B,14721,185
R,14723,35921
B,14726,101
I,14728,56178
B,14731,178
R,14733,35934
B,14735,113
I,14738,56207
B,14740,188
R,14742,35929
B,14745,97
I,14747,56189
B,14749,191
R,14752,35952
B,14754,108
I,14757,56226
B,14759,177
R,14761,35934
B,14764,101
I,14766,56251
B,14768,189
R,14771,35952
B,14773,111
I,14776,56238
B,14778,168
R,14780,35938
B,14783,120
I,14785,56244
B,14787,183
R,14790,35959
B,14792,104
I,14794,56239
B,14797,173
R,14799,35957
B,14802,113
I,14804,56229
B,14806,183
R,14809,35942
B,14811,92
I,14813,56185
B,14816,190
R,14818,35958
B,14821,108
I,14823,56240
B,14825,184
R,14828,35915
B,14830,98
I,14832,56224
B,14835,194
R,14837,35953
B,14839,111
I,14842,56246
B,14844,169
R,14847,35923
B,14849,118
I,14851,56263
B,14854,189
R,14856,35948
B,14858,106
I,14861,56249
B,14863,172
R,14866,35935
B,14868,117
I,14870,56251
B,14873,188
R,14875,35931
B,14877,94
I,14880,56252
B,14882,188
R,14884,35953
B,14887,110
I,14889,56260
B,14892,184
R,14894,35944
B,14896,97
I,14899,56249
B,14901,199
R,14903,35965
B,14906,111
I,14908,56282
B,14911,166
R,14913,35949
B,14915,115
I,14918,56299
B,14920,185
R,14922,35982
B,14925,108
I,14927,56274
B,14929,175
R,14932,35960
B,14934,120
I,14937,56276
B,14939,193
R,14941,35955
B,14944,101
I,14946,56286
B,14948,186
R,14951,35979
B,14953,107
I,14956,56283
B,14958,183
R,14960,35931
B,14963,95
I,14965,56262
B,14967,196
R,14970,35987
B,14972,112
I,14974,56294
B,14977,174
R,14979,35949
B,14982,111
I,14984,56315
B,14986,184
R,14989,35981
B,14991,107
I,14993,56309
B,14996,170
R,14998,35971
B,15001,121
I,15003,56329
B,15005,180
R,15008,35984
B,15010,99
I,15012,56277
B,15015,184
R,15017,35993
B,15019,112
I,15022,56324
B,15024,186
R,15027,35962
B,15029,95
I,15031,56312
B,15034,191
R,15036,35971
B,15038,110
I,15041,56332
B,15043,175
R,15046,35957
B,15048,108
I,15050,56334
B,15053,187
R,15055,35974
B,15057,108
I,15060,56362
B,15062,166
R,15064,35967
B,15067,116
I,15069,56333
B,15072,187
R,15074,35970
B,15076,100
I,15079,56322
B,15081,182
R,15083,35986
B,15086,117
I,15088,56357
B,15091,187
R,15093,35986
B,15095,99
I,15098,56323
B,15100,193
R,15102,35981
B,15105,104
I,15107,56372
B,15109,179
R,15112,35966
B,15114,105
I,15117,56392
B,15119,190
R,15121,36005
B,15124,109
I,15126,56362
B,15128,168
R,15131,35989
B,15133,115
I,15136,56373
B,15138,181
R,15140,35995
B,15143,100
I,15145,56379
B,15147,178
R,15150,35997
B,15152,114
I,15155,56390
B,15157,185
R,15159,35985
B,15162,95
I,15164,56344
B,15166,194
R,15169,35995
B,15171,106
I,15173,56403
B,15176,179
R,15178,35994
B,15181,105
I,15183,56406
B,15185,186
R,15188,36007
B,15190,111
I,15192,56409
B,15195,173
R,15197,35992
B,15200,114
I,15202,56381
B,15204,185
R,15207,35985
B,15209,105
I,15211,56352
B,15214,175
R,15216,35967
B,15218,117
I,15221,56337
B,15223,183
R,15226,35954
B,15228,93
I,15230,56265
B,15233,196
R,15235,35953
B,15237,105
I,15240,56277
B,15242,183
R,15245,35903
B,15247,99
I,15249,56240
B,15252,196
R,15254,35925
B,15256,112
I,15259,56270
B,15261,168
R,15263,35910
B,15266,115
I,15268,56248
B,15271,182
R,15273,35929
B,15275,105
I,15278,56240
B,15280,177
R,15282,35942
B,15285,111
I,15287,56262
B,15290,182
R,15292,35936
B,15294,96
I,15297,56221
B,15299,187
R,15301,35947
B,15304,106
I,15306,56271
B,15308,193
R,15311,35926
B,15313,98
I,15316,56254
B,15318,195
R,15320,35959
B,15323,106
I,15325,56270
B,15327,172
R,15330,35928
B,15332,113
I,15335,56289
B,15337,181
R,15339,35963
B,15342,106
I,15344,56293
B,15346,172
R,15349,35993
B,15351,117
I,15353,56288
B,15356,184
R,15358,35966
B,15361,94
I,15363,56265
B,15365,187
R,15368,35986
B,15370,104
I,15372,56307
B,15375,185
R,15377,35944
B,15380,99
I,15382,56269
B,15384,195
R,15387,35973
B,15389,106
I,15391,56295
B,15394,174
R,15396,35934
B,15398,112
I,15401,56307
B,15403,182
R,15406,35969
B,15408,106
I,15410,56303
B,15413,167
R,15415,35975
B,15417,113
I,15420,56311
B,15422,187
R,15425,35970
B,15427,99
I,15429,56281
B,15432,192
R,15434,35971
B,15436,110
I,15439,56340
B,15441,179
R,15443,35964
B,15446,98
I,15448,56304
B,15451,194
R,15453,35994
B,15455,106
I,15458,56353
B,15460,177
R,15462,35943
B,15465,109
I,15467,56366
B,15470,184
R,15472,35974
B,15474,106
I,15477,56368
B,15479,168
R,15481,35972
B,15484,115
I,15486,56361
B,15488,184
R,15491,35965
B,15493,99
I,15496,56313
B,15498,189
R,15500,35960
B,15503,106
I,15505,56353
B,15507,188
R,15510,35944
B,15512,92
I,15515,56325
B,15517,196
R,15519,35974
B,15522,108
I,15524,56352
B,15526,173
R,15529,35952
B,15531,107
I,15533,56371
B,15536,188
R,15538,35976
B,15541,108
I,15543,56360
B,15545,173
R,15548,35950
B,15550,119
I,15552,56355
B,15555,181
R,15557,35964
B,15560,98
I,15562,56283
B,15564,182
R,15567,35963
B,15569,110
I,15571,56336
B,15574,178
R,15576,35949
B,15578,93
I,15581,56310
B,15583,193
R,15586,35972
B,15588,107
I,15590,56346
B,15593,179
R,15595,35938
B,15597,101
I,15600,56354
B,15602,188
R,15605,35940
B,15607,111
I,15609,56353
B,15612,170
R,15614,35933
B,15616,118
I,15619,56371
B,15621,177
R,15623,35947
B,15626,101
I,15628,56325
B,15631,178
R,15633,35974
B,15635,107
I,15638,56362
B,15640,183
R,15642,35956
B,15645,94
I,15647,56325
B,15650,192
R,15652,35964
B,15654,106
I,15657,56368
B,15659,179
R,15661,35968
B,15664,102
I,15666,56408
B,15668,183
R,15671,35978
B,15673,107
I,15676,56393
B,15678,167
R,15680,35962
B,15683,113
I,15685,56406
B,15687,179
R,15690,35975
B,15692,107
I,15695,56402
B,15697,175
R,15699,35990
B,15702,111
I,15704,56397
B,15706,188
R,15709,35976
B,15711,96
I,15713,56371
B,15716,189
R,15718,35998
B,15721,106
I,15723,56407
B,15725,181
R,15728,35967
B,15730,99
I,15732,56391
B,15735,186
R,15737,35984
B,15740,107
I,15742,56425
B,15744,169
R,15747,35971
B,15749,113
I,15751,56428
B,15754,181
R,15756,35986
B,15759,102
I,15761,56425
B,15763,173
R,15766,35992
B,15768,115
I,15770,56438
B,15773,178
R,15775,35999
B,15777,92
I,15780,56396
B,15782,187
R,15785,36024
B,15787,102
I,15789,56448
B,15792,186
R,15794,35998
B,15796,98
I,15799,56411
B,15801,192
R,15803,36013
B,15806,109
I,15808,56468
B,15811,174
R,15813,35988
B,15815,117
I,15818,56471
B,15820,184
R,15822,36012
B,15825,106
I,15827,56463
B,15830,174
R,15832,36003
B,15834,115
I,15837,56452
B,15839,188
R,15841,35982
B,15844,94
I,15846,56406
B,15849,181
R,15851,36011
B,15853,106
I,15856,56474
B,15858,184
R,15860,35986
B,15863,98
I,15865,56431
B,15867,191
R,15870,35992
B,15872,105
I,15875,56460
B,15877,172
R,15879,35981
B,15882,109
I,15884,56469
B,15886,190
R,15889,36001
B,15891,108
I,15893,56442
B,15896,172
R,15898,36001
B,15901,118
I,15903,56433
B,15905,185
R,15908,35992
B,15910,98
I,15912,56380
B,15915,182
R,15917,35999
B,15920,110
I,15922,56397
B,15924,182
R,15927,35957
B,15929,92
I,15931,56357
B,15934,187
R,15936,35950
B,15938,107
I,15941,56360
B,15943,178
R,15946,35938
B,15948,108
I,15950,56374
B,15953,182
R,15955,35964
B,15957,108
I,15960,56348
B,15962,166
R,15965,35966
B,15967,117
I,15969,56347
B,15972,180
R,15974,35950
B,15976,100
I,15979,56341
B,15981,189
R,15984,35968
B,15986,108
I,15988,56350
B,15991,182
R,15993,35951
B,15995,95
I,15998,56348
B,16000,192
R,16002,35964
B,16005,102
I,16007,56395
B,16010,179
R,16012,35946
B,16014,104
I,16017,56407
B,16019,191
R,16021,35998
B,16024,107
I,16026,56393
B,16029,177
R,16031,35997
B,16033,114
I,16036,56411
B,16038,181
R,16040,35990
B,16043,100
I,16045,56401
B,16047,179
R,16050,36010
B,16052,109
I,16055,56392
B,16057,182
R,16059,35977
B,16062,94
I,16064,56369
B,16066,187
R,16069,36010
B,16071,102
I,16074,56389
B,16076,187
R,16078,35976
B,16081,100
I,16083,56420
B,16085,190
R,16088,36006
B,16090,106
I,16092,56414
B,16095,175
R,16097,35967
B,16100,121
I,16102,56455
B,16104,187
R,16107,35998
B,16109,104
I,16111,56440
B,16114,173
R,16116,36014
B,16119,111
I,16121,56487
B,16123,182
R,16126,36031
B,16128,93
I,16130,56450
B,16133,188
R,16135,36041
B,16137,104
I,16140,56517
B,16142,178
R,16145,36018
B,16147,97
I,16149,56492
B,16152,189
R,16154,36042
B,16156,106
I,16159,56553
B,16161,168
R,16164,36027
B,16166,112
I,16168,56548
B,16171,183
R,16173,36063
B,16175,104
I,16178,56571
B,16180,177
R,16182,36066
B,16185,116
I,16187,56550
B,16190,184
R,16192,36040
B,16194,93
I,16197,56509
B,16199,194
R,16201,36052
B,16204,102
I,16206,56554
B,16209,178
R,16211,36044
B,16213,97
I,16216,56526
B,16218,191
R,16220,36040
B,16223,105
I,16225,56575
B,16227,167
R,16230,36042
B,16232,108
I,16235,56588
B,16237,180
R,16239,36066
B,16242,103
I,16244,56573
B,16246,171
R,16249,36067
B,16251,113
I,16254,56594
B,16256,180
R,16258,36088
B,16261,97
I,16263,56544
B,16265,186
R,16268,36078
B,16270,103
I,16272,56581
B,16275,179
R,16277,36046
B,16280,94
I,16282,56563
B,16284,194
R,16287,36087
B,16289,103
I,16291,56585
B,16294,170
R,16296,36060
B,16299,104
I,16301,56589
B,16303,177
R,16306,36071
B,16308,101
I,16310,56588
B,16313,164
R,16315,36069
B,16317,115
I,16320,56586
B,16322,181
R,16325,36075
B,16327,92
I,16329,56547
B,16332,183
R,16334,36091
B,16336,104
I,16339,56616
B,16341,184
R,16344,36060
B,16346,97
I,16348,56578
B,16351,195
R,16353,36072
B,16355,108
I,16358,56619
B,16360,175
R,16362,36048
B,16365,105
I,16367,56620
B,16370,182
R,16372,36069
B,16374,104
I,16377,56637
B,16379,169
R,16381,36070
B,16384,114
I,16386,56631
B,16389,186
R,16391,36083
B,16393,97
I,16396,56590
B,16398,186
R,16400,36097
B,16403,112
I,16405,56658
B,16407,182
R,16410,36084
B,16412,93
I,16415,56639
B,16417,191
R,16419,36102
B,16422,104
I,16424,56674
B,16426,178
R,16429,36085
B,16431,107
I,16433,56663
B,16436,189
R,16438,36089
B,16441,108
I,16443,56656
B,16445,172
R,16448,36083
B,16450,120
I,16452,56662
B,16455,178
R,16457,36095
B,16460,100
I,16462,56659
B,16464,187
R,16467,36101
B,16469,113
I,16471,56653
B,16474,180
R,16476,36086
B,16479,95
I,16481,56632
B,16483,194
R,16486,36093
B,16488,105
I,16490,56649
B,16493,177
R,16495,36070
B,16497,106
I,16500,56673
B,16502,186
R,16505,36080
B,16507,109
I,16509,56671
B,16512,177
R,16514,36087
B,16516,115
I,16519,56655
B,16521,184
R,16524,36084
B,16526,105
I,16528,56667
B,16531,180
R,16533,36085
B,16535,113
I,16538,56686
B,16540,179
R,16542,36086
B,16545,97
I,16547,56646
B,16550,194
R,16552,36100
B,16554,104
I,16557,56680
B,16559,180
R,16561,36075
B,16564,99
I,16566,56657
B,16568,187
R,16571,36083
B,16573,106
I,16576,56691
B,16578,174
R,16580,36076
B,16583,116
I,16585,56707
B,16587,177
R,16590,36095
B,16592,102
I,16595,56686
B,16597,177
R,16599,36108
B,16602,119
I,16604,56704
B,16606,183
R,16609,36089
B,16611,99
I,16613,56665
B,16616,191
R,16618,36097
B,16621,103
I,16623,56685
B,16625,183
R,16628,36068
B,16630,102
I,16632,56684
B,16635,186
R,16637,36078
B,16640,106
I,16642,56663
B,16644,170
R,16647,36044
B,16649,114
I,16651,56633
B,16654,181
R,16656,36043
B,16659,107
I,16661,56603
B,16663,177
R,16666,36039
B,16668,114
I,16670,56564
B,16673,181
R,16675,36030
B,16677,96
I,16680,56513
B,16682,185
R,16685,36009
B,16687,100
I,16689,56505
B,16692,185
R,16694,35978
B,16696,98
I,16699,56504
B,16701,199
R,16703,36008
B,16706,108
I,16708,56517
B,16711,175
R,16713,35993
B,16715,110
I,16718,56504
B,16720,175
R,16722,35996
B,16725,105
I,16727,56505
B,16730,175
R,16732,35993
B,16734,120
I,16737,56500
B,16739,183
R,16741,36004
B,16744,98
I,16746,56470
B,16748,189
R,16751,36023
B,16753,109
I,16756,56516
B,16758,183
R,16760,35996
B,16763,95
I,16765,56498
B,16767,194
R,16770,36007
B,16772,104
I,16775,56524
B,16777,176
R,16779,35982
B,16782,110
I,16784,56520
B,16786,180
R,16789,36004
B,16791,107
I,16793,56514
B,16796,176
R,16798,36004
B,16801,114
I,16803,56497
B,16805,185
R,16808,35987
B,16810,101
I,16812,56496
B,16815,182
R,16817,35992
B,16820,104
I,16822,56503
B,16824,180
R,16827,35975
B,16829,96
I,16831,56457
B,16834,192
R,16836,35988
B,16838,106
I,16841,56501
B,16843,185
R,16846,35968
B,16848,110
I,16850,56525
B,16853,182
R,16855,36005
B,16857,108
I,16860,56531
B,16862,173
R,16865,35996
B,16867,115
I,16869,56552
B,16872,185
R,16874,36027
B,16876,99
I,16879,56535
B,16881,192
R,16883,36063
B,16886,105
I,16888,56598
B,16891,185
R,16893,36047
B,16895,99
I,16898,56587
B,16900,195
R,16902,36069
B,16905,107
I,16907,56653
B,16910,187
R,16912,36050
B,16914,106
I,16917,56658
B,16919,182
R,16921,36081
B,16924,109
I,16926,56658
B,16929,173
R,16931,36067
B,16933,118
I,16936,56660
B,16938,187
R,16940,36079
B,16943,105
I,16945,56650
B,16947,181
R,16950,36086
B,16952,112
I,16955,56659
B,16957,186
R,16959,36052
B,16962,97
I,16964,56610
B,16966,194
R,16969,36080
B,16971,101
I,16973,56646
B,16976,185
R,16978,36051
B,16981,110
I,16983,56649
B,16985,190
R,16988,36057
B,16990,106
I,16992,56638
B,16995,173
R,16997,36047
B,17000,116
I,17002,56645
B,17004,181
R,17007,36049
B,17009,111
I,17011,56640
B,17014,177
R,17016,36056
B,17019,113
I,17021,56656
B,17023,181
R,17026,36046
B,17028,96
I,17030,56589
B,17033,187
R,17035,36037
B,17037,103
I,17040,56639
B,17042,177
R,17045,36025
B,17047,103
I,17049,56633
B,17052,195
R,17054,36024
B,17056,105
I,17059,56636
B,17061,176
R,17064,36033
B,17066,114
I,17068,56649
B,17071,178
R,17073,36037
B,17075,109
I,17078,56654
B,17080,180
R,17082,36051
B,17085,117
I,17087,56640
B,17090,183
R,17092,36028
B,17094,96
I,17097,56612
B,17099,191
R,17101,36059
B,17104,104
I,17106,56667
B,17109,188
R,17111,36062
B,17113,98
I,17116,56661
B,17118,194
R,17120,36058
B,17123,104
I,17125,56672
B,17127,174
R,17130,36057
B,17132,110
I,17135,56708
B,17137,184
R,17139,36057
B,17142,111
I,17144,56699
B,17146,177
R,17149,36066
B,17151,116
I,17154,56710
B,17156,186
R,17158,36047
B,17161,97
I,17163,56672
B,17165,194
R,17168,36071
B,17170,106
I,17172,56712
B,17175,183
R,17177,36068
B,17180,100
I,17182,56729
B,17184,195
R,17187,36079
B,17189,107
I,17191,56740
B,17194,182
R,17196,36066
B,17199,111
I,17201,56751
B,17203,180
R,17206,36086
B,17208,111
I,17210,56747
B,17213,173
R,17215,36097
B,17217,117
I,17220,56747
B,17222,185
R,17225,36091
B,17227,100
I,17229,56759
B,17232,187
R,17234,36103
B,17236,105
I,17239,56746
B,17241,184
R,17244,36080
B,17246,96
I,17248,56729
B,17251,189
R,17253,36091
B,17255,105
I,17258,56793
B,17260,178
R,17262,36095
B,17265,107
I,17267,56780
B,17270,182
R,17272,36090
B,17274,107
I,17277,56771
B,17279,173
R,17281,36104
B,17284,120
I,17286,56755
B,17289,187
R,17291,36083
B,17293,99
I,17296,56723
B,17298,190
R,17300,36098
B,17303,111
I,17305,56777
B,17307,188
R,17310,36096
B,17312,99
I,17315,56721
B,17317,198
R,17319,36078
B,17322,107
I,17324,56762
B,17326,183
R,17329,36077
B,17331,108
I,17334,56774
B,17336,187
R,17338,36086
B,17341,105
I,17343,56773
B,17345,175
R,17348,36088
B,17350,119
I,17352,56751
B,17355,185
R,17357,36059
B,17360,102
I,17362,56728
B,17364,182
R,17367,36075
B,17369,111
I,17371,56716
B,17374,188
R,17376,36040
B,17379,98
I,17381,56663
B,17383,192
R,17386,36036
B,17388,105
I,17390,56673
B,17393,178
R,17395,36010
B,17397,106
