TAG,Value,Time
I,63536,36202
B,63539,151
R,63541,24049
B,63543,90
I,63546,36163
B,63548,147
R,63550,24093
B,63553,106
I,63555,36195
B,63558,148
R,63560,24072
B,63562,83
I,63565,36147
B,63567,145
R,63569,24049
B,63572,94
I,63574,36167
B,63576,146
R,63579,24053
B,63581,83
I,63584,36191
B,63586,159
R,63588,24056
B,63591,90
I,63593,36200
B,63595,139
R,63598,24056
B,63600,96
I,63602,36146
B,63605,142
R,63607,24021
B,63610,91
I,63612,36176
B,63614,136
R,63617,24019
B,63619,107
I,63621,36200
B,63624,142
R,63626,24023
B,63629,84
I,63631,36109
B,63633,147
R,63636,24069
B,63638,96
I,63640,36145
B,63643,144
R,63645,24032
B,63647,87
I,63650,36195
B,63652,155
R,63655,24012
B,63657,92
I,63659,36153
B,63662,138
R,63664,23982
B,63666,92
I,63669,36185
B,63671,150
R,63673,24029
B,63676,92
I,63678,36153
B,63681,134
R,63683,24014
B,63685,101
I,63688,36218
B,63690,146
R,63692,24015
B,63695,86
I,63697,36164
B,63700,146
R,63702,24012
B,63704,93
I,63707,36158
B,63709,144
R,63711,24019
B,63714,85
I,63716,36161
B,63718,163
R,63721,23988
B,63723,89
I,63726,36202
B,63728,144
R,63730,23995
B,63733,85
I,63735,36172
B,63737,156
R,63740,24029
B,63742,87
I,63744,36155
B,63747,136
R,63749,24033
B,63752,99
I,63754,36177
B,63756,140
R,63759,24020
B,63761,85
I,63763,36180
B,63766,144
R,63768,24027
B,63771,107
I,63773,36211
B,63775,136
R,63778,24016
B,63780,79
I,63782,36175
B,63785,157
R,63787,24044
B,63789,90
I,63792,36167
B,63794,137
R,63797,23977
B,63799,89
I,63801,36168
B,63804,154
R,63806,23990
B,63808,91
I,63811,36155
B,63813,139
R,63815,23976
B,63818,100
I,63820,36151
B,63823,148
R,63825,23982
B,63827,89
I,63830,36101
B,63832,145
R,63834,23995
B,63837,105
I,63839,36094
B,63842,147
R,63844,23967
B,63846,81
I,63849,36092
B,63851,156
R,63853,23939
B,63856,90
I,63858,36071
B,63860,146
R,63863,23939
B,63865,85
I,63868,36076
B,63870,152
R,63872,23939
B,63875,90
I,63877,36106
B,63879,135
R,63882,23954
B,63884,97
I,63886,36057
B,63889,141
R,63891,23928
B,63894,88
I,63896,36063
B,63898,151
R,63901,23938
B,63903,102
I,63905,36108
B,63908,145
R,63910,23976
B,63913,78
I,63915,36097
B,63917,152
R,63920,23975
B,63922,90
I,63924,36125
B,63927,138
R,63929,23958
B,63931,89
I,63934,36114
B,63936,162
R,63939,23989
B,63941,90
I,63943,36145
B,63946,135
R,63948,23944
B,63950,95
I,63953,36125
B,63955,145
R,63957,23956
B,63960,89
I,63962,36086
B,63965,136
R,63967,23963
B,63969,108
I,63972,36154
B,63974,146
R,63976,23935
B,63979,82
I,63981,36126
B,63984,153
R,63986,23945
B,63988,92
I,63991,36113
B,63993,147
R,63995,23960
B,63998,81
I,64000,36129
B,64002,166
R,64005,23937
B,64007,90
I,64010,36137
B,64012,141
R,64014,23963
B,64017,100
I,64019,36180
B,64021,151
R,64024,23980
B,64026,89
I,64029,36150
B,64031,141
R,64033,23995
B,64036,106
I,64038,36184
B,64040,144
R,64043,23973
B,64045,84
I,64047,36108
B,64050,151
R,64052,24003
B,64055,94
I,64057,36141
B,64059,142
R,64062,23904
B,64064,86
I,64066,36163
B,64069,158
R,64071,23949
B,64073,91
I,64076,36140
B,64078,141
R,64081,23963
B,64083,94
I,64085,36171
B,64088,150
R,64090,23965
B,64092,96
I,64095,36136
B,64097,138
R,64100,23947
B,64102,104
I,64104,36133
B,64107,144
R,64109,23950
B,64111,87
I,64114,36130
B,64116,146
R,64118,23947
B,64121,98
I,64123,36147
B,64126,140
R,64128,23945
B,64130,79
I,64133,36126
B,64135,155
R,64137,23944
B,64140,90
I,64142,36129
B,64144,140
R,64147,23930
B,64149,90
I,64152,36131
B,64154,149
R,64156,24017
B,64159,93
I,64161,36149
B,64163,133
R,64166,23930
B,64168,102
I,64171,36203
B,64173,146
R,64175,23974
B,64178,85
I,64180,36097
B,64182,145
R,64185,23976
B,64187,104
I,64189,36169
B,64192,144
R,64194,23948
B,64197,83
I,64199,36131
B,64201,166
R,64204,23954
B,64206,89
I,64208,36139
B,64211,143
R,64213,23922
B,64215,89
I,64218,36120
B,64220,156
R,64223,23949
B,64225,90
I,64227,36147
B,64230,136
R,64232,23924
B,64234,101
I,64237,36197
B,64239,145
R,64242,23957
B,64244,88
I,64246,36153
B,64249,149
R,64251,23949
B,64253,105
I,64256,36218
B,64258,142
R,64260,23939
B,64263,86
I,64265,36172
B,64268,157
R,64270,23942
B,64272,91
I,64275,36148
B,64277,144
R,64279,23965
B,64282,88
I,64284,36205
B,64287,164
R,64289,23956
B,64291,92
I,64294,36171
B,64296,148
R,64298,23935
B,64301,99
I,64303,36166
B,64305,148
R,64308,23949
B,64310,95
I,64313,36127
B,64315,143
R,64317,23974
B,64320,104
I,64322,36219
B,64324,146
