TAG,Time,Value
I,11720,27055
B,11723,311
R,11725,18887
B,11728,139
I,11730,26941
B,11732,111
R,11735,18602
B,11737,156
I,11739,27226
B,11742,260
R,11744,18765
B,11747,75
I,11749,26811
B,11751,111
R,11754,18706
B,11756,261
I,11758,27166
B,11761,186
R,11763,18608
B,11765,76
I,11768,26875
B,11770,181
R,11773,18874
B,11775,230
I,11777,27074
B,11780,115
R,11782,18538
B,11784,71
I,11787,27012
B,11789,299
R,11792,18860
B,11794,160
I,11796,26948
B,11799,116
R,11801,18560
B,11803,125
I,11806,27190
B,11808,279
R,11810,18758
B,11813,69
I,11815,26826
B,11818,108
R,11820,18689
B,11822,254
I,11825,27185
B,11827,208
R,11829,18654
B,11832,76
I,11834,26891
B,11837,162
R,11839,18858
B,11841,237
I,11844,27100
B,11846,116
R,11848,18506
B,11851,73
I,11853,26994
B,11855,285
R,11858,18845
B,11860,173
I,11863,27006
B,11865,120
R,11867,18529
B,11870,107
I,11872,27152
B,11874,291
R,11877,18785
B,11879,78
I,11882,26843
B,11884,111
R,11886,18645
B,11889,240
I,11891,27189
B,11893,224
R,11896,18647
B,11898,73
I,11900,26814
B,11903,144
R,11905,18793
B,11908,259
I,11910,27099
B,11912,120
R,11915,18503
B,11917,75
I,11919,26955
B,11922,281
R,11924,18833
B,11927,184
I,11929,26959
B,11931,110
R,11934,18534
B,11936,96
I,11938,27106
B,11941,300
R,11943,18752
B,11945,86
I,11948,26848
B,11950,115
R,11953,18563
B,11955,222
I,11957,27195
B,11960,234
R,11962,18663
B,11964,76
I,11967,26867
B,11969,120
R,11971,18830
B,11974,265
I,11976,27134
B,11979,136
R,11981,18512
B,11983,73
I,11986,26928
B,11988,257
R,11990,18865
B,11993,198
I,11995,27033
B,11998,116
R,12000,18491
B,12002,75
I,12005,27144
B,12007,312
R,12009,18809
B,12012,102
I,12014,26891
B,12016,109
R,12019,18576
B,12021,209
I,12024,27235
B,12026,250
R,12028,18646
B,12031,72
I,12033,26813
B,12035,107
R,12038,18710
B,12040,271
I,12043,27125
B,12045,158
R,12047,18529
B,12050,75
I,12052,26874
B,12054,236
R,12057,18799
B,12059,207
I,12061,26974
B,12064,119
R,12066,18424
B,12069,72
I,12071,27041
B,12073,320
R,12076,18760
B,12078,120
I,12080,26840
B,12083,114
R,12085,18488
B,12088,183
I,12090,27071
B,12092,256
R,12095,18645
B,12097,71
I,12099,26698
B,12102,108
R,12104,18644
B,12106,279
I,12109,27048
B,12111,163
R,12114,18473
B,12116,74
I,12118,26807
B,12121,207
R,12123,18730
B,12125,217
I,12128,26980
B,12130,117
R,12132,18431
B,12135,71
I,12137,26963
B,12140,320
R,12142,18709
B,12144,134
I,12147,26835
B,12149,108
R,12151,18490
B,12154,157
I,12156,27152
B,12159,263
R,12161,18679
B,12163,73
I,12166,26747
B,12168,108
R,12170,18653
B,12173,272
I,12175,27131
B,12177,188
R,12180,18508
B,12182,76
I,12185,26839
B,12187,177
R,12189,18790
B,12192,233
I,12194,27023
B,12196,111
R,12199,18427
B,12201,73
I,12204,26980
B,12206,310
R,12208,18734
B,12211,154
I,12213,26908
B,12215,115
R,12218,18489
B,12220,133
I,12222,27192
B,12225,276
R,12227,18681
B,12230,73
I,12232,26773
B,12234,107
R,12237,18599
B,12239,263
I,12241,27125
B,12244,208
R,12246,18521
B,12249,75
I,12251,26826
B,12253,164
R,12256,18792
B,12258,240
I,12260,27041
B,12263,113
R,12265,18402
B,12267,75
I,12270,26973
B,12272,298
R,12275,18735
B,12277,169
I,12279,26886
B,12282,117
R,12284,18449
B,12286,112
I,12289,27111
B,12291,286
R,12294,18719
B,12296,75
I,12298,26797
B,12301,106
R,12303,18542
B,12305,248
I,12308,27129
B,12310,220
R,12312,18478
B,12315,72
I,12317,26813
B,12320,139
R,12322,18683
B,12324,250
I,12327,27000
B,12329,123
R,12331,18438
B,12334,72
I,12336,26920
B,12339,275
R,12341,18784
B,12343,177
I,12346,26921
B,12348,113
R,12350,18410
B,12353,97
I,12355,27058
B,12357,301
R,12360,18686
B,12362,84
I,12365,26765
B,12367,106
R,12369,18484
B,12372,234
I,12374,27108
B,12376,234
R,12379,18511
B,12381,76
I,12383,26746
B,12386,125
R,12388,18636
B,12391,266
I,12393,27033
B,12395,134
R,12398,18395
B,12400,75
I,12402,26863
B,12405,260
R,12407,18738
B,12410,195
I,12412,26954
B,12414,114
R,12417,18392
B,12419,79
I,12421,27034
B,12424,309
R,12426,18654
B,12428,97
I,12431,26769
B,12433,116
R,12436,18468
B,12438,218
I,12440,27169
B,12443,254
R,12445,18540
B,12447,74
I,12450,26750
B,12452,113
R,12455,18650
B,12457,274
I,12459,27063
B,12462,147
R,12464,18390
B,12466,74
I,12469,26856
B,12471,244
R,12473,18721
B,12476,208
I,12478,26935
B,12481,115
R,12483,18399
B,12485,70
I,12488,27028
B,12490,320
R,12492,18665
B,12495,112
I,12497,26795
B,12500,108
R,12502,18445
B,12504,197
I,12507,27140
B,12509,253
R,12511,18537
B,12514,75
I,12516,26731
B,12518,114
R,12521,18605
B,12523,274
I,12526,27011
B,12528,164
R,12530,18411
B,12533,76
I,12535,26832
B,12537,223
R,12540,18707
B,12542,215
I,12544,26919
B,12547,113
R,12549,18328
B,12552,77
