TAG,Time,Value
I,9425,38535
B,9427,188
R,9430,23745
B,9432,239
I,9434,38740
B,9437,130
R,9439,23388
B,9442,79
I,9444,38681
B,9446,311
R,9449,23760
B,9451,171
I,9453,38630
B,9456,124
R,9458,23440
B,9460,115
I,9463,38832
B,9465,308
R,9468,23677
B,9470,72
I,9472,38467
B,9475,128
R,9477,23541
B,9479,244
I,9482,38835
B,9484,242
R,9486,23570
B,9489,74
I,9491,38512
B,9493,156
R,9496,23704
B,9498,259
I,9501,38742
B,9503,139
R,9505,23395
B,9508,71
I,9510,38573
B,9512,288
R,9515,23727
B,9517,185
I,9519,38620
B,9522,129
R,9524,23428
B,9527,87
I,9529,38770
B,9531,323
R,9534,23708
B,9536,94
I,9538,38459
B,9541,128
R,9543,23473
B,9545,213
I,9548,38859
B,9550,251
R,9552,23560
B,9555,73
I,9557,38509
B,9560,135
R,9562,23732
B,9564,272
I,9567,38756
B,9569,162
R,9571,23425
B,9574,75
I,9576,38586
B,9578,258
R,9581,23775
B,9583,202
I,9585,38711
B,9588,137
R,9590,23377
B,9593,66
I,9595,38788
B,9597,335
R,9600,23749
B,9602,114
I,9604,38524
B,9607,124
R,9609,23499
B,9611,182
I,9614,38896
B,9616,272
R,9619,23644
B,9621,73
I,9623,38486
B,9626,124
R,9628,23639
B,9630,285
I,9633,38824
B,9635,194
R,9637,23534
B,9640,72
I,9642,38583
B,9645,214
R,9647,23778
B,9649,222
I,9652,38758
B,9654,127
R,9656,23422
B,9659,78
I,9661,38744
B,9663,333
R,9666,23790
B,9668,147
I,9670,38644
B,9673,130
R,9675,23474
B,9678,140
I,9680,38925
B,9682,287
R,9685,23690
B,9687,69
I,9689,38549
B,9692,127
R,9694,23651
B,9696,261
I,9699,38929
B,9701,221
R,9703,23609
B,9706,79
I,9708,38598
B,9711,175
R,9713,23799
B,9715,246
I,9718,38849
B,9720,128
R,9722,23483
B,9725,75
I,9727,38760
B,9729,301
R,9732,23825
B,9734,176
I,9737,38687
B,9739,124
R,9741,23429
B,9744,105
I,9746,38939
B,9748,320
R,9751,23731
B,9753,75
I,9755,38597
B,9758,123
R,9760,23604
B,9763,243
I,9765,38927
B,9767,233
R,9770,23632
B,9772,74
I,9774,38616
B,9777,152
R,9779,23767
B,9781,261
I,9784,38895
B,9786,143
R,9788,23524
B,9791,72
I,9793,38740
B,9796,287
R,9798,23822
B,9800,190
I,9803,38740
B,9805,126
R,9807,23476
B,9810,79
I,9812,38918
B,9814,324
R,9817,23799
B,9819,95
I,9821,38629
B,9824,126
R,9826,23563
B,9829,208
I,9831,38969
B,9833,257
R,9836,23686
B,9838,73
I,9840,38610
B,9843,124
R,9845,23788
B,9847,277
I,9850,38907
B,9852,172
R,9855,23513
B,9857,73
I,9859,38731
B,9862,249
R,9864,23881
B,9866,208
I,9869,38844
B,9871,135
R,9873,23503
B,9876,69
I,9878,38888
B,9880,341
R,9883,23832
B,9885,127
I,9888,38703
B,9890,124
R,9892,23580
B,9895,177
I,9897,39026
B,9899,277
R,9902,23719
B,9904,71
I,9906,38580
B,9909,124
R,9911,23717
B,9914,284
I,9916,38931
B,9918,195
R,9921,23585
B,9923,73
I,9925,38696
B,9928,206
R,9930,23882
B,9932,231
I,9935,38886
B,9937,130
R,9939,23512
B,9942,68
I,9944,38850
B,9947,332
R,9949,23895
B,9951,157
I,9954,38752
B,9956,120
R,9958,23582
B,9961,129
I,9963,39038
B,9965,300
R,9968,23820
B,9970,71
I,9973,38680
B,9975,123
R,9977,23726
B,9980,269
I,9982,39065
B,9984,227
R,9987,23687
B,9989,71
I,9991,38766
B,9994,165
R,9996,23903
B,9998,253
I,10001,39046
B,10003,132
R,10006,23587
B,10008,69
I,10010,38932
B,10013,306
R,10015,23950
B,10017,174
I,10020,38938
B,10022,128
R,10025,23625
B,10027,102
I,10029,39148
B,10032,316
R,10034,23929
B,10036,76
I,10039,38804
B,10041,118
R,10043,23729
B,10046,245
I,10048,39206
B,10051,240
R,10053,23830
B,10055,74
I,10058,38810
B,10060,148
R,10062,23977
B,10065,269
I,10067,39108
B,10070,137
R,10072,23683
B,10074,73
I,10077,38955
B,10079,288
R,10081,24028
B,10084,189
I,10086,39015
B,10088,126
R,10091,23648
B,10093,88
I,10096,39146
B,10098,320
R,10100,23978
B,10103,88
I,10105,38868
B,10107,125
R,10110,23778
B,10112,224
I,10115,39265
B,10117,259
R,10119,23849
B,10122,70
I,10124,38833
B,10126,137
R,10129,23963
B,10131,275
I,10133,39194
B,10136,153
R,10138,23697
B,10141,75
I,10143,38974
B,10145,280
R,10148,24013
B,10150,197
I,10152,39107
B,10155,133
R,10157,23702
B,10160,71
I,10162,39211
B,10164,337
R,10167,24029
B,10169,99
I,10171,38901
B,10174,116
R,10176,23743
B,10178,209
I,10181,39280
B,10183,268
R,10186,23848
B,10188,74
I,10190,38891
B,10193,122
R,10195,23944
B,10197,282
I,10200,39201
B,10202,165
R,10204,23777
B,10207,73
I,10209,39026
B,10212,258
R,10214,24029
B,10216,218
I,10219,39148
B,10221,134
R,10223,23652
B,10226,68
I,10228,39180
B,10231,333
R,10233,24002
B,10235,122
I,10238,38950
B,10240,127
R,10242,23728
B,10245,182
I,10247,39241
B,10249,282
R,10252,23843
B,10254,70
I,10257,38809
B,10259,127
R,10261,23863
B,10264,281
I,10266,39192
B,10268,190
R,10271,23672
B,10273,79
I,10276,38865
B,10278,230
R,10280,23962
B,10283,225
