,TAG,Value,Time
0,B,0,402
1,R,55388,403
2,B,0,404
3,I,54438,405
4,B,0,406
5,R,55372,406
6,B,0,407
7,I,54473,408
8,B,0,409
9,R,55420,410
10,B,0,411
11,I,54473,411
12,B,0,412
13,R,55465,413
14,B,0,414
15,I,54454,415
16,B,0,416
17,R,55462,417
18,B,0,418
19,I,54464,418
20,B,0,419
21,R,55424,420
22,B,0,421
23,I,54486,422
24,B,0,423
25,R,55436,423
26,B,0,424
27,I,54457,425
28,B,0,426
29,R,55398,427
30,B,0,428
31,I,54464,429
32,B,0,430
33,R,55398,430
34,B,0,431
35,I,54460,432
36,B,0,433
37,R,55462,434
38,B,0,435
39,I,54502,435
40,B,0,436
41,R,55494,437
42,B,0,438
43,I,54448,439
44,B,0,440
45,R,55462,441
46,B,0,442
47,I,54489,442
48,B,0,443
49,R,55420,444
50,B,0,445
51,I,54505,446
52,B,0,447
53,R,55459,447
54,B,0,448
55,I,54518,449
56,B,0,450
57,R,55430,451
58,B,0,452
59,I,54505,453
60,B,0,454
61,R,55440,454
62,B,0,455
63,I,54489,456
64,B,0,457
65,R,55401,458
66,B,0,459
67,I,54566,459
68,B,0,460
69,R,55430,461
70,B,0,462
71,I,54588,463
72,B,0,464
73,R,55468,465
74,B,0,466
75,I,54521,466
76,B,0,467
77,R,55510,468
78,B,0,469
79,I,54531,470
80,B,0,471
81,R,55497,471
82,B,0,472
83,I,54540,473
84,B,0,474
85,R,55510,475
86,B,0,476
87,I,54521,477
88,B,0,478
89,R,55500,478
90,B,0,479
91,I,54518,480
92,B,0,481
93,R,55427,482
94,B,0,483
95,I,54563,483
96,B,0,484
97,R,55520,485
98,B,0,486
99,I,54460,487
100,B,0,488
101,R,55462,489
102,B,0,490
103,I,54640,490
104,B,0,491
105,R,55475,492
106,B,0,493
107,I,54560,494
108,B,0,495
109,R,55520,495
110,B,0,496
111,I,54579,497
112,B,0,498
113,R,55446,499
114,B,0,500
115,I,54588,501
116,B,0,502
117,R,55478,502
118,B,0,503
119,I,54560,504
120,B,0,505
121,R,55510,506
122,B,0,507
123,I,54576,507
124,B,0,508
125,R,55478,509
126,B,0,510
127,I,54576,511
128,B,0,512
129,R,55507,513
130,B,0,514
131,I,54582,514
132,B,0,515
133,R,55513,516
134,B,0,517
135,I,54672,518
136,B,0,519
137,R,55452,519
138,B,0,520
139,I,54611,521
140,B,0,522
141,R,55500,523
142,B,0,524
143,I,54614,525
144,B,0,526
145,R,55488,526
146,B,0,527
147,I,54672,528
148,B,0,529
149,R,55587,530
150,B,0,531
151,I,54553,531
152,B,0,532
153,R,55526,533
154,B,0,534
155,I,54604,535
156,B,0,536
157,R,55596,537
158,B,0,538
159,I,54627,538
160,B,0,539
161,R,55558,540
162,B,0,541
163,I,54627,542
164,B,0,543
165,R,55539,543
166,B,0,544
167,I,54608,545
168,B,0,546
169,R,55484,547
170,B,0,548
171,I,54624,549
172,B,0,550
173,R,55625,550
174,B,0,551
175,I,54646,552
176,B,0,553
177,R,55526,554
178,B,0,555
179,I,54691,555
180,B,0,556
181,R,55542,557
182,B,0,558
183,I,54678,559
184,B,0,560
185,R,55574,561
186,B,0,562
187,I,54713,562
188,B,0,563
189,R,55532,564
190,B,0,565
191,I,54678,566
192,B,0,567
193,R,55558,567
194,B,0,568
195,I,54656,569
196,B,0,570
197,R,55590,571
198,B,0,572
199,I,54678,573
200,B,0,574
201,R,55561,574
202,B,0,575
203,I,54700,576
204,B,0,577
205,R,55561,578
206,B,0,579
207,I,54640,579
208,B,0,580
209,R,55628,581
210,B,0,582
211,I,54752,583
212,B,0,584
213,R,55625,585
214,B,0,586
215,I,54662,586
216,B,0,587
217,R,55577,588
218,B,0,589
219,I,54736,590
220,B,0,591
221,R,55555,591
222,B,0,592
223,I,54780,593
224,B,0,594
225,R,55641,595
226,B,0,596
227,I,54681,597
228,B,0,598
229,R,55568,598
230,B,0,599
231,I,54771,600
232,B,0,601
233,R,55606,602
234,B,0,603
235,I,54800,603
236,B,0,604
237,R,55603,605
238,B,0,606
239,I,54812,607
240,B,0,608
241,R,55625,609
242,B,0,610
243,I,54896,610
244,B,0,611
245,R,55616,612
246,B,0,613
247,I,54732,614
248,B,0,615
249,R,55635,615
250,B,0,616
251,I,54934,617
252,B,0,618
253,R,55635,619
254,B,0,620
255,I,54809,621
256,B,0,622
257,R,55657,622
258,B,0,623
259,I,54771,624
260,B,0,625
261,R,55692,626
262,B,0,627
263,I,54803,627
264,B,0,628
265,R,55651,629
266,B,0,630
267,I,54761,631
268,B,0,632
269,R,55638,633
270,B,0,634
271,I,54796,634
272,B,0,635
273,R,55632,636
274,B,0,637
275,I,54841,638
276,B,0,639
277,R,55708,639
278,B,0,640
279,I,54796,641
280,B,0,642
281,R,55648,643
282,B,0,644
283,I,54873,645
284,B,0,646
285,R,55596,646
286,B,0,647
287,I,54857,648
288,B,0,649
289,R,55667,650
290,B,0,651
291,I,54825,651
292,B,0,652
293,R,55619,653
294,B,0,654
295,I,54835,655
296,B,0,656
297,R,55676,657
298,B,0,658
299,I,54867,658
300,B,0,659
301,R,55699,660
302,B,0,661
303,I,54886,662
304,B,0,663
305,R,55702,663
306,B,0,664
307,I,54867,665
308,B,0,666
309,R,55692,667
310,B,0,668
311,I,54880,669
312,B,0,670
313,R,55811,670
314,B,0,671
315,I,54899,672
316,B,0,673
317,R,55683,674
318,B,0,675
319,I,54857,675
320,B,0,676
321,R,55712,677
322,B,0,678
323,I,54832,679
324,B,0,680
325,R,55670,681
326,B,0,682
327,I,54908,682
328,B,0,683
329,R,55763,684
330,B,0,685
331,I,54918,686
332,B,0,687
333,R,55667,687
334,B,0,688
335,I,54915,689
336,B,0,690
337,R,55686,691
338,B,0,692
339,I,54918,693
340,B,0,694
341,R,55747,694
342,B,0,695
343,I,54921,696
344,B,0,697
345,R,55676,698
346,B,0,699
347,I,54873,699
348,B,0,700
349,R,55664,701
350,B,0,702
351,I,54950,703
352,B,0,704
353,R,55696,705
354,B,0,706
355,I,54912,706
356,B,0,707
357,R,55692,708
358,B,0,709
359,I,54960,710
360,B,0,711
361,R,55692,711
362,B,0,712
363,I,54921,713
364,B,0,714
365,R,55756,715
366,B,0,716
367,I,54931,717
368,B,0,718
369,R,55718,718
370,B,0,719
371,I,54979,720
372,B,0,721
373,R,55763,722
374,B,0,723
375,I,54928,723
376,B,0,724
377,R,55756,725
378,B,0,726
379,I,54976,727
380,B,0,728
381,R,55769,729
382,B,0,730
383,I,55059,730
384,B,0,731
385,R,55750,732
386,B,0,733
387,I,54963,734
388,B,0,735
389,R,55779,735
390,B,0,736
391,I,55017,737
392,B,0,738
393,R,55772,739
394,B,0,740
395,I,55024,741
396,B,0,742
397,R,55801,742
398,B,0,743
399,I,54976,744
400,B,0,745
401,R,55804,746
402,B,0,747
403,I,55004,747
404,B,0,748
405,R,55782,749
406,B,0,750
407,I,55027,751
408,B,0,752
409,R,55814,753
410,B,0,754
411,I,55024,754
412,B,0,755
413,R,55840,756
414,B,0,757
415,I,55104,758
416,B,0,759
417,R,55820,759
418,B,0,760
419,I,55052,761
420,B,0,762
421,R,55788,763
422,B,0,764
423,I,55056,765
424,B,0,766
425,R,55776,766
426,B,0,767
427,I,55075,768
428,B,0,769
429,R,55763,770
430,B,0,771
431,I,55081,771
432,B,0,772
433,R,55792,773
434,B,0,774
435,I,55126,775
436,B,0,776
437,R,55907,777
438,B,0,778
439,I,55062,778
440,B,0,779
441,R,55817,780
442,B,0,781
443,I,55094,782
444,B,0,783
445,R,55788,783
446,B,0,784
447,I,55129,785
448,B,0,786
449,R,55859,787
450,B,0,788
451,I,55097,789
452,B,0,790
453,R,55798,790
454,B,0,791
455,I,55088,792
456,B,0,793
457,R,55840,794
458,B,0,795
459,I,55084,795
460,B,0,796
461,R,55840,797
462,B,0,798
463,I,55116,799
464,B,0,800
465,R,55872,801
466,B,0,802
467,I,55107,802
468,B,0,803
469,R,55900,804
470,B,0,805
471,I,55180,806
472,B,0,807
473,R,55798,807
474,B,0,808
475,I,55145,809
476,B,0,810
477,R,55891,811
478,B,0,812
479,I,55196,813
480,B,0,814
481,R,55865,814
482,B,0,815
483,I,55222,816
484,B,0,817
485,R,55926,818
486,B,0,819
487,I,55187,819
488,B,0,820
489,R,55875,821
490,B,0,822
491,I,55168,823
492,B,0,824
493,R,55920,825
494,B,0,826
495,I,55219,826
496,B,0,827
497,R,55872,828
498,B,0,829
499,I,55187,830
500,B,0,831
501,R,55881,831
502,B,0,832
503,I,55180,833
504,B,0,834
505,R,55865,835
506,B,0,836
507,I,55212,837
508,B,0,838
509,R,55884,838
510,B,0,839
511,I,55244,840
512,B,0,841
513,R,55881,842
514,B,0,843
515,I,55209,843
516,B,0,844
517,R,55894,845
518,B,0,846
519,I,55174,847
520,B,0,848
521,R,55872,849
522,B,0,850
523,I,55251,850
524,B,0,851
525,R,55910,852
526,B,0,853
527,I,55212,854
528,B,0,855
529,R,55875,855
530,B,0,856
531,I,55267,857
532,B,0,858
533,R,55888,859
