TAG,Time,Value
I,23912,53573
B,23914,186
R,23917,33743
B,23919,91
I,23921,53557
B,23924,169
R,23926,33716
B,23928,96
I,23931,53472
B,23933,179
R,23936,33681
I,23938,94
B,23940,53399
R,23943,164
B,23945,33641
I,23947,114
B,23950,53434
R,23952,168
B,23954,33623
I,23957,95
B,23959,53354
R,23962,170
I,23964,33656
B,23966,103
R,23969,53389
B,23971,162
I,23973,33615
B,23976,90
R,23978,53351
B,23981,179
I,23983,33610
B,23985,92
R,23988,53344
I,23990,170
B,23992,33621
R,23995,98
B,23997,53386
I,23999,182
B,24002,33647
R,24004,91
B,24007,53336
I,24009,160
B,24011,33639
R,24014,115
I,24016,53398
B,24018,169
R,24021,33635
B,24023,98
I,24025,53299
B,24028,172
R,24030,33642
B,24033,107
I,24035,53371
B,24037,173
R,24040,33618
I,24042,90
B,24044,53277
R,24047,182
B,24049,33619
I,24052,96
B,24054,53302
R,24056,178
B,24059,33608
I,24061,95
B,24063,53333
R,24066,182
I,24068,33608
B,24070,95
R,24073,53317
B,24075,169
I,24078,33611
B,24080,107
R,24082,53428
B,24085,168
I,24087,33598
B,24089,98
R,24092,53351
I,24094,171
B,24097,33656
R,24099,111
B,24101,53400
I,24104,162
B,24106,33624
R,24108,89
B,24111,53392
I,24113,182
B,24115,33660
R,24118,91
I,24120,53347
B,24123,173
R,24125,33666
B,24127,94
I,24130,53394
B,24132,185
R,24134,33656
B,24137,93
I,24139,53381
B,24141,168
R,24144,33638
I,24146,107
B,24149,53439
R,24151,168
B,24153,33643
I,24156,92
B,24158,53360
R,24160,163
B,24163,33660
I,24165,111
B,24168,53439
R,24170,160
I,24172,33616
B,24175,91
R,24177,53356
B,24179,177
I,24182,33658
B,24184,95
R,24186,53375
B,24189,159
I,24191,33638
B,24194,92
R,24196,53411
I,24198,181
B,24201,33681
R,24203,92
B,24205,53434
I,24208,164
B,24210,33658
R,24212,102
B,24215,53502
I,24217,175
B,24220,33700
R,24222,90
I,24224,53443
B,24227,161
R,24229,33697
B,24231,108
I,24234,53527
B,24236,165
R,24239,33702
B,24241,93
I,24243,53470
B,24246,176
R,24248,33724
I,24250,99
B,24253,53487
R,24255,166
B,24257,33709
I,24260,88
B,24262,53478
R,24265,182
B,24267,33718
I,24269,92
B,24272,53480
R,24274,164
I,24276,33717
B,24279,99
R,24281,53499
B,24283,176
I,24286,33733
B,24288,92
R,24291,53519
B,24293,168
I,24295,33732
