TAG,Time,Value
I,19379,49525
B,19381,175
R,19384,31783
B,19386,102
I,19388,49499
B,19391,167
R,19393,31755
B,19395,113
I,19398,49485
B,19400,177
R,19403,31727
B,19405,97
I,19407,49389
B,19410,168
R,19412,31762
B,19414,115
I,19417,49428
B,19419,171
R,19422,31739
B,19424,94
I,19426,49365
B,19429,183
R,19431,31739
B,19433,101
I,19436,49433
B,19438,167
R,19440,31704
B,19443,98
I,19445,49392
B,19448,187
R,19450,31727
B,19452,102
I,19455,49398
B,19457,164
R,19459,31752
B,19462,113
I,19464,49416
B,19466,168
R,19469,31722
B,19471,97
I,19474,49340
B,19476,168
R,19478,31721
B,19481,110
I,19483,49402
B,19485,170
R,19488,31728
B,19490,90
I,19493,49337
B,19495,186
R,19497,31739
B,19500,102
I,19502,49390
B,19504,178
R,19507,31729
B,19509,100
I,19511,49412
B,19514,184
R,19516,31691
B,19519,104
I,19521,49365
B,19523,158
R,19526,31702
B,19528,108
I,19530,49381
B,19533,168
R,19535,31705
B,19538,98
I,19540,49288
B,19542,161
R,19545,31719
B,19547,113
I,19549,49379
B,19552,171
R,19554,31693
B,19556,88
I,19559,49315
B,19561,183
R,19564,31715
B,19566,101
I,19568,49372
B,19571,166
R,19573,31683
B,19575,96
I,19578,49336
B,19580,190
R,19583,31713
B,19585,102
I,19587,49380
B,19590,163
R,19592,31689
B,19594,111
I,19597,49400
B,19599,173
R,19601,31720
B,19604,99
I,19606,49329
B,19609,161
R,19611,31739
B,19613,121
I,19616,49407
B,19618,171
R,19620,31724
B,19623,95
I,19625,49380
B,19627,179
R,19630,31753
B,19632,102
I,19635,49427
B,19637,169
R,19639,31703
B,19642,95
I,19644,49378
B,19646,185
R,19649,31758
B,19651,103
I,19654,49420
B,19656,161
R,19658,31722
B,19661,107
I,19663,49448
B,19665,175
R,19668,31735
B,19670,102
I,19672,49387
B,19675,160
R,19677,31716
B,19680,116
I,19682,49413
B,19684,170
R,19687,31721
B,19689,99
I,19691,49361
B,19694,173
R,19696,31730
B,19699,106
I,19701,49442
B,19703,177
R,19706,31742
B,19708,91
I,19710,49405
B,19713,188
R,19715,31755
B,19718,104
I,19720,49425
B,19722,159
R,19725,31722
B,19727,106
I,19729,49448
B,19732,177
R,19734,31731
B,19736,102
I,19739,49432
B,19741,160
R,19744,31726
B,19746,120
I,19748,49454
B,19751,174
R,19753,31740
B,19755,96
I,19758,49393
B,19760,175
R,19762,31758
B,19765,117
I,19767,49474
B,19770,166
R,19772,31729
B,19774,95
I,19777,49421
B,19779,192
R,19781,31761
B,19784,105
I,19786,49460
B,19789,164
R,19791,31738
B,19793,106
I,19796,49494
B,19798,177
R,19800,31727
B,19803,101
I,19805,49462
B,19807,157
R,19810,31742
B,19812,119
I,19815,49496
B,19817,173
R,19819,31747
B,19822,101
I,19824,49455
B,19826,169
R,19829,31760
B,19831,107
I,19834,49485
B,19836,175
R,19838,31747
B,19841,96
I,19843,49439
B,19845,187
R,19848,31769
B,19850,103
I,19852,49512
B,19855,170
R,19857,31724
B,19860,99
I,19862,49475
B,19864,180
R,19867,31754
B,19869,105
I,19871,49513
B,19874,161
R,19876,31724
B,19879,115
I,19881,49507
B,19883,173
R,19886,31734
B,19888,97
I,19890,49417
B,19893,166
R,19895,31777
B,19897,110
I,19900,49504
B,19902,174
R,19905,31727
B,19907,93
I,19909,49452
B,19912,186
R,19914,31759
B,19916,109
I,19919,49499
B,19921,178
R,19924,31711
B,19926,102
I,19928,49499
B,19931,182
R,19933,31718
B,19935,102
I,19938,49507
B,19940,168
R,19942,31704
B,19945,113
I,19947,49487
B,19950,175
R,19952,31743
B,19954,102
I,19957,49461
B,19959,164
R,19961,31738
B,19964,117
I,19966,49489
B,19969,175
R,19971,31725
B,19973,92
I,19976,49430
B,19978,189
R,19980,31727
B,19983,106
I,19985,49483
B,19987,171
R,19990,31710
B,19992,97
I,19995,49467
B,19997,185
R,19999,31740
B,20002,102
I,20004,49471
B,20006,168
R,20009,31724
B,20011,115
I,20014,49506
B,20016,178
R,20018,31725
B,20021,104
I,20023,49480
B,20025,167
R,20028,31737
B,20030,119
I,20032,49508
B,20035,174
R,20037,31748
B,20040,95
I,20042,49459
B,20044,184
R,20047,31755
B,20049,108
I,20051,49500
B,20054,175
R,20056,31730
B,20059,98
I,20061,49459
B,20063,187
R,20066,31733
B,20068,106
I,20070,49487
B,20073,162
R,20075,31695
B,20077,112
I,20080,49513
B,20082,177
R,20085,31714
B,20087,100
I,20089,49482
B,20092,163
R,20094,31739
B,20096,123
I,20099,49530
B,20101,185
R,20104,31727
B,20106,102
I,20108,49471
B,20111,180
R,20113,31747
B,20115,110
I,20118,49526
B,20120,175
R,20123,31736
B,20125,94
I,20127,49477
B,20130,185
R,20132,31765
B,20134,109
I,20137,49539
B,20139,162
R,20141,31773
B,20144,113
I,20146,49548
B,20149,174
R,20151,31728
B,20153,103
I,20156,49530
B,20158,160
R,20160,31757
B,20163,121
I,20165,49559
B,20168,173
R,20170,31755
B,20172,96
I,20175,49482
B,20177,175
R,20179,31787
B,20182,115
I,20184,49559
B,20186,169
R,20189,31751
B,20191,91
I,20194,49511
B,20196,184
R,20198,31768
B,20201,107
I,20203,49565
B,20205,167
R,20208,31774
B,20210,107
I,20212,49570
B,20215,175
R,20217,31777
B,20220,100
I,20222,49571
B,20224,153
R,20227,31772
B,20229,118
I,20231,49570
B,20234,175
R,20236,31761
B,20239,101
I,20241,49546
B,20243,172
R,20246,31813
B,20248,110
I,20250,49581
B,20253,172
R,20255,31767
B,20258,103
I,20260,49586
B,20262,184
R,20265,31799
B,20267,104
I,20269,49590
B,20272,164
R,20274,31763
B,20276,98
I,20279,49573
B,20281,175
R,20284,31801
B,20286,102
I,20288,49614
B,20291,159
R,20293,31778
B,20295,116
I,20298,49587
B,20300,169
R,20303,31795
B,20305,98
I,20307,49519
B,20310,167
R,20312,31804
B,20314,112
I,20317,49609
B,20319,177
R,20321,31777
B,20324,90
I,20326,49550
B,20329,187
R,20331,31790
B,20333,103
I,20336,49611
B,20338,166
R,20340,31746
B,20343,99
I,20345,49582
B,20347,183
R,20350,31784
B,20352,107
I,20355,49626
B,20357,164
R,20359,31812
B,20362,115
I,20364,49628
B,20366,177
R,20369,31806
B,20371,100
I,20374,49569
B,20376,158
R,20378,31802
B,20381,115
I,20383,49615
B,20385,170
R,20388,31783
B,20390,88
I,20392,49554
B,20395,184
R,20397,31816
B,20400,103
I,20402,49614
B,20404,176
R,20407,31781
B,20409,100
I,20411,49622
B,20414,182
R,20416,31802
B,20419,103
I,20421,49612
B,20423,164
R,20426,31787
B,20428,116
I,20430,49605
B,20433,177
R,20435,31791
B,20438,105
I,20440,49558
B,20442,168
R,20445,31781
B,20447,115
I,20449,49554
B,20452,166
R,20454,31774
B,20456,94
I,20459,49509
B,20461,182
R,20464,31782
B,20466,104
I,20468,49527
B,20471,169
R,20473,31735
B,20475,98
I,20478,49471
B,20480,187
R,20483,31737
B,20485,101
I,20487,49542
B,20490,162
R,20492,31735
B,20494,110
I,20497,49530
B,20499,175
R,20501,31762
B,20504,102
I,20506,49473
B,20509,160
R,20511,31735
B,20513,116
I,20516,49459
B,20518,170
R,20520,31727
B,20523,94
I,20525,49411
B,20528,183
R,20530,31729
B,20532,103
I,20535,49496
B,20537,170
R,20539,31719
B,20542,95
I,20544,49459
B,20546,194
R,20549,31739
B,20551,107
I,20554,49470
B,20556,162
R,20558,31680
B,20561,114
I,20563,49470
B,20565,175
R,20568,31713
B,20570,104
I,20573,49431
B,20575,166
R,20577,31710
B,20580,121
I,20582,49457
B,20584,174
R,20587,31695
B,20589,99
I,20591,49399
B,20594,174
R,20596,31733
B,20599,109
I,20601,49420
B,20603,174
R,20606,31686
B,20608,104
I,20610,49438
B,20613,184
R,20615,31695
B,20618,104
I,20620,49418
B,20622,167
R,20625,31670
B,20627,106
I,20629,49441
B,20632,175
R,20634,31653
B,20636,104
I,20639,49406
B,20641,166
R,20644,31676
B,20646,121
I,20648,49409
B,20651,172
R,20653,31697
B,20655,96
I,20658,49343
B,20660,172
R,20663,31685
B,20665,106
I,20667,49444
B,20670,173
R,20672,31698
B,20674,97
I,20677,49414
B,20679,192
R,20681,31690
B,20684,108
I,20686,49465
B,20689,164
R,20691,31681
B,20693,106
I,20696,49454
B,20698,185
R,20700,31673
B,20703,105
I,20705,49453
B,20708,166
R,20710,31671
B,20712,122
I,20715,49453
B,20717,170
R,20719,31677
B,20722,101
I,20724,49432
B,20727,172
R,20729,31721
B,20731,111
I,20734,49467
B,20736,176
R,20738,31669
B,20741,94
I,20743,49418
B,20745,191
R,20748,31679
B,20750,109
I,20753,49481
B,20755,167
R,20757,31690
B,20760,105
I,20762,49478
B,20764,179
R,20767,31674
B,20769,105
I,20772,49446
B,20774,160
R,20776,31684
B,20779,118
I,20781,49468
B,20783,177
R,20786,31675
B,20788,104
I,20790,49420
B,20793,178
R,20795,31703
B,20798,115
I,20800,49449
B,20802,170
R,20805,31682
B,20807,96
I,20809,49383
B,20812,185
R,20814,31697
B,20817,105
I,20819,49471
B,20821,166
R,20824,31665
B,20826,101
I,20828,49472
B,20831,183
R,20833,31692
B,20835,105
I,20838,49446
B,20840,169
R,20843,31653
B,20845,119
I,20847,49494
B,20850,177
R,20852,31685
B,20854,101
I,20857,49457
B,20859,167
R,20862,31684
B,20864,117
I,20866,49478
B,20869,174
R,20871,31694
B,20873,96
I,20876,49431
B,20878,183
R,20880,31692
B,20883,104
I,20885,49471
B,20888,176
R,20890,31680
B,20892,100
I,20895,49522
B,20897,189
R,20899,31700
B,20902,104
I,20904,49476
B,20907,167
R,20909,31688
B,20911,115
I,20914,49519
B,20916,176
R,20918,31708
B,20921,103
I,20923,49497
B,20925,165
R,20928,31720
B,20930,118
I,20933,49532
B,20935,172
R,20937,31715
B,20940,95
I,20942,49489
B,20944,180
R,20947,31736
B,20949,104
I,20952,49552
B,20954,168
R,20956,31708
B,20959,96
I,20961,49524
B,20963,186
R,20966,31753
B,20968,106
I,20970,49516
B,20973,160
R,20975,31714
B,20978,112
I,20980,49574
B,20982,174
R,20985,31726
B,20987,102
I,20989,49518
B,20992,166
R,20994,31738
B,20997,114
I,20999,49536
B,21001,168
R,21004,31729
B,21006,92
I,21008,49497
B,21011,172
R,21013,31756
B,21015,104
I,21018,49554
B,21020,169
R,21023,31723
B,21025,97
I,21027,49539
B,21030,184
R,21032,31736
B,21034,104
I,21037,49564
B,21039,166
R,21042,31717
B,21044,107
I,21046,49599
B,21049,178
R,21051,31752
B,21053,102
I,21056,49603
B,21058,166
R,21060,31753
B,21063,118
I,21065,49563
B,21068,171
R,21070,31731
B,21072,96
I,21075,49531
B,21077,176
R,21079,31771
B,21082,106
I,21084,49589
B,21087,170
R,21089,31715
B,21091,94
I,21094,49539
B,21096,198
R,21098,31743
B,21101,105
I,21103,49603
B,21105,172
R,21108,31748
B,21110,108
I,21113,49589
B,21115,177
R,21117,31726
B,21120,106
I,21122,49579
B,21124,159
R,21127,31730
B,21129,118
I,21132,49578
B,21134,172
R,21136,31730
B,21139,98
I,21141,49513
B,21143,171
R,21146,31768
B,21148,110
I,21150,49583
B,21153,174
R,21155,31727
B,21158,94
I,21160,49523
B,21162,185
R,21165,31761
B,21167,104
I,21169,49584
B,21172,180
R,21174,31716
B,21177,103
I,21179,49595
B,21181,178
R,21184,31722
B,21186,105
I,21188,49580
B,21191,163
R,21193,31713
B,21195,116
I,21198,49608
B,21200,174
R,21203,31742
B,21205,99
I,21207,49527
B,21210,174
R,21212,31763
B,21214,110
I,21217,49622
B,21219,172
R,21222,31750
B,21224,93
I,21226,49551
B,21229,190
R,21231,31780
B,21233,103
I,21236,49643
B,21238,172
R,21240,31740
B,21243,102
I,21245,49641
B,21248,184
R,21250,31759
B,21252,107
I,21255,49624
B,21257,164
R,21259,31739
B,21262,117
I,21264,49651
B,21267,176
R,21269,31755
B,21271,106
I,21274,49611
B,21276,172
R,21278,31760
B,21281,115
I,21283,49637
B,21285,169
R,21288,31747
B,21290,91
I,21293,49568
B,21295,183
R,21297,31751
B,21300,106
I,21302,49646
B,21304,171
R,21307,31741
B,21309,101
I,21312,49683
B,21314,178
R,21316,31759
B,21319,103
I,21321,49657
B,21323,161
R,21326,31771
B,21328,112
I,21330,49677
B,21333,177
R,21335,31780
B,21338,106
I,21340,49645
B,21342,168
R,21345,31780
B,21347,116
I,21349,49659
B,21352,178
R,21354,31763
B,21357,96
I,21359,49604
B,21361,184
R,21364,31789
B,21366,104
I,21368,49640
B,21371,176
R,21373,31773
B,21375,104
I,21378,49691
B,21380,187
R,21383,31736
B,21385,107
I,21387,49663
B,21390,162
R,21392,31787
B,21394,114
I,21397,49668
B,21399,180
R,21402,31780
B,21404,102
I,21406,49644
B,21409,165
R,21411,31763
B,21413,121
I,21416,49633
B,21418,169
R,21420,31756
B,21423,95
I,21425,49540
B,21428,179
R,21430,31756
B,21432,100
I,21435,49586
B,21437,173
R,21439,31692
B,21442,97
I,21444,49551
B,21447,188
R,21449,31699
B,21451,102
I,21454,49554
B,21456,160
R,21458,31716
B,21461,109
I,21463,49590
B,21466,174
R,21468,31715
B,21470,106
I,21473,49557
B,21475,169
R,21477,31751
B,21480,120
I,21482,49569
B,21484,169
R,21487,31735
B,21489,100
I,21492,49546
B,21494,182
R,21496,31737
B,21499,109
I,21501,49591
B,21503,173
R,21506,31747
B,21508,99
I,21510,49520
B,21513,187
R,21515,31746
B,21518,106
I,21520,49595
B,21522,173
R,21525,31735
B,21527,106
I,21529,49594
B,21532,178
R,21534,31722
B,21537,108
I,21539,49582
B,21541,161
R,21544,31729
B,21546,115
I,21548,49543
B,21551,169
R,21553,31716
B,21556,100
I,21558,49551
B,21560,184
R,21563,31751
B,21565,105
I,21567,49567
B,21570,172
R,21572,31721
B,21574,94
I,21577,49524
B,21579,191
R,21582,31708
B,21584,104
I,21586,49552
B,21589,170
R,21591,31721
B,21593,108
I,21596,49566
B,21598,176
R,21601,31747
B,21603,102
I,21605,49572
B,21608,165
R,21610,31718
B,21612,121
I,21615,49586
B,21617,168
R,21619,31744
B,21622,101
I,21624,49574
B,21627,171
R,21629,31738
B,21631,105
I,21634,49612
B,21636,172
R,21638,31733
B,21641,96
I,21643,49583
B,21646,191
R,21648,31768
B,21650,102
I,21653,49617
B,21655,172
R,21657,31749
B,21660,104
I,21662,49629
B,21664,180
R,21667,31743
B,21669,104
I,21672,49612
B,21674,167
R,21676,31745
B,21679,116
I,21681,49640
B,21683,169
R,21686,31732
B,21688,103
I,21691,49605
B,21693,176
R,21695,31746
B,21698,112
I,21700,49612
B,21702,172
R,21705,31749
B,21707,96
I,21709,49557
B,21712,187
R,21714,31746
B,21717,104
I,21719,49630
B,21721,173
R,21724,31717
B,21726,102
I,21728,49647
B,21731,187
R,21733,31730
B,21736,103
I,21738,49625
B,21740,163
R,21743,31733
B,21745,118
I,21747,49643
B,21750,171
R,21752,31737
B,21754,103
I,21757,49624
B,21759,171
R,21762,31764
B,21764,116
I,21766,49636
B,21769,169
R,21771,31760
B,21773,97
I,21776,49597
B,21778,179
R,21781,31766
B,21783,101
I,21785,49658
B,21788,170
R,21790,31741
B,21792,101
I,21795,49657
B,21797,180
R,21799,31721
B,21802,99
I,21804,49609
B,21807,165
R,21809,31725
B,21811,113
I,21814,49662
B,21816,177
R,21818,31729
B,21821,104
I,21823,49625
B,21826,163
R,21828,31723
B,21830,112
I,21833,49672
B,21835,171
R,21837,31756
B,21840,93
I,21842,49622
B,21844,178
R,21847,31764
B,21849,102
I,21852,49669
B,21854,169
R,21856,31738
B,21859,102
I,21861,49702
B,21863,184
R,21866,31731
B,21868,104
I,21871,49707
B,21873,168
R,21875,31770
B,21878,109
I,21880,49700
B,21882,178
R,21885,31752
B,21887,99
I,21889,49607
B,21892,164
R,21894,31753
B,21897,114
I,21899,49694
B,21901,168
R,21904,31741
B,21906,95
I,21908,49630
B,21911,177
R,21913,31768
B,21916,98
I,21918,49656
B,21920,163
R,21923,31756
B,21925,98
I,21927,49680
B,21930,180
R,21932,31774
B,21934,103
I,21937,49702
B,21939,171
R,21942,31757
B,21944,110
I,21946,49685
B,21949,173
R,21951,31758
B,21953,104
I,21956,49689
B,21958,164
R,21961,31752
B,21963,116
I,21965,49706
B,21968,171
R,21970,31764
B,21972,100
I,21975,49741
B,21977,178
R,21979,31800
B,21982,104
I,21984,49715
B,21987,175
R,21989,31758
B,21991,96
I,21994,49668
B,21996,187
R,21998,31788
B,22001,100
I,22003,49714
B,22006,166
R,22008,31757
B,22010,109
I,22013,49728
B,22015,173
R,22017,31783
B,22020,103
I,22022,49718
B,22024,165
R,22027,31763
B,22029,117
I,22032,49713
B,22034,169
R,22036,31781
B,22039,99
I,22041,49682
B,22043,175
R,22046,31793
B,22048,107
I,22051,49689
B,22053,167
R,22055,31767
B,22058,97
I,22060,49660
B,22062,184
R,22065,31775
B,22067,101
I,22069,49701
B,22072,168
R,22074,31754
B,22077,103
I,22079,49721
B,22081,178
R,22084,31754
B,22086,104
I,22088,49678
B,22091,164
R,22093,31755
B,22096,120
I,22098,49716
B,22100,177
R,22103,31765
B,22105,101
I,22107,49694
B,22110,171
R,22112,31780
B,22114,115
I,22117,49705
B,22119,174
R,22122,31785
B,22124,96
I,22126,49675
B,22129,188
R,22131,31776
B,22133,102
I,22136,49723
B,22138,174
R,22141,31747
B,22143,99
I,22145,49689
B,22148,181
R,22150,31744
B,22152,102
I,22155,49747
B,22157,160
R,22159,31774
B,22162,114
