TAG,Time,Value
I,6360,58432
B,6362,178
R,6364,37823
B,6367,110
I,6369,58410
B,6372,175
R,6374,37825
B,6376,111
I,6379,58436
B,6381,177
R,6383,37801
B,6386,94
I,6388,58415
B,6390,183
R,6393,37848
B,6395,102
I,6397,58452
B,6400,179
R,6402,37832
B,6405,94
I,6407,58442
B,6409,186
R,6412,37815
B,6414,102
I,6416,58420
B,6419,172
R,6421,37836
B,6423,105
I,6426,58464
B,6428,181
R,6431,37839
B,6433,102
I,6435,58449
B,6438,169
R,6440,37854
B,6442,112
I,6445,58443
B,6447,177
R,6449,37855
B,6452,97
I,6454,58473
B,6456,174
R,6459,37870
B,6461,102
I,6464,58459
B,6466,177
R,6468,37848
B,6471,97
I,6473,58495
B,6475,184
R,6478,37887
B,6480,98
I,6482,58522
B,6485,177
R,6487,37867
B,6490,98
I,6492,58525
B,6494,181
R,6497,37852
B,6499,101
I,6501,58524
B,6504,163
R,6506,37864
B,6508,107
I,6511,58497
B,6513,174
R,6515,37876
B,6518,98
I,6520,58507
B,6523,179
R,6525,37895
B,6527,106
I,6530,58541
B,6532,177
R,6534,37896
B,6537,93
I,6539,58528
B,6541,186
R,6544,37888
B,6546,99
I,6549,58505
B,6551,179
R,6553,37853
B,6556,103
I,6558,58499
B,6560,190
R,6563,37843
B,6565,102
I,6567,58469
B,6570,173
R,6572,37833
B,6574,108
I,6577,58488
B,6579,177
R,6582,37856
B,6584,104
I,6586,58444
B,6589,167
R,6591,37862
B,6593,108
I,6596,58513
B,6598,177
R,6600,37874
B,6603,97
I,6605,58520
B,6608,181
R,6610,37905
B,6612,101
I,6615,58558
B,6617,182
R,6619,37892
B,6622,92
I,6624,58571
B,6626,188
R,6629,37905
B,6631,100
I,6633,58563
B,6636,170
R,6638,37891
B,6641,104
I,6643,58558
B,6645,178
R,6648,37894
B,6650,103
I,6652,58510
B,6655,165
R,6657,37881
B,6659,108
I,6662,58550
B,6664,176
R,6667,37881
B,6669,97
I,6671,58526
B,6674,180
R,6676,37905
B,6678,102
I,6681,58553
B,6683,181
R,6685,37847
B,6688,92
I,6690,58530
B,6692,190
R,6695,37864
B,6697,102
I,6700,58514
B,6702,174
R,6704,37849
B,6707,103
I,6709,58516
B,6711,187
R,6714,37832
B,6716,103
I,6718,58500
B,6721,171
R,6723,37832
B,6726,112
I,6728,58507
B,6730,176
R,6733,37858
B,6735,101
I,6737,58509
B,6740,174
R,6742,37849
B,6744,108
I,6747,58534
B,6749,180
R,6751,37864
B,6754,90
I,6756,58542
B,6759,189
R,6761,37879
B,6763,101
I,6766,58549
B,6768,174
R,6770,37862
B,6773,99
I,6775,58504
B,6777,187
R,6780,37864
B,6782,102
I,6785,58521
B,6787,170
R,6789,37847
B,6792,107
I,6794,58558
B,6796,177
R,6799,37883
B,6801,103
I,6803,58554
B,6806,181
R,6808,37891
B,6811,108
I,6813,58578
B,6815,180
R,6818,37885
B,6820,94
I,6822,58585
B,6825,185
R,6827,37922
B,6829,101
I,6832,58639
B,6834,177
R,6836,37869
B,6839,93
I,6841,58591
B,6844,182
R,6846,37911
B,6848,100
I,6851,58582
B,6853,167
R,6855,37885
B,6858,107
I,6860,58559
B,6862,175
R,6865,37910
B,6867,103
I,6869,58580
B,6872,175
R,6874,37906
B,6877,112
I,6879,58600
B,6881,180
R,6884,37896
B,6886,101
I,6888,58590
B,6891,187
R,6893,37918
B,6895,103
I,6898,58600
B,6900,182
R,6903,37867
B,6905,95
I,6907,58606
B,6910,191
R,6912,37901
B,6914,101
I,6917,58616
B,6919,176
R,6921,37912
B,6924,103
I,6926,58630
B,6928,176
R,6931,37910
B,6933,104
I,6936,58643
B,6938,179
R,6940,37921
B,6943,109
I,6945,58618
B,6947,181
R,6950,37935
B,6952,98
I,6954,58650
B,6957,185
R,6959,37931
B,6962,109
I,6964,58670
B,6966,183
R,6969,37917
B,6971,92
I,6973,58659
B,6976,187
R,6978,37935
B,6980,102
I,6983,58652
B,6985,172
R,6987,37910
B,6990,101
I,6992,58647
B,6995,183
R,6997,37902
B,6999,102
I,7002,58633
B,7004,172
R,7006,37907
B,7009,113
I,7011,58638
B,7013,177
R,7016,37892
B,7018,99
I,7021,58621
B,7023,177
R,7025,37915
B,7028,101
I,7030,58647
B,7032,179
R,7035,37889
B,7037,91
I,7039,58657
B,7042,185
R,7044,37918
B,7046,94
I,7049,58643
B,7051,181
R,7054,37895
B,7056,97
I,7058,58649
B,7061,185
R,7063,37903
B,7065,100
I,7068,58640
B,7070,173
R,7072,37880
B,7075,105
I,7077,58632
B,7080,171
R,7082,37895
B,7084,97
I,7087,58607
B,7089,170
R,7091,37894
B,7094,106
I,7096,58609
B,7098,176
R,7101,37869
B,7103,93
I,7105,58581
B,7108,181
R,7110,37884
B,7113,96
I,7115,58588
B,7117,182
R,7120,37838
B,7122,93
I,7124,58582
B,7127,185
R,7129,37843
B,7131,101
I,7134,58582
B,7136,174
R,7139,37867
B,7141,106
I,7143,58582
B,7146,176
R,7148,37870
B,7150,104
I,7153,58598
B,7155,173
R,7157,37861
B,7160,106
I,7162,58632
B,7165,176
R,7167,37891
B,7169,93
I,7172,58629
B,7174,182
R,7176,37913
B,7179,100
I,7181,58657
B,7183,179
R,7186,37928
B,7188,92
I,7190,58659
B,7193,183
R,7195,37912
B,7198,102
I,7200,58672
B,7202,176
R,7205,37908
B,7207,100
I,7209,58633
B,7212,173
R,7214,37905
B,7216,102
I,7219,58639
B,7221,176
R,7223,37911
B,7226,113
I,7228,58652
B,7231,179
R,7233,37903
B,7235,97
I,7238,58629
B,7240,175
R,7242,37910
B,7245,106
I,7247,58610
B,7249,178
R,7252,37905
B,7254,91
I,7257,58657
B,7259,186
R,7261,37912
B,7264,99
I,7266,58660
B,7268,183
R,7271,37912
B,7273,100
I,7275,58678
B,7278,182
R,7280,37915
B,7283,104
I,7285,58683
B,7287,167
R,7290,37925
B,7292,111
I,7294,58697
B,7297,175
R,7299,37929
B,7301,102
I,7304,58704
B,7306,178
R,7308,37914
B,7311,103
I,7313,58634
B,7316,182
R,7318,37895
B,7320,93
I,7323,58654
B,7325,183
R,7327,37895
B,7330,98
I,7332,58659
B,7334,184
R,7337,37880
B,7339,95
I,7341,58639
