TAG,Time,Value
I,60156,35909
B,60159,288
R,60161,24060
B,60163,154
I,60166,35833
B,60168,126
R,60171,23711
B,60173,102
I,60175,36003
B,60178,279
R,60180,23940
B,60182,78
I,60185,35646
B,60187,118
R,60190,23836
B,60192,229
I,60194,36005
B,60197,212
R,60199,23806
B,60201,81
I,60204,35606
B,60206,146
R,60208,23929
B,60211,236
I,60213,35839
B,60216,128
R,60218,23628
B,60220,73
I,60223,35640
B,60225,262
R,60227,23959
B,60230,169
I,60232,35722
B,60235,126
R,60237,23617
B,60239,87
I,60242,35783
B,60244,297
R,60246,23878
B,60249,86
I,60251,35515
B,60253,121
R,60256,23664
B,60258,207
I,60261,35848
B,60263,225
R,60265,23700
B,60268,79
I,60270,35466
B,60272,125
R,60275,23813
B,60277,250
I,60279,35742
B,60282,149
R,60284,23555
B,60287,73
I,60289,35550
B,60291,249
R,60294,23876
B,60296,176
I,60298,35599
B,60301,131
R,60303,23518
B,60306,75
I,60308,35724
B,60310,303
R,60313,23845
B,60315,93
I,60317,35473
B,60320,126
R,60322,23617
B,60324,191
I,60327,35815
B,60329,246
R,60332,23699
B,60334,77
I,60336,35451
B,60339,116
R,60341,23782
B,60343,258
I,60346,35754
B,60348,156
R,60351,23526
B,60353,80
I,60355,35517
B,60358,235
R,60360,23855
B,60362,193
I,60365,35648
B,60367,131
R,60369,23538
B,60372,72
I,60374,35710
B,60377,310
R,60379,23795
B,60381,110
I,60384,35479
B,60386,130
R,60388,23533
B,60391,168
I,60393,35783
B,60396,237
R,60398,23664
B,60400,74
I,60403,35417
B,60405,120
R,60407,23711
B,60410,255
I,60412,35731
B,60414,164
R,60417,23556
B,60419,79
I,60422,35471
B,60424,209
R,60426,23821
B,60429,203
I,60431,35601
B,60433,128
R,60436,23450
B,60438,76
I,60440,35572
B,60443,309
R,60445,23776
B,60448,123
I,60450,35443
B,60452,126
R,60455,23502
B,60457,139
I,60459,35754
B,60462,260
R,60464,23741
B,60467,76
I,60469,35351
B,60471,121
R,60474,23633
B,60476,253
I,60478,35778
B,60481,184
R,60483,23563
B,60486,74
I,60488,35468
B,60490,183
R,60493,23833
B,60495,209
I,60497,35667
B,60500,122
R,60502,23462
B,60504,73
I,60507,35597
B,60509,294
R,60512,23797
B,60514,134
I,60516,35482
B,60519,130
R,60521,23506
B,60523,121
I,60526,35788
B,60528,266
R,60530,23768
B,60533,74
I,60535,35370
B,60538,117
R,60540,23610
B,60542,242
I,60545,35746
B,60547,199
R,60549,23546
B,60552,79
I,60554,35362
B,60557,161
R,60559,23767
B,60561,224
I,60564,35604
B,60566,133
R,60568,23418
B,60571,73
I,60573,35507
B,60575,286
R,60578,23761
B,60580,148
I,60583,35475
B,60585,114
R,60587,23489
B,60590,98
I,60592,35656
B,60594,283
R,60597,23677
B,60599,74
I,60601,35348
B,60604,122
R,60606,23594
B,60609,221
I,60611,35698
B,60613,203
R,60616,23548
B,60618,76
I,60620,35345
B,60623,140
R,60625,23732
B,60628,236
I,60630,35632
B,60632,128
R,60635,23461
B,60637,73
I,60639,35473
B,60642,262
R,60644,23808
B,60646,155
I,60649,35525
B,60651,118
R,60654,23438
B,60656,83
I,60658,35661
B,60661,293
R,60663,23723
B,60665,83
I,60668,35384
B,60670,121
R,60673,23579
B,60675,205
I,60677,35785
B,60680,215
R,60682,23604
B,60684,77
I,60687,35390
B,60689,125
R,60691,23735
B,60694,239
I,60696,35720
B,60699,138
R,60701,23501
B,60703,75
I,60706,35480
B,60708,254
R,60710,23801
B,60713,177
I,60715,35584
B,60718,124
R,60720,23433
B,60722,75
I,60725,35676
B,60727,313
R,60729,23740
B,60732,92
I,60734,35376
B,60736,128
R,60739,23498
B,60741,186
I,60744,35754
B,60746,239
R,60748,23564
B,60751,78
I,60753,35330
B,60755,118
R,60758,23692
B,60760,253
I,60762,35634
B,60765,150
R,60767,23495
B,60770,78
I,60772,35440
B,60774,229
R,60777,23767
B,60779,189
I,60781,35541
B,60784,120
R,60786,23405
B,60789,74
I,60791,35587
B,60793,307
R,60796,23711
B,60798,106
I,60800,35421
B,60803,125
R,60805,23442
B,60807,166
I,60810,35750
B,60812,244
R,60815,23599
B,60817,76
I,60819,35301
B,60822,117
R,60824,23603
B,60826,254
I,60829,35676
B,60831,161
R,60834,23445
B,60836,75
I,60838,35348
B,60841,207
R,60843,23754
B,60845,201
I,60848,35546
B,60850,126
R,60852,23365
B,60855,77
I,60857,35503
B,60860,305
R,60862,23700
B,60864,119
I,60867,35406
B,60869,124
R,60871,23389
B,60874,143
I,60876,35670
B,60879,250
R,60881,23590
B,60883,77
I,60886,35298
B,60888,124
R,60890,23531
B,60893,250
I,60895,35668
B,60897,179
R,60900,23412
B,60902,76
I,60905,35379
B,60907,186
R,60909,23730
B,60912,214
I,60914,35571
B,60916,124
R,60919,23379
B,60921,70
I,60924,35504
B,60926,297
R,60928,23721
B,60931,134
I,60933,35450
B,60935,128
R,60938,23449
B,60940,122
I,60942,35676
B,60945,270
R,60947,23630
B,60950,72
I,60952,35346
B,60954,121
R,60957,23561
B,60959,246
I,60961,35631
B,60964,199
R,60966,23464
B,60969,76
I,60971,35360
B,60973,166
R,60976,23704
B,60978,224
I,60980,35594
B,60983,122
R,60985,23369
B,60987,76
I,60990,35488
B,60992,292
R,60995,23723
B,60997,150
I,60999,35472
B,61002,119
R,61004,23395
B,61006,106
I,61009,35701
B,61011,290
R,61014,23646
B,61016,75
I,61018,35365
B,61021,121
R,61023,23502
B,61025,230
I,61028,35669
B,61030,200
R,61032,23475
B,61035,73
I,61037,35326
B,61040,143
R,61042,23662
B,61044,239
I,61047,35579
B,61049,129
R,61051,23379
B,61054,75
I,61056,35462
B,61058,263
R,61061,23718
B,61063,158
I,61066,35445
B,61068,123
R,61070,23361
B,61073,86
I,61075,35663
B,61077,290
R,61080,23643
B,61082,83
I,61085,35336
B,61087,122
R,61089,23462
B,61092,214
I,61094,35708
B,61096,224
R,61099,23503
B,61101,77
I,61103,35334
B,61106,128
R,61108,23637
B,61111,257
I,61113,35593
B,61115,143
R,61118,23395
B,61120,75
I,61122,35401
B,61125,258
R,61127,23696
B,61130,177
I,61132,35520
B,61134,126
R,61137,23379
B,61139,76
I,61141,35597
B,61144,297
R,61146,23623
B,61148,88
I,61151,35346
B,61153,121
R,61156,23448
B,61158,186
I,61160,35668
B,61163,229
R,61165,23534
B,61167,74
I,61170,35294
B,61172,128
R,61174,23624
B,61177,252
I,61179,35636
B,61182,143
R,61184,23366
B,61186,75
I,61189,35389
B,61191,243
R,61193,23661
B,61196,186
I,61198,35494
B,61201,116
R,61203,23323
B,61205,76
I,61208,35528
B,61210,298
R,61212,23622
B,61215,101
I,61217,35312
B,61219,121
R,61222,23364
B,61224,172
I,61227,35646
B,61229,247
R,61231,23513
B,61234,77
I,61236,35184
B,61238,125
R,61241,23504
B,61243,259
I,61246,35502
B,61248,160
R,61250,23336
B,61253,77
I,61255,35277
B,61257,219
R,61260,23612
B,61262,198
I,61264,35403
B,61267,125
R,61269,23295
B,61272,75
I,61274,35446
B,61276,302
R,61279,23574
B,61281,119
I,61283,35300
B,61286,124
R,61288,23345
B,61291,144
I,61293,35623
B,61295,250
R,61298,23490
B,61300,72
I,61302,35225
B,61305,125
R,61307,23497
B,61309,254
I,61312,35613
B,61314,176
R,61317,23403
B,61319,75
I,61321,35319
B,61324,181
R,61326,23628
B,61328,204
I,61331,35499
B,61333,123
R,61336,23301
B,61338,70
I,61340,35481
B,61343,303
R,61345,23650
B,61347,135
I,61350,35394
B,61352,131
R,61354,23350
B,61357,119
I,61359,35682
B,61362,267
R,61364,23539
B,61366,80
I,61369,35289
B,61371,118
R,61373,23490
B,61376,243
I,61378,35650
B,61381,199
R,61383,23443
B,61385,72
I,61388,35387
B,61390,166
R,61392,23664
B,61395,218
I,61397,35605
B,61399,126
R,61402,23296
B,61404,74
I,61407,35476
B,61409,292
R,61411,23662
B,61414,153
I,61416,35423
B,61418,122
R,61421,23370
B,61423,106
I,61425,35685
B,61428,272
R,61430,23588
B,61433,76
I,61435,35351
B,61437,124
R,61440,23505
B,61442,227
I,61444,35659
B,61447,200
R,61449,23450
B,61452,75
I,61454,35356
B,61456,145
R,61459,23650
B,61461,230
I,61463,35612
B,61466,127
R,61468,23343
B,61470,71
I,61473,35538
B,61475,278
R,61478,23662
B,61480,162
I,61482,35521
B,61485,122
R,61487,23307
B,61489,87
I,61492,35668
B,61494,287
R,61497,23600
B,61499,75
I,61501,35382
B,61504,113
R,61506,23461
B,61508,213
I,61511,35774
B,61513,223
R,61515,23516
B,61518,75
I,61520,35408
B,61523,130
R,61525,23667
B,61527,244
I,61530,35729
B,61532,136
R,61534,23410
B,61537,76
I,61539,35500
B,61542,254
R,61544,23709
B,61546,175
I,61549,35525
B,61551,123
R,61553,23410
B,61556,79
I,61558,35660
B,61560,297
R,61563,23641
B,61565,86
I,61568,35429
B,61570,120
R,61572,23452
B,61575,195
I,61577,35742
B,61579,233
R,61582,23493
