TAG,Time,Value
I,1509,32964
B,1512,392
R,1514,24389
B,1516,326
I,1519,33016
B,1521,321
R,1524,24250
B,1526,278
I,1528,33010
B,1531,416
R,1533,24392
B,1535,294
I,1538,32929
B,1540,316
R,1542,24299
B,1545,338
I,1547,33069
B,1550,380
R,1552,24320
B,1554,277
I,1557,32908
B,1559,329
R,1561,24339
B,1564,372
I,1566,33045
B,1568,349
R,1571,24248
B,1573,273
I,1576,32942
B,1578,381
R,1580,24354
B,1583,335
I,1585,33005
B,1587,327
R,1590,24201
B,1592,275
I,1594,33005
B,1597,411
R,1599,24368
B,1601,304
I,1604,32966
B,1606,318
R,1609,24254
B,1611,321
I,1613,33060
B,1616,400
R,1618,24329
B,1620,279
I,1623,32931
B,1625,325
R,1627,24332
B,1630,367
I,1632,33050
B,1635,363
R,1637,24311
B,1639,275
I,1642,32936
B,1644,361
R,1646,24370
B,1649,347
I,1651,32996
B,1653,323
R,1656,24237
B,1658,273
I,1660,32998
B,1663,410
R,1665,24388
B,1668,312
I,1670,32967
B,1672,323
R,1675,24235
B,1677,302
I,1679,33070
B,1682,400
R,1684,24365
B,1686,280
I,1689,32904
B,1691,324
R,1694,24345
B,1696,360
I,1698,33096
B,1701,372
R,1703,24325
B,1705,272
I,1708,32957
B,1710,347
R,1712,24398
B,1715,358
I,1717,33049
B,1720,323
R,1722,24251
B,1724,280
I,1727,32976
B,1729,402
R,1731,24421
B,1734,320
I,1736,33011
B,1738,320
R,1741,24235
B,1743,287
I,1745,33073
B,1748,414
R,1750,24383
B,1753,284
I,1755,32941
B,1757,322
R,1760,24305
B,1762,350
I,1764,33115
B,1767,380
R,1769,24301
B,1771,269
I,1774,32923
B,1776,327
R,1779,24358
B,1781,372
I,1783,33057
B,1786,345
R,1788,24274
B,1790,278
I,1793,33017
B,1795,385
R,1797,24417
B,1800,329
I,1802,33049
B,1805,326
R,1807,24238
B,1809,277
I,1812,33080
B,1814,422
R,1816,24361
B,1819,296
I,1821,32960
B,1823,324
R,1826,24257
B,1828,340
I,1830,33130
B,1833,385
R,1835,24342
B,1838,274
I,1840,32939
B,1842,323
R,1845,24330
B,1847,375
I,1849,33109
B,1852,348
R,1854,24287
B,1856,279
I,1859,32973
B,1861,371
R,1864,24416
B,1866,339
I,1868,33066
B,1871,329
R,1873,24228
B,1875,270
I,1878,33059
B,1880,413
R,1882,24398
B,1885,310
I,1887,32994
B,1889,323
R,1892,24260
B,1894,315
I,1897,33152
B,1899,393
R,1901,24343
B,1904,273
I,1906,32967
B,1908,319
R,1911,24356
B,1913,364
I,1915,33121
B,1918,363
R,1920,24281
B,1923,281
I,1925,33024
B,1927,355
R,1930,24429
B,1932,350
I,1934,33074
B,1937,320
R,1939,24242
B,1941,278
I,1944,33065
B,1946,412
R,1949,24388
B,1951,316
I,1953,33062
B,1956,318
R,1958,24266
B,1960,299
I,1963,33154
B,1965,402
R,1967,24368
B,1970,280
I,1972,33012
B,1974,322
R,1977,24315
B,1979,358
I,1982,33138
B,1984,370
R,1986,24316
B,1989,275
I,1991,33032
B,1993,346
R,1996,24393
B,1998,362
I,2000,33152
B,2003,335
R,2005,24281
B,2008,277
I,2010,33060
B,2012,402
R,2015,24448
B,2017,327
I,2019,33100
B,2022,327
R,2024,24274
B,2026,288
I,2029,33140
B,2031,415
R,2033,24393
B,2036,286
I,2038,33032
B,2041,330
R,2043,24324
B,2045,349
I,2048,33181
B,2050,381
R,2052,24347
B,2055,273
I,2057,33015
B,2059,329
R,2062,24381
B,2064,362
I,2067,33132
B,2069,341
R,2071,24284
B,2074,279
I,2076,33049
B,2078,384
R,2081,24448
B,2083,326
I,2085,33115
B,2088,321
R,2090,24215
B,2093,276
I,2095,33159
B,2097,424
R,2100,24418
B,2102,295
I,2104,33003
B,2107,324
R,2109,24262
B,2111,331
I,2114,33191
B,2116,386
R,2118,24332
B,2121,275
I,2123,32945
B,2126,324
R,2128,24327
B,2130,368
I,2133,33068
B,2135,344
R,2137,24267
B,2140,278
I,2142,32973
B,2144,368
R,2147,24383
B,2149,343
I,2152,33028
B,2154,318
R,2156,24169
B,2159,276
I,2161,32997
B,2163,413
R,2166,24354
B,2168,310
I,2170,32904
B,2173,325
R,2175,24223
B,2178,305
I,2180,33014
B,2182,401
R,2185,24298
B,2187,271
I,2189,32854
B,2192,328
R,2194,24256
B,2196,363
I,2199,33025
B,2201,362
R,2203,24236
B,2206,274
I,2208,32886
B,2211,352
R,2213,24337
B,2215,354
I,2218,32919
B,2220,320
R,2222,24188
B,2225,271
I,2227,32922
B,2229,404
R,2232,24332
B,2234,317
I,2237,32929
B,2239,323
R,2241,24209
B,2244,293
I,2246,33004
B,2248,406
R,2251,24281
B,2253,284
I,2255,32839
B,2258,322
R,2260,24261
B,2262,349
I,2265,33016
B,2267,364
R,2270,24272
B,2272,278
I,2274,32876
B,2277,337
R,2279,24318
B,2281,364
I,2284,32964
B,2286,342
R,2288,24171
B,2291,281
I,2293,32933
B,2296,393
R,2298,24347
B,2300,323
I,2303,32928
B,2305,320
R,2307,24198
B,2310,282
I,2312,33025
B,2314,417
R,2317,24309
B,2319,286
I,2322,32898
B,2324,322
R,2326,24220
B,2329,342
I,2331,33020
B,2333,389
R,2336,24296
B,2338,276
I,2340,32856
B,2343,325
R,2345,24318
B,2347,368
I,2350,32996
B,2352,342
R,2355,24195
B,2357,284
I,2359,32907
B,2362,388
R,2364,24354
B,2366,331
I,2369,32968
B,2371,328
R,2373,24190
B,2376,275
I,2378,32983
B,2381,422
R,2383,24308
