TAG,Time,Value
I,12558,31863
B,12561,416
R,12563,24496
B,12566,304
I,12568,31770
B,12570,347
R,12573,24468
B,12575,368
I,12577,31900
B,12580,393
R,12582,24460
B,12585,303
I,12587,31728
B,12589,364
R,12592,24462
B,12594,369
I,12596,31779
B,12599,363
R,12601,24332
B,12603,307
I,12606,31724
B,12608,408
R,12611,24486
B,12613,344
I,12615,31682
B,12618,349
R,12620,24325
B,12622,313
I,12625,31685
B,12627,424
R,12630,24392
B,12632,311
I,12634,31512
B,12637,355
R,12639,24316
B,12641,363
I,12644,31651
B,12646,388
R,12648,24328
B,12651,298
I,12653,31485
B,12656,358
R,12658,24338
B,12660,383
I,12663,31523
B,12665,367
R,12667,24292
B,12670,299
I,12672,31470
B,12675,410
R,12677,24334
B,12679,341
I,12682,31508
B,12684,344
R,12686,24213
B,12689,302
I,12691,31535
B,12693,415
R,12696,24347
B,12698,317
I,12701,31441
B,12703,351
R,12705,24286
B,12708,359
I,12710,31556
B,12712,390
R,12715,24294
B,12717,306
I,12720,31427
B,12722,353
R,12724,24321
B,12727,381
I,12729,31493
B,12731,367
R,12734,24268
B,12736,299
I,12738,31435
B,12741,404
R,12743,24348
B,12746,343
I,12748,31523
B,12750,343
R,12753,24224
B,12755,305
I,12757,31542
B,12760,425
R,12762,24333
B,12765,317
I,12767,31459
B,12769,352
R,12772,24276
B,12774,354
I,12776,31595
B,12779,396
R,12781,24305
B,12784,306
I,12786,31422
B,12788,357
R,12791,24289
B,12793,384
I,12795,31530
B,12798,372
R,12800,24246
B,12802,309
I,12805,31451
B,12807,391
R,12810,24348
B,12812,348
I,12814,31517
B,12817,351
R,12819,24240
B,12821,307
I,12824,31541
B,12826,427
R,12829,24326
B,12831,331
I,12833,31477
B,12836,351
R,12838,24238
B,12840,342
I,12843,31589
B,12845,395
R,12847,24319
B,12850,301
I,12852,31446
B,12855,353
R,12857,24310
B,12859,383
I,12862,31554
B,12864,386
R,12866,24263
B,12869,301
I,12871,31515
B,12874,393
R,12876,24335
B,12878,353
I,12881,31543
B,12883,348
R,12885,24219
B,12888,301
I,12890,31523
B,12892,425
R,12895,24321
B,12897,337
I,12900,31470
B,12902,345
R,12904,24234
B,12907,344
I,12909,31584
B,12911,402
R,12914,24302
B,12916,304
I,12919,31445
B,12921,351
R,12923,24290
B,12926,371
I,12928,31561
B,12930,382
R,12933,24229
B,12935,303
I,12937,31444
B,12940,383
R,12942,24326
B,12945,357
I,12947,31518
B,12949,350
R,12952,24232
B,12954,305
I,12956,31525
B,12959,426
R,12961,24334
B,12964,337
I,12966,31473
B,12968,347
R,12971,24218
B,12973,329
I,12975,31550
B,12978,412
R,12980,24296
B,12983,305
I,12985,31410
B,12987,342
R,12990,24286
B,12992,372
I,12994,31581
B,12997,381
R,12999,24263
B,13001,306
I,13004,31464
B,13006,366
R,13009,24298
B,13011,371
I,13013,31516
B,13016,351
R,13018,24197
B,13020,305
