TAG,Time,Value
I,7437,40284
B,7440,327
R,7442,29023
B,7444,327
I,7447,40447
B,7449,666
R,7452,29815
B,7454,683
I,7456,40666
B,7459,600
R,7461,29420
B,7463,449
I,7466,40431
B,7468,480
R,7470,29151
B,7473,303
I,7475,40284
B,7478,295
R,7480,29058
B,7482,412
I,7485,40530
B,7487,768
R,7489,29953
B,7492,807
I,7494,40983
B,7496,852
R,7499,29939
B,7501,911
I,7503,41179
B,7506,1067
R,7508,30576
B,7511,1012
I,7513,41247
B,7515,1130
R,7518,31476
B,7520,1819
I,7522,41972
B,7525,1875
R,7527,32079
B,7530,1740
I,7532,42064
B,7534,1994
R,7537,32552
B,7539,2354
I,7541,42004
B,7544,1620
R,7546,31195
B,7548,1228
I,7551,41338
B,7553,1162
R,7556,30275
B,7558,833
I,7560,40966
B,7563,883
R,7565,30239
B,7567,867
I,7570,41173
B,7572,1042
R,7574,30464
B,7577,839
I,7579,40917
B,7582,750
R,7584,29942
B,7586,729
I,7589,40954
B,7591,812
R,7593,30491
B,7596,730
I,7598,41040
B,7600,801
R,7603,30288
B,7605,720
I,7607,40951
B,7610,745
R,7612,30109
B,7615,660
I,7617,40953
B,7619,763
R,7622,30098
B,7624,634
I,7626,40841
B,7629,654
R,7631,29957
B,7633,624
I,7636,40899
B,7638,690
R,7641,29959
B,7643,596
I,7645,40770
B,7648,649
R,7650,29907
B,7652,642
I,7655,40885
B,7657,661
R,7659,29932
B,7662,594
I,7664,40829
B,7667,682
R,7669,30045
B,7671,655
I,7674,40907
B,7676,663
R,7678,29979
B,7681,618
I,7683,40921
B,7685,778
R,7688,30272
B,7690,701
I,7692,40983
B,7695,741
R,7697,30221
B,7700,697
I,7702,41042
B,7704,803
R,7707,30155
B,7709,664
I,7711,40959
B,7714,706
R,7716,30159
B,7718,711
I,7721,41018
B,7723,733
R,7726,30104
B,7728,639
I,7730,40946
B,7733,726
R,7735,30129
B,7737,697
I,7740,40985
B,7742,706
R,7744,30084
B,7747,653
I,7749,40972
B,7751,743
R,7754,30058
B,7756,620
I,7759,40836
B,7761,648
R,7763,29784
B,7766,539
I,7768,40740
B,7770,618
R,7773,29707
B,7775,511
I,7777,40682
B,7780,530
R,7782,29563
B,7785,512
I,7787,40702
B,7789,540
R,7792,29476
B,7794,441
I,7796,40619
B,7799,512
R,7801,29494
B,7803,501
I,7806,40678
B,7808,518
R,7811,29425
B,7813,427
I,7815,40590
B,7818,540
R,7820,29510
B,7822,501
I,7825,40667
B,7827,546
R,7829,29545
B,7832,494
I,7834,40658
B,7836,604
R,7839,29579
B,7841,515
I,7844,40650
B,7846,570
R,7848,29674
B,7851,579
I,7853,40725
B,7855,644
R,7858,29686
B,7860,544
I,7862,40676
B,7865,623
R,7867,29727
B,7870,604
I,7872,40675
B,7874,617
R,7877,29623
B,7879,535
I,7881,40591
B,7884,629
R,7886,29625
B,7888,542
I,7891,40525
B,7893,534
R,7896,29399
B,7898,453
I,7900,40511
B,7903,575
R,7905,29433
B,7907,468
I,7910,40504
B,7912,507
R,7914,29366
B,7917,482
I,7919,40544
B,7921,566
R,7924,29423
B,7926,451
I,7929,40482
B,7931,506
R,7933,29410
B,7936,512
I,7938,40603
B,7940,533
R,7943,29416
B,7945,451
I,7947,40490
B,7950,534
R,7952,29479
B,7955,503
I,7957,40520
B,7959,515
R,7962,29383
B,7964,446
I,7966,40515
B,7969,564
R,7971,29471
B,7973,475
I,7976,40522
B,7978,504
R,7981,29382
B,7983,474
I,7985,40586
B,7988,560
R,7990,29391
B,7992,448
I,7995,40524
B,7997,497
R,7999,29416
B,8002,509
I,8004,40640
B,8006,528
R,8009,29386
B,8011,444
I,8014,40491
B,8016,523
R,8018,29473
B,8021,496
I,8023,40574
B,8025,507
R,8028,29375
B,8030,444
I,8032,40555
B,8035,551
R,8037,29474
B,8040,466
I,8042,40524
B,8044,502
R,8047,29376
B,8049,445
I,8051,40567
B,8054,566
R,8056,29450
B,8058,458
I,8061,40550
B,8063,513
R,8065,29452
B,8068,526
I,8070,40658
B,8073,554
R,8075,29468
B,8077,446
I,8080,40559
B,8082,512
R,8084,29421
B,8087,508
I,8089,40611
B,8091,511
R,8094,29352
B,8096,412
I,8099,40513
B,8101,520
R,8103,29405
B,8106,444
I,8108,40503
B,8110,463
R,8113,29269
B,8115,413
I,8117,40536
B,8120,523
R,8122,29361
B,8125,418
I,8127,40482
B,8129,456
R,8132,29318
B,8134,440
I,8136,40535
B,8139,503
R,8141,29352
B,8143,392
I,8146,40504
B,8148,457
R,8150,29349
B,8153,461
I,8155,40585
B,8158,465
R,8160,29317
B,8162,390
I,8165,40516
B,8167,485
R,8169,29378
B,8172,442
I,8174,40538
B,8176,457
R,8179,29268
B,8181,392
I,8184,40572
B,8186,512
R,8188,29342
B,8191,385
I,8193,40465
B,8195,412
R,8198,29192
B,8200,384
I,8202,40516
B,8205,450
R,8207,29217
B,8209,345
I,8212,40488
B,8214,402
R,8217,29241
B,8219,408
I,8221,40528
B,8224,419
R,8226,29170
