TAG,Time,Value
I,28997,57735
B,28999,163
R,29002,37634
B,29004,132
I,29006,57859
B,29009,201
R,29011,37681
B,29013,79
I,29016,57702
B,29018,171
R,29021,37708
B,29023,153
I,29025,57854
B,29028,171
R,29030,37659
B,29032,80
I,29035,57750
B,29037,209
R,29040,37789
B,29042,122
I,29044,57813
B,29047,162
R,29049,37639
B,29051,88
I,29054,57837
B,29056,236
R,29058,37783
B,29061,101
I,29063,57819
B,29066,161
R,29068,37680
B,29070,126
I,29073,57966
B,29075,201
R,29077,37733
B,29080,78
I,29082,57743
B,29085,163
R,29087,37748
B,29089,157
I,29092,57928
B,29094,180
R,29096,37707
B,29099,81
I,29101,57806
B,29103,210
R,29106,37820
B,29108,134
I,29111,57950
B,29113,161
R,29115,37677
B,29118,84
I,29120,57904
B,29122,244
R,29125,37799
B,29127,99
I,29129,57877
B,29132,156
R,29134,37672
B,29137,117
I,29139,57993
B,29141,220
R,29144,37749
B,29146,79
I,29148,57823
B,29151,159
R,29153,37755
B,29156,152
I,29158,57997
B,29160,180
R,29163,37737
B,29165,82
I,29167,57835
B,29170,189
R,29172,37827
B,29174,141
I,29177,57994
B,29179,160
R,29182,37681
B,29184,86
I,29186,57919
B,29189,234
R,29191,37829
B,29193,97
I,29196,57904
B,29198,157
R,29201,37657
B,29203,106
I,29205,58032
B,29208,222
R,29210,37742
B,29212,86
I,29215,57857
B,29217,162
R,29219,37743
B,29222,146
I,29224,58045
B,29227,188
R,29229,37734
B,29231,79
I,29234,57846
B,29236,183
R,29238,37836
B,29241,147
I,29243,58023
B,29246,164
R,29248,37719
B,29250,79
I,29253,57919
B,29255,232
R,29257,37821
B,29260,106
I,29262,57979
B,29264,156
R,29267,37715
B,29269,100
I,29272,58062
B,29274,236
R,29276,37771
B,29279,85
I,29281,57889
B,29283,160
R,29286,37739
B,29288,143
I,29290,58075
B,29293,182
R,29295,37767
B,29298,74
I,29300,57891
B,29302,177
R,29305,37817
B,29307,151
I,29309,58035
B,29312,167
R,29314,37721
B,29317,74
I,29319,57933
B,29321,223
R,29324,37825
B,29326,108
I,29328,57997
B,29331,150
R,29333,37725
B,29335,91
I,29338,58025
B,29340,235
R,29343,37827
B,29345,87
I,29347,57898
B,29350,160
R,29352,37712
B,29354,144
I,29357,58047
B,29359,192
R,29362,37733
B,29364,76
I,29366,57794
B,29369,166
R,29371,37790
B,29373,154
I,29376,57970
B,29378,172
R,29380,37661
B,29383,76
I,29385,57789
B,29388,216
R,29390,37807
B,29392,111
I,29395,57841
B,29397,157
R,29399,37663
B,29402,91
I,29404,57841
B,29407,230
R,29409,37757
B,29411,90
I,29414,57723
B,29416,163
R,29418,37654
B,29421,132
I,29423,57889
B,29425,197
R,29428,37703
B,29430,80
I,29433,57705
B,29435,167
R,29437,37720
B,29440,155
I,29442,57859
B,29444,179
R,29447,37652
B,29449,81
I,29451,57721
B,29454,214
R,29456,37782
B,29459,124
I,29461,57822
B,29463,160
R,29466,37614
B,29468,84
I,29470,57822
B,29473,236
R,29475,37780
B,29478,92
I,29480,57767
B,29482,163
R,29485,37637
B,29487,119
I,29489,57869
B,29492,203
R,29494,37733
B,29496,83
I,29499,57705
B,29501,161
R,29504,37738
B,29506,153
I,29508,57909
B,29511,183
R,29513,37670
B,29515,78
I,29518,57736
B,29520,195
R,29523,37801
B,29525,133
I,29527,57849
B,29530,156
R,29532,37623
B,29534,86
I,29537,57817
B,29539,233
R,29541,37785
B,29544,95
I,29546,57780
B,29549,163
R,29551,37634
B,29553,112
I,29556,57907
B,29558,221
R,29560,37709
B,29563,83
I,29565,57715
B,29568,161
R,29570,37697
B,29572,158
I,29575,57930
B,29577,179
R,29579,37700
B,29582,79
I,29584,57758
B,29586,195
R,29589,37786
B,29591,142
I,29594,57854
B,29596,166
R,29598,37665
B,29601,80
I,29603,57820
B,29605,230
R,29608,37781
B,29610,97
I,29612,57794
B,29615,160
R,29617,37685
B,29620,106
I,29622,57920
B,29624,219
R,29627,37728
B,29629,79
I,29631,57759
B,29634,158
R,29636,37716
B,29639,150
I,29641,57926
B,29643,186
R,29646,37723
B,29648,86
I,29650,57777
B,29653,192
R,29655,37761
B,29657,143
I,29660,57902
B,29662,161
R,29665,37720
B,29667,80
I,29669,57800
B,29672,224
R,29674,37800
B,29676,105
I,29679,57869
B,29681,160
R,29684,37689
B,29686,104
I,29688,57986
B,29691,237
R,29693,37738
B,29695,84
I,29698,57813
B,29700,161
R,29702,37706
B,29705,144
I,29707,57966
B,29710,185
R,29712,37724
B,29714,78
I,29717,57764
B,29719,183
R,29721,37759
B,29724,153
I,29726,57936
B,29729,169
R,29731,37670
B,29733,81
I,29736,57809
B,29738,224
R,29740,37810
B,29743,107
I,29745,57894
B,29747,163
R,29750,37701
B,29752,95
I,29755,57927
B,29757,233
R,29759,37764
B,29762,85
I,29764,57798
B,29766,164
R,29769,37732
B,29771,138
I,29773,58002
B,29776,195
R,29778,37745
B,29781,82
I,29783,57793
B,29785,178
R,29788,37806
B,29790,153
I,29792,57954
B,29795,176
R,29797,37714
B,29800,85
I,29802,57865
B,29804,213
R,29807,37820
B,29809,117
I,29811,57946
B,29814,154
R,29816,37689
B,29818,93
I,29821,57958
B,29823,235
R,29826,37799
B,29828,92
I,29830,57870
B,29833,157
R,29835,37743
B,29837,131
I,29840,58017
B,29842,203
R,29845,37782
B,29847,78
I,29849,57841
B,29852,169
R,29854,37818
B,29856,152
I,29859,58026
B,29861,174
R,29863,37751
B,29866,76
I,29868,57903
B,29871,208
R,29873,37872
B,29875,125
I,29878,58007
B,29880,164
R,29882,37716
B,29885,85
I,29887,57986
B,29890,240
R,29892,37832
B,29894,96
I,29897,57930
B,29899,160
R,29901,37809
B,29904,126
I,29906,58100
B,29908,212
R,29911,37791
B,29913,78
I,29916,57900
B,29918,168
R,29920,37796
B,29923,159
I,29925,58054
B,29927,179
R,29930,37766
B,29932,78
I,29934,57926
B,29937,206
R,29939,37867
B,29942,129
I,29944,58027
B,29946,162
R,29949,37731
B,29951,83
I,29953,58007
B,29956,228
R,29958,37843
B,29961,97
I,29963,57983
B,29965,155
R,29968,37743
B,29970,115
I,29972,58103
B,29975,217
R,29977,37812
B,29979,80
I,29982,57898
B,29984,160
R,29987,37825
B,29989,152
I,29991,58102
B,29994,182
R,29996,37814
B,29998,81
I,30001,57971
B,30003,195
R,30006,37849
B,30008,139
I,30010,58059
B,30013,164
R,30015,37744
B,30017,79
I,30020,58052
B,30022,235
R,30024,37889
B,30027,99
I,30029,58002
B,30032,159
R,30034,37782
B,30036,110
I,30039,58146
B,30041,223
R,30043,37843
B,30046,86
I,30048,57989
B,30051,154
R,30053,37853
B,30055,146
I,30058,58144
B,30060,180
R,30062,37826
B,30065,83
I,30067,57982
B,30069,185
R,30072,37896
B,30074,147
I,30077,58095
B,30079,173
R,30081,37807
B,30084,77
I,30086,58051
B,30088,234
R,30091,37917
B,30093,101
I,30095,58092
B,30098,159
R,30100,37739
B,30103,105
I,30105,58188
B,30107,234
R,30110,37883
B,30112,89
I,30114,57994
B,30117,167
R,30119,37788
B,30122,153
I,30124,58179
B,30126,191
R,30129,37804
B,30131,84
I,30133,58009
B,30136,175
R,30138,37881
B,30140,165
I,30143,58141
B,30145,168
R,30148,37801
B,30150,77
I,30152,58045
B,30155,230
R,30157,37957
B,30159,113
I,30162,58143
B,30164,165
R,30167,37759
B,30169,97
I,30171,58181
B,30174,237
R,30176,37923
B,30178,93
I,30181,58043
B,30183,164
R,30185,37807
B,30188,143
I,30190,58246
B,30193,203
R,30195,37858
B,30197,78
I,30200,58042
B,30202,175
R,30204,37856
B,30207,157
I,30209,58202
B,30212,174
R,30214,37768
B,30216,78
I,30219,58062
B,30221,223
R,30223,37933
B,30226,118
I,30228,58155
B,30230,157
R,30233,37781
B,30235,92
I,30238,58176
B,30240,241
R,30242,37880
B,30245,89
I,30247,58040
B,30249,165
R,30252,37819
B,30254,136
I,30256,58204
B,30259,217
R,30261,37840
B,30264,80
I,30266,57926
B,30268,167
R,30271,37845
B,30273,158
I,30275,58099
B,30278,182
R,30280,37723
B,30283,83
I,30285,57947
B,30287,214
R,30290,37870
B,30292,126
I,30294,57999
B,30297,165
R,30299,37692
B,30301,86
I,30304,57945
B,30306,241
R,30309,37845
B,30311,90
I,30313,57880
B,30316,161
R,30318,37727
B,30320,128
I,30323,58027
B,30325,213
R,30328,37728
B,30330,82
I,30332,57803
B,30335,161
R,30337,37758
B,30339,163
I,30342,58020
B,30344,181
R,30346,37714
B,30349,80
I,30351,57829
B,30354,206
R,30356,37793
B,30358,138
I,30361,57919
B,30363,163
R,30365,37693
B,30368,86
I,30370,57921
B,30372,240
R,30375,37836
B,30377,98
I,30380,57868
B,30382,156
R,30384,37752
B,30387,121
I,30389,58035
B,30391,231
R,30394,37776
B,30396,84
I,30399,57845
B,30401,166
R,30403,37788
B,30406,163
I,30408,57986
B,30410,180
R,30413,37745
B,30415,83
I,30417,57851
B,30420,195
R,30422,37862
B,30425,149
I,30427,57990
B,30429,159
R,30432,37685
B,30434,79
I,30436,57924
B,30439,236
R,30441,37826
B,30444,100
I,30446,57910
B,30448,162
R,30451,37705
B,30453,109
I,30455,58034
B,30458,225
R,30460,37777
B,30462,82
I,30465,57796
B,30467,155
R,30470,37771
B,30472,154
I,30474,58023
B,30477,184
R,30479,37747
B,30481,83
I,30484,57856
B,30486,184
R,30489,37816
B,30491,148
I,30493,57971
B,30496,168
R,30498,37675
B,30500,83
I,30503,57928
B,30505,235
R,30507,37851
B,30510,106
I,30512,57950
B,30515,169
R,30517,37714
B,30519,103
I,30522,58023
B,30524,240
R,30526,37799
B,30529,88
I,30531,57855
B,30534,162
R,30536,37782
B,30538,149
I,30541,58044
B,30543,196
R,30545,37754
B,30548,84
I,30550,57865
B,30552,190
R,30555,37834
B,30557,159
I,30560,58002
B,30562,174
R,30564,37706
B,30567,84
I,30569,57901
B,30571,224
R,30574,37861
B,30576,106
I,30578,57956
B,30581,159
R,30583,37715
B,30586,97
I,30588,58000
B,30590,242
R,30593,37806
B,30595,89
I,30597,57860
B,30600,166
R,30602,37734
B,30605,144
I,30607,58055
B,30609,190
R,30612,37792
B,30614,80
I,30616,57869
B,30619,173
R,30621,37812
B,30623,162
I,30626,58017
B,30628,171
R,30631,37706
B,30633,80
I,30635,57881
B,30638,223
R,30640,37846
B,30642,122
I,30645,57953
B,30647,160
R,30650,37706
B,30652,90
I,30654,57989
B,30657,244
R,30659,37836
B,30661,93
I,30664,57889
B,30666,163
R,30668,37764
B,30671,136
I,30673,58090
B,30676,201
R,30678,37796
B,30680,83
I,30683,57875
B,30685,169
R,30687,37818
B,30690,164
I,30692,58062
B,30695,171
R,30697,37762
B,30699,83
I,30702,57931
B,30704,215
R,30706,37862
B,30709,125
