,TAG,Value,Time
0,B,0,402
1,R,35868,403
2,B,0,404
3,I,43891,405
4,B,0,406
5,R,35827,406
6,B,0,407
7,I,43891,408
8,B,0,409
9,R,35836,410
10,B,0,411
11,I,43984,411
12,B,0,412
13,R,35836,413
14,B,0,414
15,I,43961,415
16,B,0,416
17,R,35910,417
18,B,0,418
19,I,43948,418
20,B,0,419
21,R,35849,420
22,B,0,421
23,I,43958,422
24,B,0,423
25,R,35830,423
26,B,0,424
27,I,43955,425
28,B,0,426
29,R,35824,427
30,B,0,428
31,I,43875,429
32,B,0,430
33,R,35859,430
34,B,0,431
35,I,43888,432
36,B,0,433
37,R,35897,434
38,B,0,435
39,I,43968,435
40,B,0,436
41,R,35830,437
42,B,0,438
43,I,43990,439
44,B,0,440
45,R,35852,441
46,B,0,442
47,I,43875,442
48,B,0,443
49,R,35910,444
50,B,0,445
51,I,43916,446
52,B,0,447
53,R,35872,447
54,B,0,448
55,I,43939,449
56,B,0,450
57,R,35817,451
58,B,0,452
59,I,43920,453
60,B,0,454
61,R,35827,454
62,B,0,455
63,I,43977,456
64,B,0,457
65,R,35907,458
66,B,0,459
67,I,43897,459
68,B,0,460
69,R,35916,461
70,B,0,462
71,I,44025,463
72,B,0,464
73,R,35897,465
74,B,0,466
75,I,44000,466
76,B,0,467
77,R,35782,468
78,B,0,469
79,I,43955,470
80,B,0,471
81,R,35942,471
82,B,0,472
83,I,43955,473
84,B,0,474
85,R,35872,475
86,B,0,476
87,I,43926,477
88,B,0,478
89,R,35788,478
90,B,0,479
91,I,44048,480
92,B,0,481
93,R,35910,482
94,B,0,483
95,I,43958,483
96,B,0,484
97,R,35923,485
98,B,0,486
99,I,43894,487
100,B,0,488
101,R,35907,489
102,B,0,490
103,I,43932,490
104,B,0,491
105,R,35779,492
106,B,0,493
107,I,44012,494
108,B,0,495
109,R,35910,495
110,B,0,496
111,I,43945,497
112,B,0,498
113,R,35884,499
114,B,0,500
115,I,43913,501
116,B,0,502
117,R,35923,502
118,B,0,503
119,I,43968,504
120,B,0,505
121,R,35843,506
122,B,0,507
123,I,44048,507
124,B,0,508
125,R,35900,509
126,B,0,510
127,I,44080,511
128,B,0,512
129,R,35936,513
130,B,0,514
131,I,43900,514
132,B,0,515
133,R,35868,516
134,B,0,517
135,I,44003,518
136,B,0,519
137,R,35840,519
138,B,0,520
139,I,44000,521
140,B,0,522
141,R,35897,523
142,B,0,524
143,I,44038,525
144,B,0,526
145,R,35772,526
146,B,0,527
147,I,43984,528
148,B,0,529
149,R,35923,530
150,B,0,531
151,I,43990,531
152,B,0,532
153,R,35843,533
154,B,0,534
155,I,44012,535
156,B,0,536
157,R,35763,537
158,B,0,538
159,I,43987,538
160,B,0,539
161,R,35929,540
162,B,0,541
163,I,44035,542
164,B,0,543
165,R,35756,543
166,B,0,544
167,I,44006,545
168,B,0,546
169,R,35782,547
170,B,0,548
171,I,44022,549
172,B,0,550
173,R,35808,550
174,B,0,551
175,I,43974,552
176,B,0,553
177,R,35808,554
178,B,0,555
179,I,43971,555
180,B,0,556
181,R,35830,557
182,B,0,558
183,I,43996,559
184,B,0,560
185,R,35737,561
186,B,0,562
187,I,43980,562
188,B,0,563
189,R,35920,564
190,B,0,565
191,I,43897,566
192,B,0,567
193,R,35792,567
194,B,0,568
195,I,43955,569
196,B,0,570
197,R,35875,571
198,B,0,572
199,I,43907,573
200,B,0,574
201,R,35852,574
202,B,0,575
203,I,43923,576
204,B,0,577
205,R,35862,578
206,B,0,579
207,I,43862,579
208,B,0,580
209,R,35731,581
210,B,0,582
211,I,43862,583
212,B,0,584
213,R,35801,585
214,B,0,586
215,I,43840,586
216,B,0,587
217,R,35750,588
218,B,0,589
219,I,43939,590
220,B,0,591
221,R,35833,591
222,B,0,592
223,I,43772,593
224,B,0,594
225,R,35792,595
226,B,0,596
227,I,43840,597
