,TAG,Value,Time
0,B,0,402
1,R,58992,403
2,B,0,404
3,I,60057,405
4,B,0,406
5,R,59014,406
6,B,0,407
7,I,60022,408
8,B,0,409
9,R,58947,410
10,B,0,411
11,I,60051,411
12,B,0,412
13,R,58992,413
14,B,0,414
15,I,60048,415
16,B,0,416
17,R,59004,417
18,B,0,418
19,I,60016,418
20,B,0,419
21,R,59011,420
22,B,0,421
23,I,60038,422
24,B,0,423
25,R,59043,423
26,B,0,424
27,I,60054,425
28,B,0,426
29,R,59030,427
30,B,0,428
31,I,60102,429
32,B,0,430
33,R,59033,430
34,B,0,431
35,I,60070,432
36,B,0,433
37,R,58985,434
38,B,0,435
39,I,60121,435
40,B,0,436
41,R,58992,437
42,B,0,438
43,I,60096,439
44,B,0,440
45,R,59040,441
46,B,0,442
47,I,60118,442
48,B,0,443
49,R,59065,444
50,B,0,445
51,I,60112,446
52,B,0,447
53,R,59040,447
54,B,0,448
55,I,60067,449
56,B,0,450
57,R,59043,451
58,B,0,452
59,I,60182,453
60,B,0,454
61,R,59056,454
62,B,0,455
63,I,60102,456
64,B,0,457
65,R,59072,458
66,B,0,459
67,I,60128,459
68,B,0,460
69,R,58947,461
70,B,0,462
71,I,60118,463
72,B,0,464
73,R,59056,465
74,B,0,466
75,I,60163,466
76,B,0,467
77,R,59062,468
78,B,0,469
79,I,60115,470
80,B,0,471
81,R,59094,471
82,B,0,472
83,I,60137,473
84,B,0,474
85,R,59142,475
86,B,0,476
87,I,60172,477
88,B,0,478
89,R,59081,478
90,B,0,479
91,I,60140,480
92,B,0,481
93,R,59065,482
94,B,0,483
95,I,60233,483
96,B,0,484
97,R,59052,485
98,B,0,486
99,I,60198,487
100,B,0,488
101,R,59081,489
102,B,0,490
103,I,60160,490
104,B,0,491
105,R,59078,492
106,B,0,493
107,I,60166,494
108,B,0,495
109,R,59104,495
110,B,0,496
111,I,60211,497
112,B,0,498
113,R,59184,499
114,B,0,500
115,I,60214,501
116,B,0,502
117,R,59120,502
118,B,0,503
119,I,60208,504
120,B,0,505
121,R,59094,506
122,B,0,507
123,I,60211,507
124,B,0,508
125,R,59110,509
126,B,0,510
127,I,60195,511
128,B,0,512
129,R,59068,513
130,B,0,514
131,I,60265,514
132,B,0,515
133,R,59091,516
134,B,0,517
135,I,60275,518
136,B,0,519
137,R,59110,519
138,B,0,520
139,I,60275,521
140,B,0,522
141,R,59107,523
142,B,0,524
143,I,60227,525
144,B,0,526
145,R,59116,526
146,B,0,527
147,I,60256,528
148,B,0,529
149,R,59113,530
150,B,0,531
151,I,60240,531
152,B,0,532
153,R,59120,533
154,B,0,534
155,I,60166,535
156,B,0,536
157,R,59132,537
158,B,0,538
159,I,60249,538
160,B,0,539
161,R,59142,540
162,B,0,541
163,I,60233,542
164,B,0,543
165,R,59107,543
166,B,0,544
167,I,60214,545
168,B,0,546
169,R,59078,547
170,B,0,548
171,I,60275,549
172,B,0,550
173,R,59152,550
174,B,0,551
175,I,60323,552
176,B,0,553
177,R,59126,554
178,B,0,555
179,I,60265,555
180,B,0,556
181,R,59110,557
182,B,0,558
183,I,60256,559
184,B,0,560
185,R,59094,561
186,B,0,562
187,I,60358,562
188,B,0,563
189,R,59145,564
190,B,0,565
191,I,60316,566
192,B,0,567
193,R,59116,567
194,B,0,568
195,I,60281,569
196,B,0,570
197,R,59155,571
198,B,0,572
199,I,60428,573
200,B,0,574
201,R,59104,574
202,B,0,575
203,I,60339,576
204,B,0,577
205,R,59248,578
206,B,0,579
207,I,60307,579
208,B,0,580
209,R,59049,581
210,B,0,582
211,I,60310,583
212,B,0,584
213,R,59100,585
214,B,0,586
215,I,60355,586
216,B,0,587
217,R,59152,588
218,B,0,589
219,I,60326,590
220,B,0,591
221,R,59155,591
222,B,0,592
223,I,60320,593
224,B,0,594
225,R,59206,595
226,B,0,596
227,I,60304,597
228,B,0,598
229,R,59174,598
230,B,0,599
231,I,60326,600
232,B,0,601
233,R,59152,602
234,B,0,603
235,I,60332,603
236,B,0,604
237,R,59152,605
238,B,0,606
239,I,60377,607
240,B,0,608
241,R,59203,609
242,B,0,610
243,I,60323,610
244,B,0,611
245,R,59145,612
246,B,0,613
247,I,60329,614
248,B,0,615
249,R,59132,615
250,B,0,616
251,I,60371,617
252,B,0,618
253,R,59222,619
254,B,0,620
255,I,60336,621
256,B,0,622
257,R,59180,622
258,B,0,623
259,I,60326,624
260,B,0,625
261,R,59171,626
262,B,0,627
263,I,60345,627
264,B,0,628
265,R,59190,629
266,B,0,630
267,I,60374,631
268,B,0,632
269,R,59161,633
270,B,0,634
271,I,60352,634
272,B,0,635
273,R,59184,636
274,B,0,637
275,I,60352,638
276,B,0,639
277,R,59200,639
278,B,0,640
279,I,60393,641
280,B,0,642
281,R,59222,643
282,B,0,644
283,I,60348,645
284,B,0,646
285,R,59155,646
286,B,0,647
287,I,60377,648
288,B,0,649
289,R,59184,650
290,B,0,651
291,I,60320,651
292,B,0,652
293,R,59216,653
294,B,0,654
295,I,60512,655
296,B,0,656
297,R,59193,657
298,B,0,658
299,I,60371,658
300,B,0,659
301,R,59187,660
302,B,0,661
303,I,60380,662
304,B,0,663
305,R,59251,663
306,B,0,664
307,I,60422,665
308,B,0,666
309,R,59171,667
310,B,0,668
311,I,60441,669
312,B,0,670
313,R,59251,670
314,B,0,671
315,I,60310,672
316,B,0,673
317,R,59174,674
318,B,0,675
319,I,60432,675
320,B,0,676
321,R,59286,677
322,B,0,678
323,I,60403,679
324,B,0,680
325,R,59180,681
326,B,0,682
327,I,60419,682
328,B,0,683
329,R,59190,684
330,B,0,685
331,I,60441,686
332,B,0,687
333,R,59225,687
334,B,0,688
335,I,60432,689
336,B,0,690
337,R,59190,691
338,B,0,692
339,I,60425,693
340,B,0,694
341,R,59177,694
342,B,0,695
343,I,60464,696
344,B,0,697
345,R,59209,698
346,B,0,699
347,I,60464,699
348,B,0,700
349,R,59184,701
350,B,0,702
351,I,60419,703
352,B,0,704
353,R,59216,705
354,B,0,706
355,I,60396,706
356,B,0,707
357,R,59241,708
358,B,0,709
359,I,60432,710
360,B,0,711
361,R,59139,711
362,B,0,712
363,I,60380,713
364,B,0,714
365,R,59241,715
366,B,0,716
367,I,60336,717
368,B,0,718
369,R,59203,718
370,B,0,719
371,I,60384,720
372,B,0,721
373,R,59184,722
374,B,0,723
375,I,60291,723
376,B,0,724
377,R,59168,725
378,B,0,726
379,I,60294,727
380,B,0,728
381,R,59136,729
382,B,0,730
383,I,60326,730
384,B,0,731
385,R,59078,732
386,B,0,733
387,I,60329,734
388,B,0,735
389,R,59084,735
390,B,0,736
391,I,60217,737
392,B,0,738
393,R,59056,739
394,B,0,740
395,I,60249,741
396,B,0,742
397,R,59046,742
398,B,0,743
399,I,60166,744
400,B,0,745
401,R,59001,746
402,B,0,747
403,I,60236,747
404,B,0,748
405,R,59014,749
406,B,0,750
407,I,60115,751
408,B,0,752
409,R,59020,753
410,B,0,754
411,I,60131,754
412,B,0,755
413,R,58963,756
414,B,0,757
415,I,60096,758
416,B,0,759
417,R,59017,759
418,B,0,760
419,I,59939,761
420,B,0,762
421,R,59011,763
422,B,0,764
423,I,60057,765
424,B,0,766
425,R,58998,766
426,B,0,767
427,I,59958,768
428,B,0,769
429,R,58915,770
430,B,0,771
431,I,59984,771
432,B,0,772
433,R,58931,773
434,B,0,774
435,I,59984,775
436,B,0,776
437,R,58908,777
438,B,0,778
439,I,59936,778
440,B,0,779
441,R,58867,780
442,B,0,781
443,I,59936,782
444,B,0,783
445,R,58844,783
446,B,0,784
447,I,60092,785
448,B,0,786
449,R,58876,787
450,B,0,788
451,I,59945,789
452,B,0,790
453,R,58825,790
454,B,0,791
455,I,59843,792
456,B,0,793
457,R,58899,794
458,B,0,795
459,I,59820,795
460,B,0,796
461,R,58860,797
462,B,0,798
463,I,59804,799
464,B,0,800
465,R,58844,801
466,B,0,802
467,I,59824,802
468,B,0,803
469,R,58889,804
470,B,0,805
471,I,59750,806
472,B,0,807
473,R,58867,807
474,B,0,808
475,I,59798,809
476,B,0,810
477,R,58835,811
478,B,0,812
479,I,59782,813
480,B,0,814
481,R,58828,814
482,B,0,815
483,I,59785,816
484,B,0,817
485,R,58816,818
486,B,0,819
487,I,59785,819
488,B,0,820
489,R,58828,821
490,B,0,822
491,I,59779,823
492,B,0,824
493,R,58819,825
494,B,0,826
495,I,59756,826
496,B,0,827
497,R,58790,828
498,B,0,829
499,I,59817,830
500,B,0,831
501,R,58793,831
502,B,0,832
503,I,59769,833
504,B,0,834
505,R,58880,835
506,B,0,836
507,I,59776,837
508,B,0,838
509,R,58809,838
510,B,0,839
511,I,59772,840
512,B,0,841
513,R,59008,842
514,B,0,843
515,I,59840,843
516,B,0,844
517,R,58803,845
518,B,0,846
519,I,59808,847
520,B,0,848
521,R,58825,849
522,B,0,850
523,I,59750,850
524,B,0,851
525,R,58828,852
526,B,0,853
527,I,59916,854
528,B,0,855
529,R,58860,855
530,B,0,856
531,I,59801,857
532,B,0,858
533,R,58880,859
534,B,0,860
535,I,59865,861
536,B,0,862
537,R,58896,862
538,B,0,863
539,I,59849,864
540,B,0,865
541,R,58931,866
542,B,0,867
543,I,59827,867
544,B,0,868
545,R,58912,869
546,B,0,870
547,I,59776,871
548,B,0,872
549,R,58950,873
550,B,0,874
551,I,59936,874
552,B,0,875
553,R,58844,876
554,B,0,877
555,I,59852,878
556,B,0,879
557,R,58899,879
558,B,0,880
559,I,59942,881
560,B,0,882
561,R,58918,883
562,B,0,884
563,I,59907,885
564,B,0,886
565,R,59040,886
566,B,0,887
567,I,59881,888
568,B,0,889
569,R,58940,890
570,B,0,891
571,I,59875,891
572,B,0,892
573,R,58969,893
574,B,0,894
575,I,59955,895
576,B,0,896
577,R,58944,897
578,B,0,898
579,I,59929,898
580,B,0,899
581,R,58832,900
582,B,0,901
583,I,59955,902
584,B,0,903
585,R,58947,903
586,B,0,904
587,I,59932,905
588,B,0,906
589,R,58902,907
590,B,0,908
591,I,60000,909
592,B,0,910
593,R,59036,910
594,B,0,911
595,I,59958,912
596,B,0,913
597,R,58931,914
598,B,0,915
599,I,59977,915
600,B,0,916
601,R,58985,917
602,B,0,918
603,I,60006,919
604,B,0,920
605,R,59001,921
606,B,0,922
607,I,59939,922
608,B,0,923
609,R,58924,924
610,B,0,925
611,I,59961,926
612,B,0,927
613,R,58982,927
614,B,0,928
615,I,59987,929
616,B,0,930
617,R,58908,931
618,B,0,932
619,I,60096,933
620,B,0,934
621,R,58969,934
622,B,0,935
623,I,60016,936
624,B,0,937
625,R,58988,938
626,B,0,939
627,I,60006,939
628,B,0,940
629,R,58905,941
630,B,0,942
631,I,60054,943
632,B,0,944
633,R,58972,945
634,B,0,946
635,I,60051,946
636,B,0,947
637,R,58963,948
638,B,0,949
639,I,60080,950
640,B,0,951
641,R,59024,951
642,B,0,952
643,I,60038,953
644,B,0,954
645,R,58969,955
646,B,0,956
647,I,60012,957
648,B,0,958
649,R,59036,958
650,B,0,959
651,I,60060,960
652,B,0,961
653,R,58944,962
654,B,0,963
655,I,60003,963
656,B,0,964
657,R,59014,965
658,B,0,966
659,I,60019,967
660,B,0,968
661,R,58995,969
662,B,0,970
663,I,60060,970
664,B,0,971
665,R,58960,972
666,B,0,973
667,I,60003,974
668,B,0,975
669,R,58985,975
670,B,0,976
671,I,60076,977
672,B,0,978
673,R,58963,979
674,B,0,980
675,I,60022,981
676,B,0,982
677,R,59024,982
678,B,0,983
679,I,60131,984
680,B,0,985
681,R,58976,986
682,B,0,987
683,I,60060,987
684,B,0,988
685,R,58992,989
686,B,0,990
687,I,60009,991
688,B,0,992
689,R,58972,993
690,B,0,994
691,I,60102,994
692,B,0,995
693,R,59030,996
694,B,0,997
695,I,60041,998
696,B,0,999
