,TAG,Value,Time
0,B,0,0
1,R,46665,0
2,B,0,0
3,I,52246,1
4,B,0,1
5,R,46524,1
6,B,0,1
7,I,52345,2
8,B,0,2
9,R,46486,2
10,B,0,2
11,I,52393,3
12,B,0,3
13,R,46521,3
14,B,0,3
15,I,52316,4
16,B,0,4
17,R,46499,4
18,B,0,5
19,I,52441,5
20,B,0,5
21,R,46505,5
22,B,0,6
23,I,52438,6
24,B,0,6
25,R,46448,6
26,B,0,7
27,I,52457,7
28,B,0,8
29,R,46515,9
30,B,0,9
31,I,52566,10
32,B,0,11
33,R,46486,12
34,B,0,12
35,I,52512,13
36,B,0,14
37,R,46451,15
38,B,0,16
39,I,52505,16
40,B,0,17
41,R,46489,18
42,B,0,19
43,I,52521,19
44,B,0,20
45,R,46380,21
46,B,0,22
47,I,52508,22
48,B,0,23
49,R,46291,24
50,B,0,25
51,I,52492,25
52,B,0,26
53,R,46345,27
54,B,0,28
55,I,52518,29
56,B,0,29
57,R,46336,30
58,B,0,31
59,I,52576,32
60,B,0,33
61,R,46368,33
62,B,0,34
63,I,52534,35
64,B,0,36
65,R,46345,36
66,B,0,37
67,I,52700,38
68,B,0,39
69,R,46422,39
70,B,0,40
71,I,52550,41
72,B,0,42
73,R,46368,42
74,B,0,43
75,I,52556,44
76,B,0,45
77,R,46387,45
78,B,0,46
79,I,52569,47
80,B,0,48
81,R,46297,49
82,B,0,50
83,I,52624,50
84,B,0,51
85,R,46297,52
86,B,0,53
87,I,52652,53
88,B,0,54
89,R,46368,55
90,B,0,56
91,I,52681,56
92,B,0,57
93,R,46454,58
94,B,0,59
95,I,52681,59
96,B,0,60
97,R,46387,61
98,B,0,62
99,I,52742,62
100,B,0,63
101,R,46464,64
102,B,0,65
103,I,52601,66
104,B,0,66
105,R,46345,67
106,B,0,68
107,I,52601,69
108,B,0,70
109,R,46409,70
110,B,0,71
111,I,52627,72
112,B,0,73
113,R,46339,73
114,B,0,74
115,I,52608,75
116,B,0,76
117,R,46371,76
118,B,0,77
119,I,52672,78
120,B,0,79
121,R,46400,79
122,B,0,80
123,I,52691,81
124,B,0,82
125,R,46310,83
126,B,0,83
127,I,52723,84
128,B,0,85
129,R,46416,86
130,B,0,87
131,I,52630,87
132,B,0,88
133,R,46355,89
134,B,0,90
135,I,52582,90
136,B,0,91
137,R,46252,92
138,B,0,93
139,I,52620,93
140,B,0,94
141,R,46304,95
142,B,0,96
143,I,52608,96
144,B,0,97
145,R,46400,98
146,B,0,99
147,I,52662,99
148,B,0,100
149,R,46339,101
150,B,0,102
151,I,52646,103
152,B,0,104
153,R,46355,105
154,B,0,106
155,I,52787,106
156,B,0,107
157,R,46444,108
158,B,0,109
159,I,52649,110
160,B,0,111
161,R,46361,111
162,B,0,112
163,I,52723,113
164,B,0,114
165,R,46406,115
166,B,0,116
167,I,52656,117
168,B,0,118
169,R,46368,118
170,B,0,119
171,I,52726,120
172,B,0,121
173,R,46496,122
174,B,0,123
175,I,52611,123
176,B,0,124
177,R,46422,125
178,B,0,126
179,I,52678,127
180,B,0,128
181,R,46368,129
182,B,0,130
183,I,52729,130
184,B,0,131
185,R,46342,132
186,B,0,133
187,I,52675,134
188,B,0,135
189,R,46396,135
190,B,0,136
191,I,52649,137
192,B,0,138
193,R,46406,139
194,B,0,140
195,I,52713,141
196,B,0,142
197,R,46256,142
198,B,0,143
199,I,52704,144
200,B,0,145
201,R,46400,146
202,B,0,147
203,I,52668,147
204,B,0,148
205,R,46268,149
206,B,0,150
207,I,52732,151
208,B,0,152
209,R,46300,153
210,B,0,154
211,I,52752,154
212,B,0,155
213,R,46294,156
214,B,0,157
215,I,52694,158
216,B,0,159
217,R,46374,159
218,B,0,160
219,I,52678,161
220,B,0,162
221,R,46435,163
222,B,0,164
223,I,52710,165
224,B,0,166
225,R,46419,166
226,B,0,167
227,I,52723,168
228,B,0,169
229,R,46288,170
230,B,0,171
231,I,52726,171
232,B,0,172
233,R,46380,173
234,B,0,174
235,I,52752,175
236,B,0,176
237,R,46332,177
238,B,0,178
239,I,52716,178
240,B,0,179
241,R,46326,180
242,B,0,181
243,I,52736,182
244,B,0,183
245,R,46307,183
246,B,0,184
247,I,52742,185
248,B,0,186
249,R,46332,187
250,B,0,188
251,I,52803,189
252,B,0,190
253,R,46406,190
254,B,0,191
255,I,52688,192
256,B,0,193
257,R,46300,194
258,B,0,195
259,I,52697,195
260,B,0,196
261,R,46400,197
262,B,0,198
263,I,52784,199
264,B,0,200
265,R,46412,201
266,B,0,202
267,I,52681,202
268,B,0,203
269,R,46352,204
270,B,0,205
271,I,52800,206
272,B,0,207
273,R,46323,207
274,B,0,208
275,I,52745,209
276,B,0,210
277,R,46345,211
278,B,0,212
279,I,52742,213
280,B,0,214
281,R,46364,214
282,B,0,215
283,I,52745,216
284,B,0,217
285,R,46396,218
286,B,0,219
287,I,52755,219
288,B,0,220
289,R,46380,221
290,B,0,222
291,I,52787,223
292,B,0,224
293,R,46374,225
294,B,0,226
295,I,52732,226
296,B,0,227
297,R,46339,228
298,B,0,229
299,I,52723,230
300,B,0,231
301,R,46422,231
302,B,0,232
303,I,52832,233
304,B,0,234
305,R,46326,235
306,B,0,236
307,I,52752,237
308,B,0,238
309,R,46342,238
310,B,0,239
311,I,52736,240
312,B,0,241
313,R,46374,242
314,B,0,243
315,I,52742,243
316,B,0,244
317,R,46444,245
318,B,0,246
319,I,52784,247
320,B,0,248
321,R,46435,249
322,B,0,250
323,I,52646,250
324,B,0,251
325,R,46393,252
326,B,0,253
327,I,52720,254
328,B,0,255
329,R,46380,255
330,B,0,256
331,I,52780,257
332,B,0,258
333,R,46419,259
334,B,0,260
335,I,52723,261
336,B,0,262
337,R,46326,262
338,B,0,263
339,I,52806,264
340,B,0,265
341,R,46288,266
342,B,0,267
343,I,52787,267
344,B,0,268
345,R,46339,269
346,B,0,270
347,I,52793,271
348,B,0,272
349,R,46396,273
350,B,0,274
351,I,52748,274
352,B,0,275
353,R,46336,276
354,B,0,277
355,I,52748,278
356,B,0,279
357,R,46467,279
358,B,0,280
359,I,52758,281
360,B,0,282
361,R,46473,283
362,B,0,284
363,I,52736,285
364,B,0,286
365,R,46454,286
366,B,0,287
367,I,52726,288
368,B,0,289
369,R,46361,290
370,B,0,291
371,I,52819,291
372,B,0,292
373,R,46406,293
374,B,0,294
375,I,52787,295
376,B,0,296
377,R,46435,297
378,B,0,298
379,I,52716,298
380,B,0,299
381,R,46336,300
382,B,0,301
383,I,52800,302
384,B,0,303
385,R,46361,303
386,B,0,304
387,I,52822,305
388,B,0,306
389,R,46416,307
390,B,0,308
391,I,52835,309
392,B,0,310
393,R,46486,310
394,B,0,311
395,I,52665,312
396,B,0,313
397,R,46272,314
398,B,0,315
399,I,52806,315
400,B,0,316
401,R,46406,317
402,B,0,318
403,I,52752,319
404,B,0,320
405,R,46444,321
406,B,0,322
407,I,52816,322
408,B,0,323
409,R,46480,324
410,B,0,325
411,I,52828,326
412,B,0,327
413,R,46393,327
414,B,0,328
415,I,52803,329
416,B,0,330
417,R,46323,331
418,B,0,332
419,I,52864,333
420,B,0,334
421,R,46441,334
422,B,0,335
423,I,52764,336
424,B,0,337
425,R,46371,338
426,B,0,339
427,I,52806,339
428,B,0,340
429,R,46380,341
430,B,0,342
431,I,52838,343
432,B,0,344
433,R,46380,345
434,B,0,346
435,I,52758,346
436,B,0,347
437,R,46380,348
438,B,0,349
439,I,52832,350
440,B,0,351
441,R,46406,351
442,B,0,352
443,I,52793,353
444,B,0,354
445,R,46438,355
446,B,0,356
447,I,52803,357
448,B,0,358
449,R,46435,358
450,B,0,359
451,I,52675,360
452,B,0,361
453,R,46457,362
454,B,0,363
455,I,52838,363
456,B,0,364
457,R,46355,365
458,B,0,366
459,I,52723,367
460,B,0,368
461,R,46380,369
462,B,0,370
463,I,52835,370
464,B,0,371
465,R,46310,372
466,B,0,373
467,I,52752,374
468,B,0,375
469,R,46419,375
470,B,0,376
471,I,52825,377
472,B,0,378
473,R,46432,379
474,B,0,380
475,I,52796,381
476,B,0,382
477,R,46291,382
478,B,0,383
479,I,52736,384
480,B,0,385
481,R,46390,386
482,B,0,387
483,I,52809,387
484,B,0,388
485,R,46291,389
486,B,0,390
487,I,52771,391
488,B,0,392
489,R,46448,393
490,B,0,394
491,I,52796,394
492,B,0,395
493,R,46422,396
494,B,0,397
495,I,52803,398
496,B,0,399
497,R,46294,399
498,B,0,400
499,I,52819,401
500,B,0,402
501,R,46460,403
502,B,0,404
503,I,52832,405
504,B,0,406
505,R,46358,406
506,B,0,407
507,I,52857,408
508,B,0,409
509,R,46384,410
510,B,0,411
511,I,52793,411
512,B,0,412
513,R,46464,413
514,B,0,414
515,I,52777,415
516,B,0,416
517,R,46323,417
518,B,0,418
519,I,52816,418
520,B,0,419
521,R,46352,420
522,B,0,421
523,I,52806,422
524,B,0,423
525,R,46419,423
526,B,0,424
527,I,52828,425
528,B,0,426
529,R,46438,427
530,B,0,428
531,I,52924,429
532,B,0,430
533,R,46435,430
534,B,0,431
535,I,52713,432
536,B,0,433
537,R,46464,434
538,B,0,435
539,I,52854,435
540,B,0,436
541,R,46384,437
542,B,0,438
543,I,52745,439
544,B,0,440
545,R,46307,441
546,B,0,442
547,I,52896,442
548,B,0,443
549,R,46396,444
550,B,0,445
551,I,52883,446
552,B,0,447
553,R,46342,447
554,B,0,448
555,I,52864,449
556,B,0,450
557,R,46326,451
558,B,0,452
559,I,52944,453
560,B,0,454
561,R,46422,454
562,B,0,455
563,I,52886,456
564,B,0,457
565,R,46486,458
566,B,0,459
567,I,52835,459
568,B,0,460
569,R,46438,461
570,B,0,462
571,I,52809,463
572,B,0,464
573,R,46380,465
574,B,0,466
575,I,52848,466
576,B,0,467
577,R,46438,468
578,B,0,469
579,I,52787,470
580,B,0,471
581,R,46425,471
582,B,0,472
583,I,52854,473
584,B,0,474
585,R,46403,475
586,B,0,476
587,I,52809,477
588,B,0,478
589,R,46448,478
590,B,0,479
591,I,52780,480
592,B,0,481
593,R,46323,482
594,B,0,483
595,I,52828,483
596,B,0,484
597,R,46441,485
598,B,0,486
599,I,52761,487
600,B,0,488
601,R,46432,489
602,B,0,490
603,I,52976,490
604,B,0,491
605,R,46361,492
606,B,0,493
607,I,52880,494
608,B,0,495
609,R,46486,495
610,B,0,496
611,I,52758,497
612,B,0,498
613,R,46419,499
614,B,0,500
615,I,52864,501
616,B,0,502
617,R,46355,502
618,B,0,503
619,I,52889,504
620,B,0,505
621,R,46451,506
622,B,0,507
623,I,52848,507
624,B,0,508
625,R,46412,509
626,B,0,510
627,I,52825,511
628,B,0,512
629,R,46403,513
630,B,0,514
631,I,52838,514
632,B,0,515
633,R,46432,516
634,B,0,517
635,I,52944,518
636,B,0,519
637,R,46428,519
638,B,0,520
639,I,52777,521
640,B,0,522
641,R,46515,523
642,B,0,524
643,I,52812,525
644,B,0,526
645,R,46499,526
646,B,0,527
647,I,52844,528
648,B,0,529
649,R,46438,530
650,B,0,531
651,I,52844,531
652,B,0,532
653,R,46444,533
654,B,0,534
655,I,52822,535
656,B,0,536
657,R,46332,537
658,B,0,538
659,I,52822,538
660,B,0,539
661,R,46473,540
662,B,0,541
663,I,52886,542
664,B,0,543
665,R,46323,543
666,B,0,544
667,I,52851,545
668,B,0,546
669,R,46480,547
670,B,0,548
671,I,52803,549
672,B,0,550
673,R,46467,550
674,B,0,551
675,I,52870,552
676,B,0,553
677,R,46502,554
678,B,0,555
679,I,52780,555
680,B,0,556
681,R,46336,557
682,B,0,558
683,I,52902,559
684,B,0,560
685,R,46342,561
686,B,0,562
687,I,52806,562
688,B,0,563
689,R,46441,564
690,B,0,565
691,I,52902,566
692,B,0,567
693,R,46393,567
694,B,0,568
695,I,52905,569
696,B,0,570
697,R,46342,571
698,B,0,572
699,I,52889,573
700,B,0,574
701,R,46515,574
702,B,0,575
703,I,52892,576
704,B,0,577
705,R,46476,578
706,B,0,579
707,I,52848,579
708,B,0,580
709,R,46374,581
710,B,0,582
711,I,52851,583
712,B,0,584
713,R,46307,585
714,B,0,586
715,I,52960,586
716,B,0,587
717,R,46512,588
718,B,0,589
719,I,52838,590
720,B,0,591
721,R,46432,591
722,B,0,592
723,I,52841,593
724,B,0,594
725,R,46342,595
726,B,0,596
727,I,52790,597
728,B,0,598
729,R,46473,598
730,B,0,599
731,I,52924,600
732,B,0,601
733,R,46508,602
734,B,0,603
735,I,52800,603
736,B,0,604
737,R,46448,605
738,B,0,606
739,I,52857,607
740,B,0,608
741,R,46435,609
742,B,0,610
743,I,52902,610
744,B,0,611
745,R,46400,612
746,B,0,613
747,I,52905,614
748,B,0,615
749,R,46374,615
750,B,0,616
751,I,52828,617
752,B,0,618
753,R,46425,619
754,B,0,620
755,I,52883,621
756,B,0,622
757,R,46441,622
758,B,0,623
759,I,52924,624
760,B,0,625
761,R,46467,626
762,B,0,627
763,I,52832,627
