,TAG,Value,Time
0,B,184,2
1,R,37967,4
2,B,212,6
3,I,41391,9
4,B,249,11
5,R,37880,13
6,B,103,16
7,I,41647,18
8,B,225,20
9,R,37911,23
10,B,308,25
11,I,41371,27
12,B,213,30
13,R,37854,32
14,B,119,34
15,I,41717,37
16,B,233,39
17,R,37917,41
18,B,190,44
19,I,41749,46
20,B,205,48
21,R,37811,51
22,B,153,53
23,I,41747,55
24,B,298,58
25,R,37879,60
26,B,129,62
27,I,41747,65
28,B,185,67
29,R,37868,69
30,B,140,72
31,I,41794,74
32,B,268,76
33,R,37854,79
34,B,109,81
35,I,41738,83
36,B,206,86
37,R,37867,88
38,B,250,91
39,I,41433,93
40,B,230,95
41,R,37848,98
42,B,101,100
43,I,41785,102
44,B,207,105
45,R,37891,107
46,B,266,109
47,I,41780,112
48,B,189,114
49,R,37805,116
50,B,113,119
51,I,41786,121
52,B,203,123
53,R,37886,126
54,B,155,128
55,I,41769,130
56,B,173,133
57,R,37828,135
58,B,150,137
59,I,41842,140
60,B,288,142
61,R,37867,144
62,B,93,147
63,I,41768,149
64,B,175,151
65,R,37845,154
66,B,127,156
67,I,41851,158
68,B,201,161
69,R,37841,163
70,B,98,165
71,I,41747,168
72,B,192,170
73,R,37885,172
74,B,286,175
75,I,41456,177
76,B,186,179
77,R,37856,182
78,B,90,184
79,I,41829,186
80,B,205,189
81,R,37894,191
82,B,222,194
83,I,41812,196
84,B,178,198
85,R,37838,201
86,B,151,203
87,I,41824,205
88,B,270,208
89,R,37868,210
90,B,118,212
91,I,41845,215
92,B,166,217
93,R,37820,219
94,B,141,222
95,I,41842,224
96,B,244,226
97,R,37847,229
98,B,94,231
99,I,41773,233
100,B,201,236
101,R,37880,238
102,B,221,240
103,I,41480,243
104,B,204,245
105,R,37854,247
106,B,88,250
107,I,41809,252
108,B,192,254
109,R,37879,257
110,B,261,259
111,I,41811,261
112,B,172,264
113,R,37805,266
114,B,121,268
115,I,41874,271
116,B,224,273
117,R,37901,275
118,B,143,278
119,I,41829,280
120,B,180,283
121,R,37823,285
122,B,138,287
123,I,41881,290
124,B,281,292
125,R,37856,294
126,B,104,297
127,I,41772,299
128,B,170,301
129,R,37863,304
130,B,151,306
131,I,41878,308
132,B,224,311
133,R,37872,313
134,B,92,315
135,I,41822,318
136,B,203,320
137,R,37874,322
138,B,354,325
139,I,41485,327
140,B,192,329
141,R,37842,332
142,B,92,334
143,I,41873,336
144,B,210,339
145,R,37910,341
146,B,257,343
147,I,41827,346
148,B,170,348
149,R,37830,350
150,B,122,353
151,I,41867,355
152,B,246,357
153,R,37895,360
154,B,137,362
155,I,41821,364
156,B,166,367
157,R,37887,369
158,B,141,372
159,I,41900,374
160,B,267,376
161,R,37867,379
162,B,94,381
163,I,41829,383
164,B,198,386
165,R,37883,388
166,B,236,390
167,I,41481,393
168,B,224,395
169,R,37853,397
170,B,96,400
171,I,41845,402
172,B,204,404
173,R,37901,407
174,B,267,409
175,I,41874,411
176,B,182,414
177,R,37831,416
178,B,123,418
179,I,41844,421
180,B,219,423
181,R,37901,425
182,B,154,428
183,I,41826,430
184,B,173,432
185,R,37829,435
186,B,142,437
187,I,41860,439
188,B,285,442
189,R,37871,444
190,B,114,446
191,I,41843,449
192,B,189,451
193,R,37868,453
194,B,149,456
195,I,41906,458
196,B,226,461
197,R,37852,463
198,B,95,465
199,I,41831,468
200,B,223,470
201,R,37901,472
202,B,278,475
203,I,41504,477
204,B,197,479
205,R,37870,482
206,B,102,484
207,I,41874,486
208,B,197,489
209,R,37915,491
210,B,222,493
211,I,41876,496
212,B,188,498
213,R,37839,500
214,B,144,503
215,I,41890,505
216,B,269,507
217,R,37881,510
218,B,135,512
219,I,41842,514
220,B,172,517
221,R,37850,519
222,B,117,521
223,I,41912,524
224,B,267,526
225,R,37845,528
226,B,92,531
227,I,41826,533
228,B,202,535
229,R,37887,538
230,B,235,540
231,I,41496,542
232,B,236,545
233,R,37858,547
234,B,96,550
235,I,41861,552
236,B,221,554
237,R,37890,557
238,B,329,559
239,I,41611,561
240,B,193,564
241,R,37838,566
242,B,119,568
243,I,41864,571
244,B,226,573
245,R,37917,575
246,B,167,578
247,I,41856,580
248,B,171,582
249,R,37840,585
250,B,168,587
251,I,41874,589
252,B,340,592
253,R,37674,594
254,B,125,596
255,I,41858,599
256,B,184,601
257,R,37886,603
258,B,174,606
259,I,41910,608
260,B,255,610
261,R,37893,613
262,B,94,615
263,I,41829,617
264,B,214,620
265,R,37882,622
266,B,329,624
267,I,41498,627
268,B,199,629
269,R,37851,631
270,B,92,634
271,I,41877,636
272,B,199,639
273,R,37888,641
274,B,253,643
275,I,41865,646
276,B,179,648
277,R,37813,650
278,B,163,653
279,I,41895,655
280,B,270,657
281,R,37902,660
282,B,143,662
283,I,41849,664
284,B,170,667
285,R,37878,669
286,B,154,671
287,I,41869,674
288,B,258,676
289,R,37866,678
290,B,105,681
291,I,41815,683
292,B,199,685
293,R,37872,688
294,B,238,690
295,I,41503,692
296,B,226,695
297,R,37871,697
298,B,88,699
299,I,41864,702
300,B,206,704
301,R,37917,706
302,B,351,709
303,I,41545,711
304,B,184,713
305,R,37806,716
306,B,118,718
307,I,41862,720
308,B,218,723
309,R,37935,725
310,B,161,728
311,I,41857,730
312,B,187,732
313,R,37832,735
314,B,156,737
315,I,41887,739
316,B,318,742
317,R,37891,744
318,B,114,746
319,I,41852,749
320,B,176,751
321,R,37889,753
322,B,155,756
323,I,41907,758
324,B,226,760
325,R,37893,763
326,B,102,765
327,I,41837,767
328,B,205,770
329,R,37911,772
330,B,335,774
331,I,41505,777
332,B,201,779
333,R,37850,781
334,B,92,784
335,I,41874,786
336,B,203,788
337,R,37920,791
338,B,262,793
339,I,41883,795
340,B,175,798
341,R,37811,800
342,B,139,802
343,I,41881,805
344,B,249,807
345,R,37916,809
346,B,160,812
347,I,41848,814
348,B,161,817
349,R,37889,819
350,B,161,821
351,I,41885,824
352,B,267,826
353,R,37885,828
354,B,106,831
355,I,41842,833
356,B,199,835
357,R,37882,838
358,B,223,840
359,I,41499,842
360,B,210,845
361,R,37856,847
362,B,97,849
363,I,41834,852
364,B,199,854
365,R,37900,856
366,B,368,859
367,I,41578,861
368,B,186,863
369,R,37856,866
370,B,119,868
371,I,41893,870
372,B,204,873
373,R,37938,875
374,B,207,877
375,I,41864,880
376,B,176,882
377,R,37865,884
378,B,168,887
379,I,41903,889
380,B,278,891
381,R,37897,894
382,B,123,896
383,I,41861,898
384,B,164,901
385,R,37886,903
386,B,157,906
387,I,41907,908
388,B,238,910
389,R,37867,913
390,B,92,915
391,I,41803,917
392,B,214,920
393,R,37899,922
394,B,312,924
395,I,41519,927
396,B,194,929
397,R,37870,931
398,B,100,934
399,I,41857,936
400,B,204,938
401,R,37921,941
402,B,223,943
403,I,41870,945
404,B,186,948
405,R,37829,950
406,B,162,952
407,I,41887,955
408,B,251,957
409,R,37905,959
410,B,145,962
411,I,41889,964
412,B,178,966
413,R,37874,969
414,B,164,971
415,I,41892,973
416,B,226,976
417,R,37889,978
418,B,101,980
419,I,41833,983
420,B,189,985
421,R,37896,987
422,B,229,990
423,I,41516,992
424,B,218,995
425,R,37875,997
426,B,102,999
427,I,41839,1002
428,B,215,1004
429,R,37930,1006
430,B,340,1009
431,I,41595,1011
432,B,178,1013
433,R,37857,1016
434,B,115,1018
435,I,41905,1020
436,B,202,1023
437,R,37916,1025
438,B,174,1027
439,I,41888,1030
440,B,187,1032
441,R,37858,1034
442,B,135,1037
443,I,41907,1039
444,B,271,1041
445,R,37904,1044
446,B,117,1046
447,I,41864,1048
448,B,172,1051
449,R,37904,1053
450,B,137,1056
451,I,41940,1058
452,B,218,1060
453,R,37881,1063
454,B,106,1065
455,I,41849,1067
456,B,215,1070
457,R,37892,1072
458,B,276,1074
459,I,41507,1077
460,B,199,1079
461,R,37847,1081
462,B,90,1084
463,I,41882,1086
464,B,211,1088
465,R,37925,1091
466,B,223,1093
467,I,41896,1095
468,B,166,1098
469,R,37836,1100
470,B,135,1102
471,I,41894,1105
472,B,257,1107
473,R,37887,1109
474,B,135,1112
475,I,41864,1114
476,B,166,1116
477,R,37872,1119
478,B,152,1121
479,I,41910,1124
480,B,259,1126
481,R,37902,1128
482,B,99,1131
483,I,41864,1133
484,B,193,1135
485,R,37877,1138
486,B,200,1140
487,I,41518,1142
488,B,216,1145
489,R,37898,1147
490,B,89,1149
491,I,41867,1152
492,B,204,1154
493,R,37881,1156
494,B,308,1159
495,I,41614,1161
496,B,176,1163
497,R,37841,1166
498,B,123,1168
499,I,41886,1170
500,B,221,1173
501,R,37928,1175
502,B,155,1177
503,I,41859,1180
504,B,177,1182
505,R,37835,1184
506,B,133,1187
507,I,41891,1189
508,B,296,1192
509,R,37887,1194
510,B,109,1196
511,I,41871,1199
512,B,178,1201
513,R,37868,1203
514,B,146,1206
515,I,41919,1208
516,B,225,1210
517,R,37865,1213
518,B,94,1215
519,I,41843,1217
520,B,206,1220
521,R,37885,1222
522,B,266,1224
523,I,41601,1227
524,B,211,1229
525,R,37837,1231
526,B,87,1234
527,I,41871,1236
528,B,200,1238
529,R,37906,1241
530,B,224,1243
531,I,41871,1245
532,B,182,1248
533,R,37806,1250
534,B,145,1253
535,I,41883,1255
536,B,262,1257
537,R,37899,1260
538,B,145,1262
539,I,41873,1264
540,B,173,1267
541,R,37883,1269
542,B,154,1271
543,I,41895,1274
544,B,258,1276
545,R,37853,1278
546,B,102,1281
547,I,41827,1283
548,B,188,1285
549,R,37903,1288
550,B,193,1290
551,I,41479,1292
552,B,194,1295
553,R,37853,1297
554,B,105,1299
555,I,41847,1302
556,B,201,1304
557,R,37882,1306
558,B,247,1309
559,I,41864,1311
560,B,175,1314
561,R,37816,1316
562,B,112,1318
563,I,41884,1321
564,B,212,1323
565,R,37929,1325
566,B,152,1328
567,I,41870,1330
568,B,185,1332
569,R,37840,1335
570,B,135,1337
571,I,41868,1339
572,B,283,1342
573,R,37889,1344
574,B,105,1346
575,I,41843,1349
576,B,177,1351
577,R,37866,1353
578,B,138,1356
579,I,41944,1358
580,B,287,1360
581,R,37855,1363
582,B,106,1365
583,I,41842,1367
584,B,199,1370
585,R,37873,1372
586,B,267,1374
587,I,41539,1377
588,B,194,1379
589,R,37826,1382
590,B,105,1384
591,I,41895,1386
592,B,204,1389
593,R,37902,1391
594,B,209,1393
595,I,41903,1396
596,B,183,1398
597,R,37812,1400
598,B,143,1403
599,I,41860,1405
600,B,278,1407
601,R,37886,1410
602,B,137,1412
603,I,41874,1414
604,B,172,1417
605,R,37858,1419
606,B,165,1421
607,I,41921,1424
608,B,254,1426
609,R,37876,1428
610,B,91,1431
611,I,41824,1433
612,B,193,1435
613,R,37862,1438
614,B,226,1440
615,I,41503,1442
616,B,221,1445
617,R,37860,1447
618,B,94,1450
619,I,41879,1452
620,B,212,1454
621,R,37900,1457
622,B,318,1459
623,I,41879,1461
624,B,199,1464
625,R,37813,1466
626,B,125,1468
627,I,41920,1471
628,B,230,1473
629,R,37906,1475
630,B,157,1478
631,I,41858,1480
632,B,184,1482
633,R,37819,1485
634,B,176,1487
635,I,41882,1489
636,B,321,1492
637,R,37873,1494
638,B,133,1496
639,I,41817,1499
640,B,187,1501
641,R,37878,1503
642,B,160,1506
643,I,41921,1508
644,B,236,1511
645,R,37858,1513
646,B,94,1515
647,I,41821,1518
648,B,235,1520
649,R,37874,1522
650,B,320,1525
651,I,41525,1527
652,B,204,1529
653,R,37850,1532
654,B,110,1534
655,I,41891,1536
656,B,210,1539
657,R,37941,1541
658,B,234,1543
659,I,41888,1546
660,B,175,1548
661,R,37835,1550
662,B,149,1553
663,I,41920,1555
664,B,261,1557
665,R,37907,1560
666,B,156,1562
667,I,41886,1564
668,B,164,1567
669,R,37885,1569
670,B,145,1572
671,I,41887,1574
672,B,260,1576
673,R,37871,1579
674,B,100,1581
675,I,41824,1583
676,B,207,1586
677,R,37910,1588
678,B,266,1590
679,I,41549,1593
680,B,212,1595
681,R,37856,1597
682,B,101,1600
683,I,41903,1602
684,B,223,1604
685,R,37896,1607
686,B,347,1609
687,I,41875,1611
688,B,173,1614
689,R,37850,1616
690,B,127,1618
691,I,41881,1621
692,B,230,1623
693,R,37911,1625
694,B,175,1628
695,I,41857,1630
696,B,180,1632
697,R,37855,1635
698,B,156,1637
699,I,41887,1640
700,B,288,1642
701,R,37882,1644
702,B,110,1647
703,I,41873,1649
704,B,189,1651
705,R,37887,1654
706,B,211,1656
707,I,41928,1658
708,B,231,1661
709,R,37846,1663
710,B,105,1665
711,I,41827,1668
712,B,249,1670
713,R,37884,1672
714,B,524,1675
715,I,41529,1677
716,B,213,1679
717,R,37802,1682
718,B,106,1684
719,I,41893,1686
720,B,204,1689
721,R,37917,1691
722,B,371,1693
723,I,41882,1696
724,B,187,1698
725,R,37814,1700
726,B,232,1703
727,I,41916,1705
728,B,328,1708
729,R,37611,1710
730,B,152,1712
731,I,41862,1715
732,B,164,1717
733,R,37894,1719
734,B,296,1722
735,I,41576,1724
736,B,355,1726
737,R,37889,1729
738,B,87,1731
739,I,41851,1733
740,B,208,1736
741,R,37897,1738
742,B,416,1740
743,I,41554,1743
744,B,243,1745
745,R,37851,1747
746,B,99,1750
747,I,41899,1752
748,B,236,1754
749,R,37944,1757
750,B,423,1759
751,I,41852,1761
752,B,204,1764
753,R,37832,1766
754,B,202,1769
755,I,41906,1771
756,B,318,1773
757,R,37611,1776
758,B,160,1778
759,I,41866,1780
760,B,171,1783
761,R,37837,1785
762,B,149,1787
763,I,41936,1790
764,B,475,1792
765,R,37592,1794
766,B,105,1797
767,I,41862,1799
768,B,195,1801
769,R,37879,1804
770,B,157,1806
771,I,41952,1808
772,B,257,1811
773,R,37860,1813
774,B,96,1815
775,I,41842,1818
776,B,224,1820
777,R,37935,1822
778,B,323,1825
779,I,41527,1827
780,B,194,1830
781,R,37807,1832
782,B,120,1834
783,I,41868,1837
784,B,251,1839
785,R,37994,1841
786,B,203,1844
787,I,41893,1846
788,B,176,1848
789,R,37782,1851
790,B,155,1853
791,I,41876,1855
792,B,391,1858
793,R,37564,1860
794,B,120,1862
795,I,41854,1865
796,B,172,1867
797,R,37897,1869
798,B,148,1872
799,I,41931,1874
800,B,344,1876
801,R,37861,1879
802,B,95,1881
803,I,41830,1883
804,B,234,1886
805,R,37928,1888
806,B,255,1890
807,I,41562,1893
808,B,221,1895
809,R,37849,1898
810,B,89,1900
811,I,41891,1902
812,B,246,1905
813,R,37962,1907
814,B,269,1909
815,I,41918,1912
816,B,184,1914
817,R,37761,1916
818,B,127,1919
819,I,41888,1921
820,B,336,1923
821,R,37583,1926
822,B,152,1928
823,I,41886,1930
824,B,184,1933
825,R,37864,1935
826,B,155,1937
827,I,41932,1940
828,B,429,1942
829,R,37698,1944
830,B,102,1947
831,I,41850,1949
832,B,216,1951
833,R,37915,1954
834,B,165,1956
835,I,41975,1958
836,B,256,1961
837,R,37844,1963
838,B,93,1966
839,I,41862,1968
840,B,251,1970
841,R,37908,1973
842,B,342,1975
843,I,41542,1977
844,B,191,1980
845,R,37803,1982
846,B,105,1984
847,I,41917,1987
848,B,244,1989
849,R,38005,1991
850,B,206,1994
851,I,41867,1996
852,B,172,1998
853,R,37790,2001
854,B,157,2003
855,I,41929,2005
856,B,433,2008
857,R,37559,2010
858,B,127,2012
859,I,41859,2015
860,B,176,2017
861,R,37917,2019
862,B,152,2022
863,I,41957,2024
864,B,293,2027
865,R,37860,2029
866,B,109,2031
867,I,41823,2034
868,B,237,2036
869,R,37915,2038
870,B,309,2041
871,I,41501,2043
872,B,241,2045
873,R,37813,2048
874,B,91,2050
875,I,41861,2052
876,B,234,2055
877,R,37947,2057
878,B,264,2059
879,I,41911,2062
880,B,190,2064
881,R,37815,2066
882,B,144,2069
883,I,41888,2071
884,B,325,2073
885,R,37568,2076
886,B,148,2078
887,I,41886,2080
888,B,168,2083
889,R,37870,2085
890,B,148,2088
891,I,41932,2090
892,B,409,2092
893,R,37871,2095
894,B,99,2097
895,I,41872,2099
896,B,190,2102
897,R,37862,2104
898,B,132,2106
899,I,41929,2109
900,B,213,2111
901,R,37852,2113
902,B,97,2116
903,I,41863,2118
904,B,206,2120
905,R,37926,2123
906,B,222,2125
907,I,41906,2127
908,B,185,2130
909,R,37837,2132
910,B,109,2134
911,I,41926,2137
912,B,209,2139
913,R,37934,2141
914,B,153,2144
915,I,41890,2146
916,B,168,2148
917,R,37802,2151
918,B,140,2153
919,I,41889,2156
920,B,347,2158
921,R,37638,2160
922,B,112,2163
923,I,41866,2165
924,B,171,2167
925,R,37893,2170
926,B,140,2172
927,I,41974,2174
928,B,275,2177
929,R,37871,2179
930,B,95,2181
931,I,41825,2184
932,B,239,2186
933,R,37897,2188
934,B,254,2191
935,I,41524,2193
936,B,218,2195
937,R,37843,2198
938,B,86,2200
939,I,41868,2202
940,B,222,2205
941,R,37952,2207
942,B,218,2209
943,I,41906,2212
944,B,171,2214
945,R,37766,2216
946,B,134,2219
947,I,41909,2221
948,B,332,2224
949,R,37665,2226
950,B,145,2228
951,I,41883,2231
952,B,171,2233
953,R,37852,2235
954,B,142,2238
955,I,41971,2240
956,B,382,2242
