TAG,Value,Time
I,44320,82090
B,4601,82093
R,47449,82095
B,22,82097
I,44384,82099
B,4579,82102
R,47433,82104
B,12,82106
I,44435,82108
B,4572,82111
R,47350,82113
B,19,82115
I,44355,82117
B,4579,82120
R,47366,82122
B,16,82124
I,44368,82126
B,4576,82129
R,47433,82131
B,16,82133
I,44348,82135
B,4598,82138
R,47475,82140
B,22,82142
I,44345,82144
B,4576,82147
R,47472,82149
B,12,82151
I,44448,82153
B,4572,82156
R,47417,82158
B,16,82160
I,44441,82162
B,4579,82165
R,47344,82167
B,22,82169
I,44371,82171
B,4598,82174
R,47417,82176
B,16,82178
I,44432,82180
B,4579,82183
R,47363,82185
B,9,82187
I,44505,82189
B,4582,82192
R,47491,82194
B,25,82196
I,44492,82198
B,4531,82201
R,47417,82203
B,16,82205
I,44451,82207
B,4588,82210
R,47436,82212
B,16,82214
I,44547,82216
B,4556,82219
R,47417,82221
B,28,82223
I,44585,82225
B,4579,82228
R,47395,82230
B,16,82232
I,44483,82234
B,4598,82237
R,47520,82239
B,22,82241
I,44483,82243
B,4588,82246
R,47497,82248
B,19,82250
I,44489,82252
B,4588,82255
R,47491,82257
B,9,82259
I,44492,82261
B,4598,82263
R,47491,82266
B,19,82268
I,44540,82270
B,4572,82273
R,47523,82275
B,19,82277
I,44627,82279
B,4499,82282
R,47472,82284
B,9,82286
I,44582,82288
B,4595,82290
R,47497,82293
B,38,82295
I,44681,82297
B,4576,82299
R,47411,82302
B,19,82304
I,44672,82306
B,4572,82308
R,47532,82311
B,19,82313
I,44643,82315
B,4585,82317
R,47555,82320
B,16,82322
I,44598,82324
B,4598,82326
R,47516,82329
B,19,82331
I,44598,82333
B,4592,82335
R,47507,82338
B,16,82340
I,44694,82342
B,4585,82344
R,47459,82347
B,16,82349
I,44646,82351
B,4640,82353
R,47510,82356
B,32,82358
I,44614,82360
B,4595,82362
R,47606,82365
B,22,82367
I,44630,82369
B,4611,82371
R,47667,82374
B,22,82376
I,44681,82378
B,4582,82380
R,47542,82383
B,16,82385
I,44697,82387
B,4585,82390
R,47523,82392
B,16,82394
I,44710,82396
B,4505,82399
R,47548,82401
B,22,82403
I,44672,82405
B,4320,82408
R,47609,82410
B,19,82412
I,44688,82414
B,4588,82417
R,47545,82419
B,22,82421
I,44742,82423
B,4585,82426
R,47494,82428
B,19,82430
I,44697,82432
B,4576,82435
R,47417,82437
B,16,82439
I,44572,82441
B,4585,82444
R,47472,82446
B,19,82448
I,44448,82450
B,4585,82453
R,47427,82455
B,6,82457
I,44425,82459
B,4576,82461
R,47296,82464
B,22,82466
I,44294,82468
B,4569,82470
R,47270,82473
B,22,82475
I,44198,82477
B,4531,82479
R,47302,82482
B,16,82484
I,44208,82486
B,4563,82488
R,47235,82491
B,3,82493
I,44121,82495
B,4582,82497
R,47238,82500
B,19,82502
I,44185,82504
B,4556,82506
R,47177,82509
B,19,82511
I,44140,82513
B,4566,82515
R,47139,82518
B,19,82520
I,44201,82522
B,4560,82524
R,47152,82527
B,19,82529
I,44227,82531
B,4556,82533
R,47164,82536
B,19,82538
I,44163,82540
B,4544,82542
R,47232,82545
B,22,82547
I,44208,82549
B,4556,82551
R,47184,82554
B,16,82556
I,44230,82558
B,4566,82560
R,47209,82563
B,22,82565
I,44240,82567
B,4582,82569
R,47305,82572
B,16,82574
I,44297,82576
B,4576,82578
R,47315,82581
B,41,82583
I,44262,82585
B,4550,82587
R,47302,82590
B,16,82592
I,44329,82594
B,4553,82596
R,47324,82599
B,16,82601
I,44377,82603
B,4563,82605
R,47296,82608
B,19,82610
I,44371,82612
B,4566,82614
R,47264,82617
B,12,82619
I,44313,82621
B,4572,82624
R,47360,82626
B,22,82628
I,44377,82630
B,4467,82633
R,47318,82635
B,25,82637
I,44377,82639
B,4252,82642
R,47264,82644
B,19,82646
I,44425,82648
B,4572,82651
R,47260,82653
B,16,82655
I,44467,82657
B,4585,82660
R,47363,82662
B,16,82664
I,44451,82666
B,4585,82669
R,47363,82671
B,16,82673
I,44393,82675
B,4566,82678
R,47347,82680
B,16,82682
I,44512,82684
B,4556,82687
R,47366,82689
B,0,82691
I,44489,82693
B,4528,82695
R,47340,82698
B,12,82700
I,44515,82702
B,4579,82704
R,47331,82707
B,28,82709
I,44476,82711
B,4582,82713
R,47385,82716
B,22,82718
I,44483,82720
B,4595,82722
R,47401,82725
B,19,82727
I,44486,82729
B,4659,82731
R,47379,82734
B,19,82736
I,44454,82738
B,4588,82741
R,47366,82743
B,16,82745
I,44547,82747
B,4499,82750
R,47328,82752
B,19,82754
I,44515,82756
B,4252,82759
R,47379,82761
B,22,82763
I,44470,82765
B,4601,82768
R,47382,82770
B,16,82772
